gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
ASE1,YOR058C,Mitotic spindle midzone localized microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate,cell cycle regulation,LPA_00001741_S01 / LPA_00001740_S01,MATalpha,Euroscarf / Euroscarf,LPA011 / LPA011,responsive mutant,10,This study
CIS1,YDR022C,Autophagy-specific protein required for autophagosome formation; may form a complex with Atg17p and Atg29p that localizes other proteins to the pre-autophagosomal structure; high-copy suppressor of CIK1 deletion,cell cycle regulation,DvL_00010724_S01 / DvL_00010723_S01,MATalpha,Open Biosystems / Open Biosystems,FR002 / FR002,non-responsive mutant,1,This study
BCK2,YER167W,"Protein rich in serine and threonine residues involved in protein kinase C signaling pathway, which controls cell integrity; overproduction suppresses pkc1 mutations",cell cycle regulation,JBE_00008484_S01 / JBE_00009737_S01,MATalpha,Open Biosystems / Open Biosystems,HTP036 / HTP036,non-responsive mutant,2,This study
BFA1,YJR053W,Component of the GTPase-activating Bfa1p-Bub2p complex involved in multiple cell cycle checkpoint pathways that control exit from mitosis,cell cycle regulation,JBE_00008842_S01,MATalpha,Open Biosystems,HTP060,non-responsive mutant,0,This study
BIK1,YCL029C,"Microtubule-associated protein, component of the interface between microtubules and kinetochore, involved in sister chromatid separation; essential in polyploid cells but not in haploid or diploid cells; ortholog of mammalian CLIP-170",cell cycle regulation,JBE_00009322_S01,MATalpha,Open Biosystems,HTP055,responsive mutant,4,This study
BIM1,YER016W,Microtubule-binding protein that together with Kar9p makes up the cortical microtubule capture site and delays the exit from mitosis when the spindle is oriented abnormally,cell cycle regulation,JBE_00009318_S01 / JBE_00009765_S01,MATalpha,Open Biosystems / Open Biosystems,HTP055 / HTP055,responsive mutant,29,This study
BMH1,YER177W,"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling",cell cycle regulation,EA_00002533_S01 / EA_00002532_S01,MATalpha,Euroscarf / Euroscarf,EA004 / EA004,responsive mutant,37,This study
BUB2,YMR055C,"Mitotic exit network regulator, forms GTPase-activating Bfa1p-Bub2p complex that binds Tem1p and spindle pole bodies, blocks cell cycle progression before anaphase in response to spindle and kinetochore damage",cell cycle regulation,JBE_00008943_S01,MATalpha,Open Biosystems,HTP062,non-responsive mutant,0,This study
CDH1,YGL003C,"Cell-cycle regulated activator of the anaphase-promoting complex/cyclosome (APC/C), which directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p",cell cycle regulation,LPA_00003730_S01 / LPA_00003731_S01,MATalpha,Open Biosystems / Open Biosystems,LPA022 / LPA022,responsive mutant,19,This study
DMA1,YHR115C,"Ubiquitin-protein ligase (E3); controls septin dynamics and the spindle position checkpoint (SPOC) along with functionally redundant ligase Dma2p by regulating the recruitment of Elm1p to the bud neck; regulates levels of the translation initiation factor eIF2 subunit Gcd11p, as well as abundance, localization, and ubiquitination of Cdk inhibitory kinase Swe1p; ortholog of human RNF8 protein, with sequence similarity to human Chfr; contains FHA and RING finger domains",cell cycle regulation,TLS_00001508_S01 / TLS_00001509_S01,MATalpha,Euroscarf / Euroscarf,TLS011 / TLS011,responsive mutant,4,This study
