"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"TLC1"," 0.2515841"," 0.19776378","5.77868e-87","83.44508","0.219358","125"
"RPN13"," 0.2213676"," 0.11437476","2.92183e-67","63.74125","0.250405","118"
"RTT109"," 0.2131297"," 0.13468969","2.27497e-62","58.84993","0.225035","133"
"OPI3"," 0.2025443"," 0.20896573","2.22229e-56","52.86011","0.275138","194"
"TFB5"," 0.2021497"," 0.08393649","3.66156e-56","52.64324","0.233019","206"
"GEP3"," 0.2006316"," 0.11918166","2.47728e-55","51.81293","0.209611","129"
"TSL1"," 0.1991039"," 0.10481543","1.66985e-54","50.98423","0.232128","237"
"YPT6"," 0.1934344"," 0.12954527","1.73316e-51","47.96807","0.200580","121"
"SIS2"," 0.1913796"," 0.10093236","2.03677e-50","46.89797","0.299344","156"
"HEL2"," 0.1898815"," 0.04524524","1.20641e-49","46.12541","0.247730","146"
"CCE1"," 0.1847856"," 0.06326888","4.58046e-47","43.54600","0.252086","180"
"EAF1"," 0.1701403"," 0.08327568","4.58603e-40","36.54547","0.230396","240"
"IRC3"," 0.1594347"," 0.07246345","2.48784e-35","31.81109","0.217971","163"
"NPL6"," 0.1556350"," 0.09966081","9.98283e-34","30.20765","0.224089","113"
"DAL81"," 0.1477462"," 0.04643836","1.58650e-30","27.00647","0.219019","160"
"HOS2","-0.1435506","-0.01540945","6.80963e-29","25.37378","0.925393","159"
"VPS1"," 0.1378612"," 0.01874178","9.33360e-27","23.23686","0.890920","106"
"RTG2"," 0.1331218"," 0.01187152","4.81667e-25","21.52416","0.932310"," 40"
"ELC1"," 0.1312740"," 0.00979878","2.15753e-24","20.87295","0.910571"," 77"
"EDC1","-0.1272389","-0.01152294","5.38350e-23","19.47584","0.939954"," 48"
