ID,Noise SD
Q0010,
Q0017,
Q0032,
Q0045,
Q0050,
Q0055,
Q0060,
Q0065,
Q0070,
Q0075,
Q0080,
Q0085,
Q0092,
Q0105,
Q0110,
Q0115,
Q0120,
Q0130,
Q0140,
Q0142,
Q0143,
Q0144,
Q0160,
Q0182,
Q0250,
Q0255,
Q0275,
Q0297,
R0020C,
R0040C,
snR10,
YAL001C,
YAL002W,
YAL003W,
YAL004W,
YAL005C,9.4669121068
YAL007C,2.5163661257
YAL008W,
YAL009W,
YAL010C,
YAL011W,
YAL012W,-2.3782924685
YAL013W,
YAL014C,
YAL015C,
YAL016C-A,
YAL016C-B,
YAL016W,-1.5989348955
YAL017W,
YAL018C,
YAL019W,
YAL019W-A,
YAL020C,
YAL021C,
YAL022C,
YAL023C,-0.2685374989
YAL024C,
YAL025C,
YAL026C,0.2802948419
YAL026C-A,
YAL027W,
YAL028W,
YAL029C,0.567598176
YAL030W,
YAL031C,
YAL031W-A,
YAL032C,
YAL033W,-1.1156011572
YAL034C,
YAL034C-B,
YAL034WA,
YAL034W-A,
YAL035C-A,
YAL035W,-1.1617416216
YAL036C,0.2081498355
YAL037C-A,
YAL037C-B,
YAL037W,
YAL038W,
YAL039C,
YAL040C,
YAL041W,-0.1567736992
YAL042C-A,
YAL042W,
YAL043C,2.5328745887
YAL043C-A,
YAL044C,0.8794408377
YAL044W-A,
YAL045C,
YAL046C,
YAL047C,
YAL047W-A,
YAL048C,
YAL049C,
YAL051W,
YAL053W,-0.8769966076
YAL054C,
YAL055W,
YAL056C-A,
YAL056W,
YAL058C-A,
YAL058W,
YAL059C-A,
YAL059W,
YAL060W,6.285862092
YAL061W,7.5667689463
YAL062W,
YAL063C,
YAL063C-A,
YAL064C-A,
YAL064W,
YAL064W-B,
YAL065C,
YAL065C-A,
YAL066W,
YAL067C,
YAL067W-A,
YAL068C,
YAL068W-A,
YAL069W,
YAR002CA,
YAR002C-A,-0.7562594915
YAR002W,-0.2876455516
YAR003W,
YAR007C,
YAR008W,
YAR009C,
YAR010C,
YAR014C,0.4876713577
YAR015W,-1.0919837476
YAR018C,
YAR019C,
YAR019W-A,
YAR020C,
YAR023C,
YAR027W,
YAR028W,
YAR029W,
YAR030C,
YAR031W,
YAR033W,
YAR035C-A,
YAR035W,
YAR037W,
YAR040C,
YAR042W,
YAR043C,
YAR044W,0.1133333333
YAR047C,
YAR050W,
YAR052C,
YAR053W,
YAR060C,
YAR061W,
YAR062W,
YAR064W,
YAR066W,
YAR068W,
YAR069C,
YAR070C,
YAR071W,
YAR073W,
YAR074C,
YAR075W,
YBL001C,
YBL002W,-1.2267791551
YBL003C,
YBL004W,0.7527218552
YBL005W,
YBL005WA,
YBL005W-A,
YBL005W-B,
YBL006C,
YBL006W-A,
YBL007C,-0.9147186668
YBL008W,
YBL008W-A,
YBL009W,
YBL010C,
YBL011W,-0.933498163
YBL012C,
YBL013W,
YBL014C,
YBL015W,10.1252722219
YBL016W,1.5453899412
YBL017C,0.5851243235
YBL018C,
YBL019W,
YBL020W,
YBL021C,
YBL022C,1.2302486799
YBL023C,0.5372322494
YBL024W,29.1106904036
YBL025W,
YBL026W,1.0909810303
YBL027W,-3.2716917025
YBL028C,-0.3824101475
YBL029C-A,0.3483418128
YBL029W,
YBL030C,
YBL031W,
YBL032W,-1.4847692608
YBL033C,-1.7366913673
YBL034C,
YBL035C,
YBL036C,0.8912261373
YBL037W,-0.7366634703
YBL038W,-1.2599809987
YBL039C,
YBL039C-A,
YBL039W-B,
YBL040C,0.4247316412
YBL041W,
YBL042C,2.9941145931
YBL043W,
YBL044W,
YBL045C,3.2390784888
YBL046W,-1.4101501485
YBL047C,-0.5835359282
YBL048W,
YBL049W,
YBL050W,
YBL051C,0.2778243536
YBL052C,
YBL053W,
YBL054W,
YBL055C,
YBL056W,-1.7156354886
YBL057C,
YBL058W,-0.8116271752
YBL059C-A,
YBL059W,
YBL060W,
YBL061C,0.2462058294
YBL062W,
YBL063W,
YBL064C,1.394952046
YBL065W,
YBL066C,
YBL067C,
YBL068W,-0.0252770659
YBL068W-A,
YBL069W,
YBL070C,
YBL071C,
YBL071C-B,
YBL071W-A,2.1883656309
YBL072C,
YBL073W,
YBL074C,
YBL075C,
YBL076C,-0.1009515245
YBL077W,
YBL078C,
YBL079W,-0.2173877367
YBL080C,
YBL081W,
YBL082C,
YBL083C,
YBL084C,
YBL085W,
YBL086C,-1.228011393
YBL087C,-0.3986956522
YBL088C,
YBL089W,
YBL090W,
YBL091C,-1.428601403
YBL091CA,
YBL091C-A,
YBL092W,
YBL093C,
YBL094C,
YBL095W,
YBL096C,
YBL097W,
YBL098W,
YBL099W,9.8497434104
YBL100C,
YBL100W-A,
YBL100W-B,
YBL100W-C,
YBL101C,0.1273544484
YBL101WA,
YBL101W-A,
YBL101W-B,
YBL102W,1.7776000747
YBL103C,
YBL104C,
YBL105C,-0.3471858888
YBL106C,
YBL107C,
YBL107WA,
YBL107W-A,
YBL108C-A,
YBL108W,
YBL109W,
YBL111C,-0.0779832428
YBL112C,
YBL113C,
YBL113W-A,
YBR001C,
YBR002C,-1.233150055
YBR003W,-1.4401501485
YBR004C,
YBR005W,
YBR006W,
YBR007C,
YBR008C,
YBR009C,
YBR010W,
YBR011C,
YBR012C,
YBR012W-A,
YBR012W-B,
YBR013C,
YBR014C,0.0952560866
YBR015C,
YBR016W,-0.2567966671
YBR017C,1.1518480708
YBR018C,
YBR019C,
YBR020W,
YBR021W,
YBR022W,
YBR023C,0.9693663493
YBR024W,
YBR025C,-0.2094655134
YBR026C,
YBR027C,
YBR028C,0.01277226
YBR029C,
YBR030W,
YBR031W,
YBR032W,
YBR033W,
YBR034C,0.3575472761
YBR035C,
YBR036C,0.1449165842
YBR037C,
YBR038W,
YBR039W,10.7770869339
YBR040W,
YBR041W,
YBR042C,
YBR043C,2.3287257638
YBR044C,
YBR045C,
YBR046C,-0.2440699214
YBR047W,
YBR048W,
YBR049C,0.4954429481
YBR050C,
YBR051W,
YBR052C,-1.2351884892
YBR053C,
YBR054W,16.4189990643
YBR055C,
YBR056C-B,
YBR056W,
YBR056W-A,
YBR057C,
YBR058C,
YBR058C-A,1.3780306628
YBR059C,7.9712552582
YBR060C,
YBR061C,
YBR062C,
YBR063C,
YBR064W,
YBR065C,
YBR066C,
YBR067C,14.1105663865
YBR068C,
YBR069C,2.9507509185
YBR070C,
YBR071W,
YBR072C-A,
YBR072W,
YBR073W,
YBR074W,
YBR075W,
YBR076C-A,
YBR076W,
YBR077C,-0.1424127952
YBR078W,
YBR079C,-0.0261867832
YBR080C,1.5345920135
YBR081C,
YBR082C,2.3866407125
YBR083W,
YBR084C-A,-1.6070370088
