ID,Physical interaction
Q0010,
Q0017,
Q0032,
Q0045,22.0
Q0050,6.0
Q0055,1.0
Q0060,1.0
Q0065,1.0
Q0070,1.0
Q0075,1.0
Q0080,7.0
Q0085,11.0
Q0092,
Q0105,13.0
Q0110,2.0
Q0115,3.0
Q0120,5.0
Q0130,10.0
Q0140,10.0
Q0142,
Q0143,
Q0144,
Q0160,
Q0182,
Q0250,27.0
Q0255,1.0
Q0275,19.0
Q0297,
R0020C,
R0040C,
snR10,
YAL001C,18.0
YAL002W,273.0
YAL003W,45.0
YAL004W,
YAL005C,520.0
YAL007C,53.0
YAL008W,13.0
YAL009W,13.0
YAL010C,135.0
YAL011W,277.0
YAL012W,119.0
YAL013W,268.0
YAL014C,17.0
YAL015C,19.0
YAL016C-A,
YAL016C-B,
YAL016W,44.0
YAL017W,28.0
YAL018C,22.0
YAL019W,75.0
YAL019W-A,
YAL020C,50.0
YAL021C,112.0
YAL022C,9.0
YAL023C,134.0
YAL024C,160.0
YAL025C,23.0
YAL026C,131.0
YAL026C-A,
YAL027W,18.0
YAL028W,62.0
YAL029C,43.0
YAL030W,41.0
YAL031C,16.0
YAL031W-A,
YAL032C,31.0
YAL033W,20.0
YAL034C,14.0
YAL034C-B,
YAL034WA,
YAL034W-A,42.0
YAL035C-A,
YAL035W,50.0
YAL036C,24.0
YAL037C-A,
YAL037C-B,
YAL037W,3.0
YAL038W,121.0
YAL039C,23.0
YAL040C,113.0
YAL041W,51.0
YAL042C-A,
YAL042W,59.0
YAL043C,58.0
YAL043C-A,
YAL044C,36.0
YAL044W-A,2.0
YAL045C,
YAL046C,6.0
YAL047C,63.0
YAL047W-A,
YAL048C,79.0
YAL049C,6.0
YAL051W,35.0
YAL053W,29.0
YAL054C,21.0
YAL055W,50.0
YAL056C-A,
YAL056W,32.0
YAL058C-A,
YAL058W,104.0
YAL059C-A,
YAL059W,25.0
YAL060W,19.0
YAL061W,6.0
YAL062W,20.0
YAL063C,7.0
YAL063C-A,2.0
YAL064C-A,7.0
YAL064W,
YAL064W-B,2.0
YAL065C,12.0
YAL065C-A,
YAL066W,
YAL067C,15.0
YAL067W-A,
YAL068C,5.0
YAL068W-A,
YAL069W,
YAR002CA,
YAR002C-A,81.0
YAR002W,151.0
YAR003W,175.0
YAR007C,107.0
YAR008W,5.0
YAR009C,
YAR010C,
YAR014C,91.0
YAR015W,25.0
YAR018C,86.0
YAR019C,58.0
YAR019W-A,
YAR020C,4.0
YAR023C,6.0
YAR027W,41.0
YAR028W,16.0
YAR029W,59.0
YAR030C,
YAR031W,16.0
YAR033W,14.0
YAR035C-A,
YAR035W,14.0
YAR037W,
YAR040C,
YAR042W,43.0
YAR043C,
YAR044W,
YAR047C,
YAR050W,15.0
YAR052C,
YAR053W,
YAR060C,
YAR061W,
YAR062W,
YAR064W,1.0
YAR066W,7.0
YAR068W,2.0
YAR069C,
YAR070C,
YAR071W,
YAR073W,
YAR074C,
YAR075W,
YBL001C,15.0
YBL002W,112.0
YBL003C,144.0
YBL004W,52.0
YBL005W,36.0
YBL005WA,
YBL005W-A,
YBL005W-B,
YBL006C,31.0
YBL006W-A,
YBL007C,242.0
YBL008W,123.0
YBL008W-A,
YBL009W,10.0
YBL010C,17.0
YBL011W,66.0
YBL012C,
YBL013W,30.0
YBL014C,15.0
YBL015W,48.0
YBL016W,159.0
YBL017C,88.0
YBL018C,92.0
YBL019W,21.0
YBL020W,12.0
YBL021C,86.0
YBL022C,62.0
YBL023C,58.0
YBL024W,51.0
YBL025W,23.0
YBL026W,32.0
YBL027W,73.0
YBL028C,8.0
YBL029C-A,1.0
YBL029W,7.0
YBL030C,48.0
YBL031W,55.0
YBL032W,34.0
YBL033C,6.0
YBL034C,29.0
YBL035C,20.0
YBL036C,41.0
YBL037W,31.0
YBL038W,15.0
YBL039C,79.0
YBL039C-A,
YBL039W-B,2.0
YBL040C,15.0
YBL041W,33.0
YBL042C,18.0
YBL043W,18.0
YBL044W,4.0
YBL045C,64.0
YBL046W,28.0
YBL047C,116.0
YBL048W,
YBL049W,9.0
YBL050W,39.0
YBL051C,81.0
YBL052C,69.0
YBL053W,
YBL054W,29.0
YBL055C,24.0
YBL056W,24.0
YBL057C,28.0
YBL058W,143.0
YBL059C-A,4.0
YBL059W,25.0
YBL060W,15.0
YBL061C,95.0
YBL062W,
YBL063W,29.0
YBL064C,30.0
YBL065W,
YBL066C,27.0
YBL067C,56.0
YBL068W,23.0
YBL068W-A,
YBL069W,9.0
YBL070C,
YBL071C,
YBL071C-B,2.0
YBL071W-A,10.0
YBL072C,227.0
YBL073W,
YBL074C,13.0
YBL075C,69.0
YBL076C,30.0
YBL077W,
YBL078C,78.0
YBL079W,69.0
YBL080C,4.0
YBL081W,26.0
YBL082C,76.0
YBL083C,
YBL084C,30.0
YBL085W,36.0
YBL086C,14.0
YBL087C,58.0
YBL088C,69.0
YBL089W,49.0
YBL090W,14.0
YBL091C,15.0
YBL091CA,
YBL091C-A,15.0
YBL092W,27.0
YBL093C,49.0
YBL094C,
YBL095W,23.0
YBL096C,
YBL097W,14.0
YBL098W,29.0
YBL099W,75.0
YBL100C,
YBL100W-A,
YBL100W-B,
YBL100W-C,
YBL101C,38.0
YBL101WA,
YBL101W-A,
YBL101W-B,
YBL102W,57.0
YBL103C,206.0
YBL104C,53.0
YBL105C,110.0
YBL106C,17.0
YBL107C,10.0
YBL107WA,
YBL107W-A,
YBL108C-A,
YBL108W,
YBL109W,
YBL111C,6.0
YBL112C,2.0
YBL113C,3.0
YBL113W-A,
YBR001C,21.0
YBR002C,13.0
YBR003W,14.0
YBR004C,13.0
YBR005W,17.0
YBR006W,16.0
YBR007C,10.0
YBR008C,7.0
YBR009C,272.0
YBR010W,269.0
YBR011C,48.0
YBR012C,
YBR012W-A,
YBR012W-B,
YBR013C,6.0
YBR014C,18.0
YBR015C,69.0
YBR016W,15.0
YBR017C,31.0
YBR018C,35.0
YBR019C,35.0
YBR020W,22.0
YBR021W,8.0
YBR022W,10.0
YBR023C,96.0
YBR024W,18.0
YBR025C,56.0
YBR026C,137.0
YBR027C,
YBR028C,22.0
YBR029C,23.0
YBR030W,25.0
YBR031W,124.0
YBR032W,
YBR033W,33.0
YBR034C,47.0
YBR035C,106.0
YBR036C,379.0
YBR037C,9.0
YBR038W,17.0
YBR039W,44.0
YBR040W,6.0
YBR041W,68.0
YBR042C,27.0
YBR043C,10.0
YBR044C,32.0
YBR045C,14.0
YBR046C,14.0
YBR047W,10.0
YBR048W,73.0
YBR049C,37.0
YBR050C,13.0
YBR051W,
YBR052C,16.0
YBR053C,11.0
YBR054W,17.0
YBR055C,40.0
YBR056C-B,
YBR056W,40.0
