ID,Protein half life
Q0010,
Q0017,
Q0032,
Q0045,
Q0050,
Q0055,
Q0060,
Q0065,
Q0070,
Q0075,
Q0080,
Q0085,
Q0092,
Q0105,
Q0110,
Q0115,
Q0120,
Q0130,
Q0140,645.3
Q0142,
Q0143,
Q0144,
Q0160,
Q0182,
Q0250,603.1
Q0255,
Q0275,
Q0297,
R0020C,383.7
R0040C,195.8
snR10,
YAL001C,415.6
YAL002W,
YAL003W,580.0
YAL004W,
YAL005C,1211.0
YAL007C,632.7
YAL008W,
YAL009W,861.9
YAL010C,358.9
YAL011W,661.4
YAL012W,737.5
YAL013W,537.4
YAL014C,297.1
YAL015C,467.0
YAL016C-A,
YAL016C-B,
YAL016W,634.9
YAL017W,746.8
YAL018C,
YAL019W,440.5
YAL019W-A,
YAL020C,
YAL021C,638.3
YAL022C,425.5
YAL023C,503.3
YAL024C,408.2
YAL025C,345.8
YAL026C,546.4
YAL026C-A,
YAL027W,
YAL028W,
YAL029C,550.1
YAL030W,499.8
YAL031C,488.5
YAL031W-A,
YAL032C,290.2
YAL033W,351.4
YAL034C,
YAL034C-B,
YAL034WA,
YAL034W-A,403.6
YAL035C-A,
YAL035W,570.2
YAL036C,376.9
YAL037C-A,
YAL037C-B,
YAL037W,
YAL038W,699.5
YAL039C,727.2
YAL040C,
YAL041W,443.7
YAL042C-A,
YAL042W,449.6
YAL043C,557.5
YAL043C-A,
YAL044C,423.0
YAL044W-A,216.6
YAL045C,
YAL046C,280.0
YAL047C,316.9
YAL047W-A,
YAL048C,
YAL049C,386.2
YAL051W,86.6
YAL053W,389.5
YAL054C,
YAL055W,566.0
YAL056C-A,
YAL056W,
YAL058C-A,
YAL058W,432.8
YAL059C-A,
YAL059W,388.3
YAL060W,393.8
YAL061W,
YAL062W,
YAL063C,
YAL063C-A,
YAL064C-A,
YAL064W,
YAL064W-B,
YAL065C,
YAL065C-A,
YAL066W,
YAL067C,
YAL067W-A,
YAL068C,
YAL068W-A,
YAL069W,
YAR002CA,
YAR002C-A,576.2
YAR002W,453.9
YAR003W,
YAR007C,544.9
YAR008W,1042.1
YAR009C,
YAR010C,
YAR014C,330.8
YAR015W,494.0
YAR018C,329.0
YAR019C,919.6
YAR019W-A,
YAR020C,
YAR023C,
YAR027W,92.5
YAR028W,144.4
YAR029W,
YAR030C,
YAR031W,117.1
YAR033W,398.6
YAR035C-A,
YAR035W,
YAR037W,
YAR040C,
YAR042W,690.0
YAR043C,
YAR044W,
YAR047C,
YAR050W,
YAR052C,
YAR053W,
YAR060C,
YAR061W,
YAR062W,
YAR064W,
YAR066W,
YAR068W,
YAR069C,
YAR070C,
YAR071W,
YAR073W,
YAR074C,
YAR075W,
YBL001C,
YBL002W,631.6
YBL003C,
YBL004W,374.7
YBL005W,
YBL005WA,
YBL005W-A,
YBL005W-B,
YBL006C,422.8
YBL006W-A,
YBL007C,607.8
YBL008W,517.0
YBL008W-A,
YBL009W,
YBL010C,604.3
YBL011W,455.1
YBL012C,
YBL013W,1714.7
YBL014C,
YBL015W,568.9
YBL016W,263.4
YBL017C,530.9
YBL018C,281.5
YBL019W,
YBL020W,
YBL021C,
YBL022C,523.4
YBL023C,723.8
YBL024W,594.6
YBL025W,260.4
YBL026W,565.0
YBL027W,633.9
YBL028C,144.5
YBL029C-A,625.6
YBL029W,
YBL030C,410.5
YBL031W,144.7
YBL032W,717.8
YBL033C,387.5
YBL034C,552.8
YBL035C,431.3
YBL036C,378.9
YBL037W,506.6
YBL038W,1825.0
YBL039C,571.8
YBL039C-A,
YBL039W-B,
YBL040C,
YBL041W,635.3
YBL042C,101.8
YBL043W,
YBL044W,
YBL045C,534.5
YBL046W,412.4
YBL047C,688.6
YBL048W,
YBL049W,
YBL050W,690.9
YBL051C,446.8
YBL052C,
YBL053W,
YBL054W,197.7
YBL055C,474.5
YBL056W,556.0
YBL057C,634.0
YBL058W,559.7
YBL059C-A,120.4
YBL059W,
YBL060W,
YBL061C,325.3
YBL062W,
YBL063W,
YBL064C,611.0
YBL065W,
YBL066C,589.0
YBL067C,580.7
YBL068W,603.7
YBL068W-A,504.5
YBL069W,504.5
YBL070C,
YBL071C,
YBL071C-B,
YBL071W-A,
YBL072C,586.1
YBL073W,
YBL074C,534.4
YBL075C,662.9
YBL076C,647.6
YBL077W,
YBL078C,321.2
YBL079W,629.6
YBL080C,416.3
YBL081W,151.6
YBL082C,484.4
YBL083C,
YBL084C,
YBL085W,338.6
YBL086C,260.9
YBL087C,1145.7
YBL088C,
YBL089W,
YBL090W,276.2
YBL091C,587.4
YBL091CA,
YBL091C-A,405.2
YBL092W,595.0
YBL093C,221.7
YBL094C,
YBL095W,
YBL096C,
YBL097W,
YBL098W,786.0
YBL099W,517.2
YBL100C,
YBL100W-A,
YBL100W-B,
YBL100W-C,
YBL101C,457.0
YBL101WA,
YBL101W-A,
YBL101W-B,
YBL102W,
YBL103C,462.2
YBL104C,873.0
YBL105C,601.8
YBL106C,
YBL107C,784.4
YBL107WA,
YBL107W-A,
YBL108C-A,
YBL108W,
YBL109W,
YBL111C,83.8
YBL112C,
YBL113C,83.8
YBL113W-A,
YBR001C,
YBR002C,592.1
YBR003W,460.2
YBR004C,
YBR005W,
YBR006W,437.8
YBR007C,279.7
YBR008C,
YBR009C,505.3
YBR010W,444.8
YBR011C,648.9
YBR012C,
YBR012W-A,
YBR012W-B,
YBR013C,
YBR014C,155.2
YBR015C,413.4
YBR016W,572.1
YBR017C,767.5
YBR018C,
YBR019C,
YBR020W,
YBR021W,
YBR022W,648.8
YBR023C,223.0
YBR024W,396.4
YBR025C,874.2
YBR026C,485.7
YBR027C,
YBR028C,303.7
YBR029C,435.8
YBR030W,521.0
YBR031W,590.2
YBR032W,
YBR033W,
YBR034C,715.7
YBR035C,820.5
YBR036C,
YBR037C,2148.9
YBR038W,44.4
YBR039W,484.5
YBR040W,
YBR041W,592.1
YBR042C,720.8
YBR043C,
YBR044C,485.8
YBR045C,
YBR046C,458.3
YBR047W,
YBR048W,531.8
YBR049C,451.8
YBR050C,
YBR051W,
YBR052C,551.4
YBR053C,1016.8
YBR054W,
YBR055C,527.2
YBR056C-B,
YBR056W,693.5
YBR056W-A,
YBR057C,149.8
YBR058C,527.1
YBR058C-A,421.0
YBR059C,592.4
YBR060C,477.0
YBR061C,939.3
YBR062C,112.1
YBR063C,
YBR064W,
YBR065C,847.2
YBR066C,
YBR067C,
YBR068C,51.4
YBR069C,281.4
YBR070C,
YBR071W,
YBR072C-A,
YBR072W,
YBR073W,180.3
YBR074W,
YBR075W,
YBR076C-A,
YBR076W,
YBR077C,485.5
YBR078W,124.8
YBR079C,652.7
YBR080C,723.6
YBR081C,612.1
