"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"GCR2"," 0.1932484"," 0.03063192","4.23392e-44","40.60241","0.863710"," 71"
"SRV2"," 0.1836584"," 0.05324809","6.27211e-40","36.43173","0.842909"," 84"
"SFP1"," 0.1765398"," 0.05507452","5.59842e-37","33.48108","0.756476","284"
"XRN1"," 0.1630725"," 0.07795978","9.90322e-32","28.23337","0.837139","171"
"REG1"," 0.1595145"," 0.04572401","2.04066e-30","26.91938","0.870102"," 56"
"SWA2"," 0.1594833"," 0.04053163","2.09475e-30","26.90802","0.828543","119"
"GPR1"," 0.1519291"," 0.02575866","1.02532e-27","24.21829","0.896373","103"
"RCY1"," 0.1505252"," 0.03212360","3.13245e-27","23.73326","0.877092"," 65"
"SSN8"," 0.1474533"," 0.02900145","3.47560e-26","22.68812","0.881767"," 48"
"RAM1"," 0.1458596"," 0.05699299","1.18711e-25","22.15466","0.862719"," 88"
"ITT1","-0.1445162","-0.01235774","3.30816e-25","21.70956","0.642408","267"
"THP1"," 0.1432320"," 0.03851545","8.73191e-25","21.28804","0.857128","146"
"CTK1"," 0.1427795"," 0.04149443","1.22664e-24","21.14043","0.709821","199"
"SIR3","-0.1428204","-0.01570816","1.24016e-24","21.13567","0.947749"," 35"
"SSN3"," 0.1402120"," 0.03453145","8.26440e-24","20.31194","0.878175"," 60"
"UBR2"," 0.1393032"," 0.01860608","1.60987e-23","20.02236","0.747224","308"
"OPI3"," 0.1390482"," 0.06147685","1.93964e-23","19.94143","0.809948","188"
"CAF130"," 0.1351500"," 0.01413660","3.20441e-22","18.72340","0.939338"," 61"
"MCK1"," 0.1312805"," 0.02303038","4.78639e-21","17.54914","0.910034","109"
"KAP120"," 0.1306780"," 0.02350462","7.23991e-21","17.36941","0.865721"," 68"
"PHO85"," 0.1306275"," 0.02697392","7.49494e-21","17.35438","0.924773"," 61"
"GRR1"," 0.1302066"," 0.03706518","9.99489e-21","17.22937","0.837859"," 55"
"RTG3"," 0.1302118"," 0.01237398","1.01327e-20","17.22342","0.912318"," 34"
"IES6"," 0.1294400"," 0.03652327","1.68419e-20","17.00276","0.858903","162"
"SIS2"," 0.1292802"," 0.07958808","1.87701e-20","16.95568","0.271286","164"
"NUP133"," 0.1271198"," 0.02621734","8.01839e-20","16.32506","0.895548"," 83"
"KIN82","-0.1248489","-0.00862132","3.59236e-19","15.67377","0.874716","105"
"SRO9"," 0.1238046"," 0.02266598","7.09409e-19","15.37825","0.937239","204"
"VPS3"," 0.1229354"," 0.01899494","1.24442e-18","15.13418","0.864409"," 89"
"IRE1","-0.1220846","-0.01877000","2.14883e-18","14.89695","0.931280","215"
"IRC3"," 0.1205649"," 0.02064185","5.64702e-18","14.47733","0.823706","173"
"NPL6"," 0.1175164"," 0.02717030","3.78170e-17","13.65146","0.801597","114"
"LCB5","-0.1171587","-0.01234399","4.71179e-17","13.55596","0.941788","175"
"GCN5"," 0.1171246"," 0.02771432","4.81156e-17","13.54686","0.901520","107"
"TLC1"," 0.1170094"," 0.03732421","5.16377e-17","13.51618","0.823033","112"
"RSC2"," 0.1169202"," 0.02920303","5.45408e-17","13.49243","0.890678"," 70"
"NUP60"," 0.1168915"," 0.01746180","5.55054e-17","13.48481","0.888219","122"
"NOP6"," 0.1161903"," 0.01043529","8.57630e-17","13.29585","0.946318"," 61"
"KAP122"," 0.1150910"," 0.01358258","1.65804e-16","13.00955","0.915688","106"
"ENV11"," 0.1150084"," 0.01386938","1.74269e-16","12.98793","0.811663","223"
"SPT20"," 0.1146628"," 0.02919001","2.14558e-16","12.89760","0.797028"," 93"
"UBP3"," 0.1137845"," 0.03123281","3.62936e-16","12.66932","0.916045","244"
"PML39"," 0.1136629"," 0.00758594","3.90210e-16","12.63785","0.937568"," 85"
"SRB8"," 0.1132882"," 0.02289015","4.87613e-16","12.54107","0.882664"," 43"
"BMH1"," 0.1127237"," 0.01616604","6.81142e-16","12.39591","0.945845"," 75"
"CBF1"," 0.1127043"," 0.02411048","6.88990e-16","12.39093","0.905816"," 85"
"SUS1"," 0.1109988"," 0.01808773","1.87215e-15","11.95681","0.908340","152"
"CTR9"," 0.1109858"," 0.04179587","1.88634e-15","11.95353","0.891466","260"
"CST6"," 0.1102175"," 0.03347169","2.94456e-15","11.76013","0.870323"," 83"
"ARP8"," 0.1096363"," 0.01851816","4.11554e-15","11.61472","0.840326","129"
"MRN1","-0.1086729","-0.01193281","7.14133e-15","11.37537","0.883131"," 54"
"HNT3","-0.1085515","-0.00868717","7.65254e-15","11.34534","0.891228"," 89"
"IPK1"," 0.1084217"," 0.02172076","8.23851e-15","11.31330","0.868929"," 77"
"BRE5"," 0.1078247"," 0.02331621","1.15555e-14","11.16636","0.933787","136"
"MEI5","-0.1073129","-0.00844936","1.55112e-14","11.03850","0.893238"," 67"
"HCR1"," 0.1066321"," 0.01550046","2.25884e-14","10.87526","0.920324"," 95"
"PIH1"," 0.1055772"," 0.01172164","4.06152e-14","10.62046","0.873352","123"
"VPS8"," 0.1053361"," 0.02040474","4.64065e-14","10.56257","0.876062","104"
"VPS15"," 0.1052663"," 0.02424027","4.82308e-14","10.54582","0.865747"," 60"
"MRT4"," 0.1052039"," 0.01215002","4.99187e-14","10.53089","0.899117"," 69"
"INO4"," 0.1051631"," 0.03033397","5.10568e-14","10.52109","0.888818","120"
"YPK1"," 0.1045834"," 0.01948973","7.02206e-14","10.38268","0.863863"," 82"
"SFL1","-0.1044399","-0.01266855","7.59627e-14","10.34855","0.883442","109"
"KKQ8","-0.1035556","-0.00751746","1.23036e-13","10.13912","0.900774"," 85"
"PLC1"," 0.1032560"," 0.02092769","1.44732e-13","10.06858","0.888748"," 61"
"PPG1","-0.1031741","-0.00695371","1.52121e-13","10.04696","0.925417"," 51"
"PAF1"," 0.1027403"," 0.03805466","1.91216e-13"," 9.94762","0.882402","275"
"NGG1"," 0.1025471"," 0.02294097","2.12175e-13"," 9.90245","0.881302"," 85"
"YTA7"," 0.1019593"," 0.02065689","2.90790e-13"," 9.76557","0.905549","141"
"SGF73"," 0.1019487"," 0.01862570","2.92443e-13"," 9.76311","0.856004","151"
"ELM1"," 0.1018580"," 0.01394877","3.06966e-13"," 9.74206","0.925697","102"
"SET4","-0.1018009","-0.01002114","3.16474e-13"," 9.72881","0.869414"," 86"
"SAC3"," 0.1007886"," 0.01951153","5.41891e-13"," 9.49524","0.886366","130"
"RPA12"," 0.1003500"," 0.01142650","6.82977e-13"," 9.39474","0.888471","122"
"YBR285W","-0.0999641","-0.01253126","8.36463e-13"," 9.30670","0.899183"," 82"
"RNY1"," 0.0998582"," 0.01726648","8.84215e-13"," 9.28259","0.869686"," 86"
"RPB9"," 0.0997672"," 0.02763202","9.27362e-13"," 9.26190","0.828810","226"
"OPI1"," 0.0995614"," 0.02176847","1.03275e-12"," 9.21515","0.880815"," 67"
"MSC1"," 0.0994467"," 0.01048062","1.09647e-12"," 9.18915","0.927957"," 90"
"NPL3"," 0.0994181"," 0.03047085","1.11292e-12"," 9.18268","0.872030","111"
"FKS1"," 0.0993912"," 0.01495862","1.12865e-12"," 9.17659","0.882856","100"
"SSN2"," 0.0993145"," 0.01979394","1.17469e-12"," 9.15922","0.886722"," 41"
"SPT21"," 0.0989878"," 0.02076812","1.39227e-12"," 9.08543","0.868177"," 91"
"RRP8"," 0.0989435"," 0.01009560","1.42473e-12"," 9.07542","0.930497"," 66"
"TUP1"," 0.0987770"," 0.02160852","1.55320e-12"," 9.03792","0.825795"," 42"
"IST3"," 0.0984421"," 0.01220044","1.84705e-12"," 8.96267","0.820993","156"
"VPS1"," 0.0981901"," 0.01398217","2.10351e-12"," 8.90620","0.904089"," 91"
"RSC1"," 0.0981317"," 0.01680950","2.16773e-12"," 8.89314","0.865477","156"
"SET2"," 0.0977113"," 0.01343159","2.69046e-12"," 8.79932","0.846436","121"
"TPK3"," 0.0976399"," 0.00862774","2.79082e-12"," 8.78342","0.941089"," 86"
"SNT309"," 0.0975671"," 0.01801602","2.89683e-12"," 8.76723","0.839659","222"
"STP2","-0.0954251","-0.00675213","8.57298e-12"," 8.29602","0.903805"," 46"
"CKA2"," 0.0953137"," 0.01256241","9.06480e-12"," 8.27179","0.893939"," 71"
"CYC8"," 0.0951808"," 0.03398859","9.68737e-12"," 8.24294","0.812479"," 58"
"RRG9"," 0.0943117"," 0.02108172","1.49280e-11"," 8.05515","0.882610","153"
"NPR2"," 0.0942819"," 0.00622683","1.51501e-11"," 8.04873","0.934560"," 67"
"SLA1"," 0.0937254"," 0.01070010","1.99408e-11"," 7.92940","0.854098"," 79"
"UTP30","-0.0935595","-0.00998587","2.17337e-11"," 7.89202","0.903420"," 60"
"RTT109"," 0.0935310"," 0.01995905","2.19413e-11"," 7.88789","0.849677","123"
"PTC1"," 0.0930481"," 0.01988599","2.77988e-11"," 7.78512","0.844477"," 81"
