"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"ELM1"," 0.613082"," 0.19150756","1.79858e-210","206.96260","0.236805","147"
"GPH1","-0.591544","-0.15021566","1.81741e-192","188.95807","0.209099"," 74"
"PFK2"," 0.588973"," 0.41196494","2.08245e-190","186.89895","0.288986","176"
"RSA1","-0.580254","-0.28258406","1.46519e-183","180.05163","0.293659","138"
"DCC1"," 0.569571"," 0.17133817","1.90133e-175","171.93847","0.216235"," 95"
"CTF18"," 0.567812"," 0.18117245","3.85721e-174","170.63125","0.245797","100"
"CHL1"," 0.566384"," 0.09911507","4.38468e-173","169.57559","0.217145","106"
"SWI4"," 0.558135"," 0.20447710","4.35765e-167","163.57827","0.211732"," 88"
"RTT109"," 0.551557"," 0.38829894","2.00790e-162","158.91479","0.253813","120"
"MMS22"," 0.547931"," 0.25944309","6.75073e-160","156.38818","0.272744"," 87"
"STB5"," 0.542939"," 0.30082802","1.80542e-156","152.96095","0.255418","130"
"CTF4"," 0.538276"," 0.21840010","2.55290e-153","149.81049","0.261475","106"
"CST6"," 0.538137"," 0.45237184","3.16164e-153","149.71762","0.209177","101"
"CYC8"," 0.535380"," 0.56917520","2.18223e-151","147.87863","0.234402"," 64"
"EAF1"," 0.530866"," 0.29320605","2.05323e-148","144.90509","0.230530","175"
"EUG1","-0.526412","-0.12466471","1.59405e-145","142.01503","0.252541","113"
"RCM1","-0.526207","-0.19699141","2.15994e-145","141.88309","0.271761","174"
"BCY1","-0.521328","-0.35182019","2.81319e-142","138.76833","0.272074","112"
"IRE1","-0.518213","-0.20630968","2.58153e-140","136.80565","0.209013","150"
"TLC1"," 0.514910"," 0.44255904","2.95368e-138","134.74716","0.238724"," 56"
