"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"SIS2"," 0.729310"," 0.27850616"," 0.00000e+00","350.00000","0.452357","344"
"IRA2","-0.692767","-0.27371492","8.09294e-313","309.31592","0.387843","260"
"TIF2","-0.658238","-0.09517976","5.29595e-272","268.50008","0.411863","198"
"LSM6"," 0.633207"," 0.16170065","1.21630e-245","242.13898","0.342729","421"
"RSA1","-0.625676","-0.30023814","3.52407e-238","234.67698","0.296941","110"
"YKR023W","-0.597717","-0.21002411","3.45161e-212","208.68600","0.218919"," 67"
"PFK2"," 0.595752"," 0.35424742","1.85629e-210","206.95538","0.303190","142"
"ATG10","-0.594030","-0.11196129","5.97369e-209","205.44778","0.223133","154"
"ELM1"," 0.587744"," 0.16004478","1.58918e-203","200.02285","0.223535","208"
"RAD54"," 0.586752"," 0.15666571","1.11191e-202","199.17795","0.203564","124"
"YHR003C","-0.586500","-0.26034593","1.82203e-202","198.96347","0.201784"," 70"
"DCC1"," 0.576906"," 0.14049147","1.90638e-194","190.94382","0.233828","119"
"RAD52"," 0.576735"," 0.21414348","2.63126e-194","190.80386","0.230982","137"
"STB5"," 0.566216"," 0.28719095","8.08179e-186","182.31652","0.213007","111"
"SLX5"," 0.563920"," 0.29524886","5.23878e-184","180.50480","0.240214","140"
"CTF18"," 0.559329"," 0.15247558","1.99681e-180","176.92369","0.247513","106"
"MMS22"," 0.557012"," 0.22447172","1.22121e-178","175.13724","0.300621","120"
"GCN4","-0.553701","-0.13287626","4.11353e-176","172.60981","0.203915","220"
"CTF4"," 0.553699"," 0.19694777","4.12916e-176","172.60816","0.267704","138"
"RTT109"," 0.552269"," 0.32950032","5.00443e-175","171.52467","0.283183","132"
"CYC8"," 0.549589"," 0.53604427","5.18396e-173","169.50936","0.243145"," 74"
"SRV2"," 0.547184"," 0.38573505","3.21855e-171","167.71637","0.234418","101"
"TLC1"," 0.541959"," 0.37439018","2.26075e-167","163.86977","0.290614","127"
"CCE1"," 0.541378"," 0.18332809","5.98702e-167","163.44681","0.273735","165"
"CIN8"," 0.538838"," 0.13575186","4.16279e-165","161.60464","0.229672"," 68"
"RCM1","-0.534548","-0.19519505","4.94411e-162","158.52994","0.202361","175"
"IRE1","-0.527788","-0.18392768","2.82343e-157","153.77325","0.236222","167"
"DUN1"," 0.516474"," 0.12107643","1.49527e-149","146.04930","0.220204","123"
"RPN13"," 0.512811"," 0.28510839","4.10204e-147","143.61103","0.301299","109"
"GEP3"," 0.510463"," 0.26052799","1.44806e-145","142.06324","0.302863","151"
"IRC3"," 0.507753"," 0.20097981","8.54489e-144","140.29232","0.251403","148"
"JJJ1"," 0.505332"," 0.15996569","3.16704e-142","138.72337","0.264985","234"
"RTT107"," 0.501295"," 0.09255167","1.22782e-139","136.13489","0.223114","139"
"OCA4"," 0.500305"," 0.10056695","5.23081e-139","135.50546","0.221661"," 89"
"DAL81"," 0.488839"," 0.17167028","7.22551e-132","128.36516","0.255573","179"
"SIW14"," 0.486982"," 0.11845370","9.77708e-131","127.23382","0.201344","123"
"RIM11","-0.476211","-0.10290572","2.59991e-124","120.80907","0.227486","264"
"BCY1","-0.475419","-0.34936002","7.55088e-124","120.34603","0.231635","116"
"KAP120"," 0.470698"," 0.21886409","4.12428e-121","117.60868","0.209753","126"
"ACO1"," 0.469874"," 0.33270585","1.22680e-120","117.13525","0.268846","123"
"THP1"," 0.463495"," 0.28128071","5.12515e-117","113.51432","0.215441","151"
"MIH1","-0.443651","-0.09506678","3.11433e-106","102.73066","0.263917","154"
"PTP3"," 0.433919"," 0.09511913","3.35696e-101"," 97.69808","0.244065","155"
"HEL2"," 0.421707"," 0.10954194"," 4.09933e-95"," 91.61131","0.346089","223"
"TFB5"," 0.421559"," 0.18360371"," 4.84175e-95"," 91.53902","0.213321","116"
"SAC3"," 0.418224"," 0.17511202"," 2.00888e-93"," 89.92107","0.214180","167"
"DBR1"," 0.411204"," 0.09178104"," 4.46410e-90"," 86.57429","0.247931","184"
"RSC1"," 0.395894"," 0.14077030"," 4.75112e-83"," 79.54723","0.277558","187"
"CSM3","-0.394455","-0.03175243"," 2.08051e-82"," 78.90586","0.424721","542"
"GIS1","-0.388153","-0.07941236"," 1.23288e-79"," 76.13310","0.330615","339"
"CCR4"," 0.385458"," 0.24265022"," 1.81310e-78"," 74.96560","0.360459"," 98"
"NCS6"," 0.374474"," 0.10663562"," 8.01684e-74"," 70.32002","0.332503","225"
"EST3"," 0.367869"," 0.14707650"," 4.09436e-71"," 67.61184","0.271546","151"
"SAS4"," 0.359421"," 0.07896406"," 9.65790e-68"," 64.23914","0.314146","127"
"UBR2"," 0.346267"," 0.09881019"," 1.08719e-62"," 59.18772","0.391599","321"
"NPL6"," 0.343041"," 0.19065489"," 1.73265e-61"," 57.98532","0.252711","144"
"PFK27"," 0.342017"," 0.14210046"," 4.14441e-61"," 57.60656","0.312722","129"
"OPI3"," 0.329585"," 0.19988426"," 1.26699e-56"," 53.12125","0.852514","183"
"CTK1"," 0.326019"," 0.20438123"," 2.24632e-55"," 51.87255","0.260156","158"
"ASF1"," 0.323979"," 0.07291726"," 1.14321e-54"," 51.16590","0.900608","136"
"SAN1","-0.321594","-0.07237819"," 7.54460e-54"," 50.34639","0.252038","495"
"JHD2","-0.318705","-0.05935309"," 7.24850e-53"," 49.36378","0.269461","219"
"POC4","-0.317170","-0.09974027"," 2.38766e-52"," 48.84605","0.224187"," 87"
"SWI6"," 0.310728"," 0.09026730"," 3.29433e-50"," 46.70626","0.896809","123"
"KAR3"," 0.292740"," 0.05837217"," 1.64337e-44"," 41.00829","0.920119"," 73"
"VPS4"," 0.288841"," 0.05206432"," 2.49842e-43"," 39.82636","0.949500"," 79"
"CLB2"," 0.288135"," 0.02866834"," 4.07189e-43"," 39.61423","0.861604","101"
