"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"CYC8","-0.2959084","-0.47011155","5.50127e-112","108.48502","0.201067"," 59"
"NAM7","-0.2481770","-0.14453402"," 2.81948e-78"," 74.77531","0.264484"," 69"
"NMD2","-0.2464515","-0.14905640"," 3.48871e-77"," 73.68282","0.250523"," 57"
"SLX8","-0.2134405","-0.05263226"," 6.61318e-58"," 54.40507","0.932712","117"
"OPI3","-0.1936907","-0.23170784"," 8.24540e-48"," 44.30927","0.216670","164"
"RNR4","-0.1438530","-0.02939993"," 6.44425e-27"," 23.41631","0.895344"," 70"
"SIF2"," 0.1404656"," 0.01916137"," 9.93993e-26"," 22.22810","0.918903","137"
"SCP160"," 0.1362717"," 0.01431586"," 2.68135e-24"," 20.79713","0.923131","195"
"ACO1","-0.1345083","-0.03858008"," 1.03956e-23"," 20.20863","0.852267"," 83"
"SIS2","-0.1342270","-0.09781108"," 1.28828e-23"," 20.11547","0.238983","156"
"SLX5","-0.1326865","-0.03447109"," 4.13658e-23"," 19.60884","0.867595"," 90"
"MMS1","-0.1300235","-0.01474658"," 3.00887e-22"," 18.74708","0.898910","123"
"PFK2","-0.1231625","-0.02996147"," 4.14177e-20"," 16.60830","0.861987"," 96"
"PUF3","-0.1200736","-0.00760685"," 3.48251e-19"," 15.68359","0.896090"," 52"
"TLC1","-0.1195943","-0.03569027"," 4.82249e-19"," 15.54221","0.813285","122"
"SNF5","-0.1187774","-0.02306919"," 8.37343e-19"," 15.30258","0.892907"," 95"
"SUS1","-0.1179117","-0.01886898"," 1.49648e-18"," 15.05041","0.895680","124"
"CLN3","-0.1158656","-0.01088249"," 5.80325e-18"," 14.46181","0.773323","114"
"ETP1","-0.1149458","-0.00907296"," 1.05900e-17"," 14.20059","0.908588"," 64"
"UBP8","-0.1148089","-0.01359741"," 1.15775e-17"," 14.16187","0.867423","217"
