"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"TLC1"," 0.2515841"," 0.19776378","5.77868e-87","83.44508","0.219358","125"
"RPN13"," 0.2213676"," 0.11437476","2.92183e-67","63.74125","0.250405","118"
"RTT109"," 0.2131297"," 0.13468969","2.27497e-62","58.84993","0.225035","133"
"OPI3"," 0.2025443"," 0.20896573","2.22229e-56","52.86011","0.275138","194"
"TFB5"," 0.2021497"," 0.08393649","3.66156e-56","52.64324","0.233019","206"
"GEP3"," 0.2006316"," 0.11918166","2.47728e-55","51.81293","0.209611","129"
"TSL1"," 0.1991039"," 0.10481543","1.66985e-54","50.98423","0.232128","237"
"YPT6"," 0.1934344"," 0.12954527","1.73316e-51","47.96807","0.200580","121"
"SIS2"," 0.1913796"," 0.10093236","2.03677e-50","46.89797","0.299344","156"
"HEL2"," 0.1898815"," 0.04524524","1.20641e-49","46.12541","0.247730","146"
"CCE1"," 0.1847856"," 0.06326888","4.58046e-47","43.54600","0.252086","180"
"EAF1"," 0.1701403"," 0.08327568","4.58603e-40","36.54547","0.230396","240"
"IRC3"," 0.1594347"," 0.07246345","2.48784e-35","31.81109","0.217971","163"
"NPL6"," 0.1556350"," 0.09966081","9.98283e-34","30.20765","0.224089","113"
"DAL81"," 0.1477462"," 0.04643836","1.58650e-30","27.00647","0.219019","160"
"HOS2","-0.1435506","-0.01540945","6.80963e-29","25.37378","0.925393","159"
"VPS1"," 0.1378612"," 0.01874178","9.33360e-27","23.23686","0.890920","106"
"RTG2"," 0.1331218"," 0.01187152","4.81667e-25","21.52416","0.932310"," 40"
"ELC1"," 0.1312740"," 0.00979878","2.15753e-24","20.87295","0.910571"," 77"
"EDC1","-0.1272389","-0.01152294","5.38350e-23","19.47584","0.939954"," 48"
"HFI1","-0.1265595","-0.03279263","8.98693e-23","19.25330","0.815389"," 91"
"NFI1"," 0.1230381"," 0.01141577","1.33110e-21","18.08270","0.890472","111"
"HAL9"," 0.1229666"," 0.00858293","1.40493e-21","18.05925","0.923257"," 56"
"SLX8"," 0.1207187"," 0.02851752","7.53411e-21","17.32988","0.917363","106"
"ADD66","-0.1190389","-0.01256570","2.60837e-20","16.79054","0.911066"," 61"
"SAN1"," 0.1178326"," 0.01338810","6.21781e-20","16.41327","0.923266","323"
"YLR278C"," 0.1145852"," 0.00874026","6.28498e-19","15.40860","0.909469"," 93"
"SPT20","-0.1143206","-0.02913824","7.56717e-19","15.32797","0.803582"," 90"
"PBA1"," 0.1139412"," 0.00862993","9.86746e-19","15.21270","0.935570"," 69"
"VPS27","-0.1129966","-0.01348462","1.90341e-18","14.92737","0.925955"," 77"
"SPT7","-0.1124814","-0.02789684","2.71745e-18","14.77275","0.864188"," 99"
"RAD5"," 0.1100055"," 0.01383795","1.47018e-17","14.03954","0.889687","151"
"IES5"," 0.1092456"," 0.00923344","2.44991e-17","13.81776","0.867883"," 87"
"GPG1","-0.1073901","-0.01113947","8.39812e-17","13.28273","0.942546","131"
"SNF11"," 0.1068936"," 0.00887818","1.17042e-16","13.13857","0.934454"," 60"
"SNT1","-0.1067448","-0.01445731","1.28276e-16","13.09876","0.912437","150"
"ZWF1"," 0.1066812"," 0.01214145","1.33725e-16","13.08069","0.923425"," 55"
"ELA1"," 0.1045558"," 0.00824793","5.29530e-16","12.48302","0.896970"," 70"
"LSM6"," 0.1045489"," 0.02214796","5.31872e-16","12.48110","0.890824","241"
"APC9"," 0.1040817"," 0.00673335","7.17060e-16","12.35135","0.880893"," 76"
"SPP1","-0.1033270","-0.01172043","1.15871e-15","12.14293","0.899968","139"
"KAP123","-0.1031224","-0.01300319","1.32605e-15","12.08435","0.935987"," 72"
"UBR1"," 0.1019379"," 0.01667169","2.77737e-15","11.76327","0.905114","352"
"IRS4"," 0.1018494"," 0.00799078","2.95087e-15","11.73696","0.913233"," 49"
"NKP2","-0.1005819","-0.01178253","6.44624e-15","11.39760","0.831288","238"
"CDC26"," 0.0993661"," 0.01005052","1.35853e-14","11.07384","0.890412"," 85"
"SRN2"," 0.0990079"," 0.00659955","1.68939e-14","10.97918","0.929598"," 35"
"MDM30"," 0.0987723"," 0.01123322","1.94890e-14","10.91712","0.909731"," 79"
"GPB1"," 0.0978803"," 0.01292677","3.33781e-14","10.68345","0.921680"," 61"
"JJJ1"," 0.0973035"," 0.00966302","4.71463e-14","10.53346","0.803734","107"
"PIB2"," 0.0971392"," 0.00782792","5.19995e-14","10.49091","0.937428"," 83"
"HHT1","-0.0969032","-0.00620206","5.98438e-14","10.42989","0.906837"," 94"
"UBX2"," 0.0963717"," 0.01200782","8.20130e-14","10.29303","0.885519"," 55"
"ASI2"," 0.0959987"," 0.00854634","1.02693e-13","10.19537","0.916172"," 67"
"MIG1"," 0.0955965"," 0.00835317","1.29476e-13","10.09472","0.881534"," 92"
"PEP5"," 0.0952187"," 0.01302735","1.61528e-13"," 9.99866","0.887228"," 71"
"IKI1"," 0.0949936"," 0.01498992","1.84215e-13"," 9.94158","0.933074","151"
"CYC8"," 0.0934470"," 0.03264837","4.50586e-13"," 9.55313","0.805274"," 49"
"RTC1","-0.0931855","-0.00682840","5.32787e-13"," 9.48035","0.924130"," 40"
"STE20"," 0.0923172"," 0.00531059","8.65746e-13"," 9.26952","0.936830"," 34"
"YLR352W"," 0.0917466"," 0.00846418","1.18481e-12"," 9.13326","0.911763"," 87"
"EAF5"," 0.0917157"," 0.01109466","1.20564e-12"," 9.12569","0.889823","179"
"RFM1"," 0.0911660"," 0.00832713","1.66274e-12"," 8.98608","0.934576"," 25"
"ELP2"," 0.0909855"," 0.01525963","1.81605e-12"," 8.94778","0.938418","189"
"SLT2"," 0.0906953"," 0.00582550","2.14423e-12"," 8.87564","0.933173"," 69"
"YPR153W","-0.0904281","-0.00590752","2.49825e-12"," 8.80927","0.908006"," 48"
"UBA3"," 0.0903722"," 0.00737898","2.55565e-12"," 8.79941","0.871797","116"
"ASE1","-0.0901664","-0.00549598","2.86458e-12"," 8.74985","0.928587"," 51"
"GPB2","-0.0888691","-0.00854537","5.87072e-12"," 8.43822","0.895804"," 52"
"YIL001W"," 0.0886739"," 0.00612982","6.50406e-12"," 8.39372","0.945994"," 91"
"EAF7"," 0.0870247"," 0.01182448","1.58475e-11"," 8.00695","0.891115"," 98"
"IOC3","-0.0865861","-0.00706311","2.01055e-11"," 7.90359","0.936384"," 50"
"SIF2","-0.0860484","-0.01120847","2.66434e-11"," 7.78132","0.906614","147"
"BCS1"," 0.0860124"," 0.00914916","2.71565e-11"," 7.77303","0.947087","184"
"CIN5","-0.0857998","-0.00642364","3.03839e-11"," 7.72426","0.933295"," 94"
"TIF4631","-0.0849932","-0.00928977","4.65872e-11"," 7.53864","0.935769"," 71"
"STP1"," 0.0847743"," 0.02012220","5.20377e-11"," 7.49059","0.893441"," 84"
"RAD55"," 0.0845376"," 0.00583331","5.88643e-11"," 7.43706","0.894627"," 90"
"SEH1"," 0.0839552"," 0.01210825","7.96117e-11"," 7.30593","0.918410"," 79"
"UBC4"," 0.0838305"," 0.01377308","8.49073e-11"," 7.27796","0.918000","125"
"RXT3"," 0.0830391"," 0.01037082","1.27486e-10"," 7.10145","0.820794","123"
"HIR2"," 0.0828808"," 0.00575589","1.38220e-10"," 7.06634","0.918115"," 93"
"GTR1"," 0.0828791"," 0.00761589","1.38343e-10"," 7.06595","0.897567"," 53"
"RAD26","-0.0827550","-0.00743315","1.47378e-10"," 7.03848","0.928808"," 91"
"RPA14","-0.0824949","-0.00713873","1.68222e-10"," 6.98103","0.897050"," 98"
"PEP3"," 0.0817999"," 0.01157151","2.39108e-10"," 6.82831","0.890264"," 61"
"TCO89"," 0.0813740"," 0.01185292","2.96174e-10"," 6.73536","0.868923"," 75"
"SNF8","-0.0811211","-0.01058584","3.36134e-10"," 6.68040","0.906273"," 47"
"EBS1","-0.0805946","-0.00627612","4.36946e-10"," 6.56648","0.833300","106"
"CTI6"," 0.0804094"," 0.01074944","4.78993e-10"," 6.52658","0.875670","101"
"DOC1"," 0.0792679"," 0.01398483","8.40008e-10"," 6.28263","0.844254"," 98"
"PPH3","-0.0786133","-0.00807482","1.15525e-09"," 6.14423","0.887862","133"
"UFD4","-0.0780842","-0.00629539","1.50125e-09"," 6.03046","0.929987"," 57"
"SAS4"," 0.0772167"," 0.00825882","2.26060e-09"," 5.85269","0.916938"," 50"
"SWC3"," 0.0767252"," 0.00676149","2.85506e-09"," 5.75129","0.870126","104"
"SIR3"," 0.0766376"," 0.00802908","3.02134e-09"," 5.72671","0.933458"," 35"
"ITT1"," 0.0764355"," 0.00663282","3.27417e-09"," 5.69181","0.715764","217"
"UME1"," 0.0760019"," 0.00732064","4.01536e-09"," 5.60318","0.917197","139"
"MIH1","-0.0753144","-0.00734987","5.53644e-09"," 5.46368","0.915783","130"
"UBR2","-0.0748330","-0.00902657","6.92155e-09"," 5.36671","0.725179","293"
"LSM12","-0.0728835","-0.00663086","1.69508e-08"," 4.97772","0.938598"," 40"
"NPR2","-0.0728092","-0.00472810","1.74314e-08"," 4.96558","0.937603"," 65"
"OCA2"," 0.0721025"," 0.00661504","2.39935e-08"," 4.82681","0.925251"," 99"
"ARP6"," 0.0719376"," 0.00744484","2.57550e-08"," 4.79605","0.863773","101"
"SWR1"," 0.0711560"," 0.00825187","3.64100e-08"," 4.64569","0.875251"," 94"
"VPS72"," 0.0706964"," 0.00700859","4.45542e-08"," 4.55802","0.872624","103"
"VPS16"," 0.0698505"," 0.01513703","6.43977e-08"," 4.39804","0.840500","133"
