"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"MRC1","-0.2320288","-0.02029979","1.89620e-75","71.92902","0.878606"," 69"
"CLB5","-0.1542626","-0.01588902","7.74948e-34","30.31764","0.895212","117"
"ASF1","-0.1380573","-0.02250531","2.26076e-27","23.85265","0.856802","155"
"CKB1","-0.1294406","-0.01375457","3.13897e-24","20.71012","0.909103"," 59"
"CKB2","-0.0931912","-0.01226884","2.95492e-13"," 9.73636","0.909984"," 76"
"ELG1","-0.0928440","-0.00635713","3.60219e-13"," 9.65034","0.916500"," 70"
"RTR1"," 0.0913630"," 0.01002924","8.47338e-13"," 9.27885","0.895801","176"
"DUN1","-0.0889268","-0.00810234","3.36046e-12"," 8.68051","0.892086"," 69"
"RTT109","-0.0850563","-0.01475717","2.78280e-11"," 7.76243","0.785797","134"
"CTF8","-0.0823700","-0.00708126","1.14363e-10"," 7.14862","0.896921"," 81"
"CTF18","-0.0817399","-0.00914766","1.58303e-10"," 7.00742","0.837309","110"
"DCC1","-0.0781487","-0.00849246","9.64297e-10"," 6.22270","0.850243","108"
"HHT1","-0.0780103","-0.00502238","1.03219e-09"," 6.19315","0.915067"," 98"
"HOS4","-0.0734269","-0.00559967","9.20881e-09"," 5.24270","0.917948","100"
"SWI6","-0.0717860","-0.01218792","1.95448e-08"," 4.91588","0.800603","127"
"NPT1","-0.0696839","-0.00517311","5.04327e-08"," 4.50420","0.923791"," 39"
"RNR4","-0.0676655","-0.01249610","1.20419e-07"," 4.12621","0.853154"," 86"
