"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"CHO2"," 0.6104453"," 0.19839487"," 0.00000e+00","350.00000","0.872644"," 89"
"IBA57"," 0.5304601"," 0.12211482"," 0.00000e+00","350.00000","0.874299"," 67"
"SRV2"," 0.4960089"," 0.13952567"," 0.00000e+00","350.00000","0.807296"," 58"
"CCE1"," 0.5374112"," 0.07870588"," 0.00000e+00","350.00000","0.856343","141"
"GEP3"," 0.5980589"," 0.13949524"," 0.00000e+00","350.00000","0.863652"," 79"
"GPA2"," 0.4979335"," 0.05545448"," 0.00000e+00","350.00000","0.879703"," 68"
"HFM1"," 0.5345905"," 0.06498009"," 0.00000e+00","350.00000","0.901302"," 60"
"IRC3"," 0.6087839"," 0.11030121"," 0.00000e+00","350.00000","0.860958"," 93"
"IPK1"," 0.4836397"," 0.10399310"," 0.00000e+00","350.00000","0.876875"," 81"
"KAR3"," 0.5250996"," 0.07832165"," 0.00000e+00","350.00000","0.932510"," 56"
"RGP1"," 0.6359090"," 0.15047720"," 0.00000e+00","350.00000","0.880175"," 92"
"RIC1"," 0.5135233"," 0.07115239"," 0.00000e+00","350.00000","0.901630"," 50"
"REG1"," 0.4942764"," 0.13851910"," 0.00000e+00","350.00000","0.869126"," 43"
"RAM1"," 0.5545162"," 0.22495094"," 0.00000e+00","350.00000","0.858194"," 89"
"RAD57"," 0.4681151"," 0.04893181"," 0.00000e+00","350.00000","0.873239","102"
"RAD50"," 0.5459173"," 0.09888474"," 0.00000e+00","350.00000","0.891813"," 81"
"RAD52"," 0.5369716"," 0.08589223"," 0.00000e+00","350.00000","0.858575"," 91"
"NPL3"," 0.4961118"," 0.14772027"," 0.00000e+00","350.00000","0.820785"," 92"
"MGA2"," 0.5586223"," 0.10820858"," 0.00000e+00","350.00000","0.854012"," 74"
"XRN1"," 0.5229963"," 0.23225443"," 0.00000e+00","350.00000","0.756874","183"
"YPT6"," 0.5988163"," 0.14335167"," 0.00000e+00","350.00000","0.878195"," 84"
"RRG9"," 0.5466623"," 0.13428781"," 0.00000e+00","350.00000","0.900586"," 78"
"TUB3"," 0.4933437"," 0.07771963"," 0.00000e+00","350.00000","0.887860"," 71"
"TSL1"," 0.5660221"," 0.13680464"," 0.00000e+00","350.00000","0.896775","194"
"THP1"," 0.5267358"," 0.14442238"," 0.00000e+00","350.00000","0.843909","143"
"SGS1"," 0.5462102"," 0.06910856"," 0.00000e+00","350.00000","0.929363"," 70"
"RTT107"," 0.4754565"," 0.04361309"," 0.00000e+00","350.00000","0.913530"," 86"
"ACO1"," 0.6187732"," 0.19388877"," 0.00000e+00","350.00000","0.863560"," 59"
