"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"CHO2"," 0.5125090"," 0.34621404"," 0.00000e+00","350.00000","0.218338","102"
"SRV2"," 0.6260056"," 0.42889472"," 0.00000e+00","350.00000","0.225055"," 64"
"CTF18"," 0.5129837"," 0.11931698"," 0.00000e+00","350.00000","0.231034"," 94"
"RAM1"," 0.4904346"," 0.45160464"," 0.00000e+00","350.00000","0.212066","111"
"MMS22"," 0.6725129"," 0.25789093"," 0.00000e+00","350.00000","0.229632"," 99"
"TLC1"," 0.6384368"," 0.40618786"," 0.00000e+00","350.00000","0.239479","116"
"DCC1"," 0.5264130"," 0.11185614"," 0.00000e+00","350.00000","0.238637","103"
"GEP3"," 0.5037583"," 0.24104667"," 0.00000e+00","350.00000","0.259348","124"
"RIM1"," 0.5481440"," 0.24701938"," 0.00000e+00","350.00000","0.227549","106"
"NUP60"," 0.5149238"," 0.13455269"," 0.00000e+00","350.00000","0.232240","172"
"YTA7"," 0.4929097"," 0.26435168"," 0.00000e+00","350.00000","0.201493","122"
"SLX5"," 0.5979852"," 0.28736393"," 0.00000e+00","350.00000","0.262540","123"
"SLX8"," 0.6029454"," 0.22769760"," 0.00000e+00","350.00000","0.242543","225"
"RSC2"," 0.5977589"," 0.30709232"," 0.00000e+00","350.00000","0.235539","127"
"IRC3"," 0.4869594"," 0.18159050","4.09086e-321","317.60072","0.253223","134"
"PTC1"," 0.4842968"," 0.24169488","3.98171e-317","313.61247","0.214853"," 95"
"RAI1"," 0.4822891"," 0.21363228","3.83323e-314","310.62898","0.213880"," 74"
"RGP1"," 0.4790828"," 0.26097661","2.02781e-309","305.90551","0.218405"," 61"
"NPL6"," 0.4769204"," 0.25936969","2.91300e-306","302.74820","0.296815"," 85"
"CST6"," 0.4765209"," 0.36284406","1.10976e-305","302.16731","0.210713","110"
"RTT109"," 0.4761567"," 0.27196084","3.74995e-305","301.63851","0.263290","141"
"RRG9"," 0.4637273"," 0.27601902","1.74918e-287","283.96970","0.242858","128"
"SPT21"," 0.4635653"," 0.17600893","2.93919e-287","283.74431","0.219767","117"
"CCE1"," 0.4606811"," 0.14421541","2.90098e-283","279.75000","0.274461","179"
"ACO1"," 0.4503325"," 0.28748487","3.03068e-269","265.73100","0.218171","120"
"THP1"," 0.4410645"," 0.24994178","4.27820e-257","253.58128","0.212782","120"
"YPT6"," 0.4393787"," 0.24795111","6.32240e-255","251.41166","0.235506","117"
"CTF4"," 0.4285309"," 0.14301865","2.96167e-241","237.74100","0.214936","106"
"CYC8"," 0.4136429"," 0.36621406","2.72724e-223","219.77682","0.223920"," 78"
"PFK27"," 0.4126633"," 0.16012444","3.85612e-222","218.62639","0.216466","100"
"JJJ1"," 0.4117583"," 0.11421717","4.42127e-221","217.56699","0.233046","171"
"MOT2"," 0.4099721"," 0.27355209","5.33196e-219","215.48565","0.334698","186"
"XRN1"," 0.4069493"," 0.30296889","1.66094e-215","211.99219","0.288361","194"
"HSE1"," 0.4058680"," 0.17020982","2.89199e-214","210.75134","0.225367","153"
"SIS2"," 0.4029342"," 0.19858747","6.38228e-211","207.40756","0.343229","156"
"OPI3"," 0.3903868"," 0.34768499","5.37086e-197","193.48250","0.291859","182"
"SWI6"," 0.3870187"," 0.16373787","2.32254e-193","189.84658","0.240918","123"
"NOT3"," 0.3849809"," 0.08713299","3.50897e-191","187.66736","0.234637","187"
"RNR4"," 0.3746194"," 0.15642299","2.44368e-180","176.82450","0.201572","122"
"TSL1"," 0.3586390"," 0.15473518","2.23820e-164","160.86264","0.285304","176"
"RPN13"," 0.3576002"," 0.16627122","2.27083e-163","159.85636","0.275454","104"
"MET18"," 0.3420956"," 0.10250574","8.57627e-149","145.27924","0.201404"," 90"
"DOA4"," 0.3400531"," 0.11077896","6.20303e-147","143.41994","0.208073","144"
"BUR2"," 0.3251798"," 0.20189969","8.19565e-134","130.29896","0.213091","356"
"DAL81"," 0.3249544"," 0.09156996","1.27888e-133","130.10571","0.250059","180"
"TFB5"," 0.3146284"," 0.11320038","6.08552e-125","121.42824","0.252798","194"
"HEL2"," 0.3067353"," 0.06512824","1.54141e-118","115.02462","0.280375","133"
"CTK1"," 0.2992166"," 0.18274022","1.27665e-112","109.10647","0.338580","150"
"EAF1"," 0.2923877"," 0.12783120","2.13671e-107","103.88279","0.225279","168"
"CCR4"," 0.2759044"," 0.14680446"," 2.26743e-95"," 91.85701","0.341815"," 74"
"RPS0B","-0.2526116","-0.08904318"," 9.57959e-80"," 76.23119","0.285772","628"
"ITT1"," 0.2489922"," 0.05583632"," 1.85804e-77"," 73.94349","0.280259","234"
"RTT106"," 0.2286776"," 0.03281443"," 2.66292e-65"," 61.78718","0.895342","142"
"RAD1"," 0.2116105"," 0.02483885"," 5.74331e-56"," 52.45338","0.893675"," 63"
"MRE11"," 0.2075371"," 0.02511297"," 7.42182e-54"," 50.34203","0.832552","160"
"OCA6"," 0.2045406"," 0.02096426"," 2.53863e-52"," 48.80794","0.939734"," 79"
"HFI1","-0.1921936","-0.06222260"," 2.67330e-46"," 42.78549","0.824490","112"
"ASF1"," 0.1851650"," 0.03119044"," 4.80505e-43"," 39.53084","0.802657","179"
"INP52"," 0.1825389"," 0.02296935"," 7.32370e-42"," 38.34781","0.861431"," 86"
"SUS1"," 0.1819617"," 0.03073793"," 1.32546e-41"," 38.09017","0.915239","172"
"HIR2"," 0.1813916"," 0.01324579"," 2.37656e-41"," 37.83659","0.921241","124"
"RAD55"," 0.1793491"," 0.01356209"," 1.89538e-40"," 36.93484","0.881336"," 99"
"OCA2"," 0.1781058"," 0.01795425"," 6.73464e-40"," 36.38423","0.942663"," 95"
"CTF8"," 0.1740036"," 0.01738132"," 3.86029e-38"," 34.62592","0.903590","101"
"SWD1"," 0.1728829"," 0.03054339"," 1.15182e-37"," 34.15115","0.908694","121"
"FAB1"," 0.1629270"," 0.01843526"," 1.39329e-33"," 30.06850","0.936057"," 72"
