ID,Noise YEPD
Q0010,
Q0017,
Q0032,
Q0045,
Q0050,
Q0055,
Q0060,
Q0065,
Q0070,
Q0075,
Q0080,
Q0085,
Q0092,
Q0105,
Q0110,
Q0115,
Q0120,
Q0130,
Q0140,
Q0142,
Q0143,
Q0144,
Q0160,
Q0182,
Q0250,
Q0255,
Q0275,
Q0297,
R0020C,
R0040C,
snR10,
YAL001C,
YAL002W,
YAL003W,
YAL004W,
YAL005C,13.0966027603
YAL007C,2.0571045416
YAL008W,
YAL009W,
YAL010C,
YAL011W,
YAL012W,-0.855090061
YAL013W,
YAL014C,
YAL015C,
YAL016C-A,
YAL016C-B,
YAL016W,-2.4778357225
YAL017W,
YAL018C,
YAL019W,0.0221512025
YAL019W-A,
YAL020C,
YAL021C,-1.4334734086
YAL022C,
YAL023C,-2.7499864792
YAL024C,
YAL025C,
YAL026C,-0.4423381699
YAL026C-A,
YAL027W,
YAL028W,
YAL029C,-0.4803422069
YAL030W,
YAL031C,
YAL031W-A,
YAL032C,
YAL033W,0.8102594179
YAL034C,
YAL034C-B,
YAL034WA,
YAL034W-A,
YAL035C-A,
YAL035W,-0.9298493089
YAL036C,-1.3313715886
YAL037C-A,
YAL037C-B,
YAL037W,
YAL038W,3.835239737
YAL039C,
YAL040C,
YAL041W,-1.7276807453
YAL042C-A,
YAL042W,
YAL043C,-3.1152982368
YAL043C-A,
YAL044C,11.0247218314
YAL044W-A,
YAL045C,
YAL046C,
YAL047C,
YAL047W-A,
YAL048C,
YAL049C,
YAL051W,
YAL053W,
YAL054C,
YAL055W,
YAL056C-A,
YAL056W,
YAL058C-A,
YAL058W,
YAL059C-A,
YAL059W,1.6980342284
YAL060W,9.7581059062
YAL061W,
YAL062W,
YAL063C,
YAL063C-A,
YAL064C-A,
YAL064W,
YAL064W-B,
YAL065C,
YAL065C-A,
YAL066W,
YAL067C,
YAL067W-A,
YAL068C,
YAL068W-A,
YAL069W,
YAR002CA,
YAR002C-A,-2.5497963126
YAR002W,0.6078490564
YAR003W,
YAR007C,
YAR008W,
YAR009C,
YAR010C,
YAR014C,0.4444938054
YAR015W,4.4925629403
YAR018C,
YAR019C,
YAR019W-A,
YAR020C,
YAR023C,
YAR027W,
YAR028W,0.3107948829
YAR029W,
YAR030C,
YAR031W,
YAR033W,
YAR035C-A,
YAR035W,
YAR037W,
YAR040C,
YAR042W,
YAR043C,
YAR044W,-0.8517932519
YAR047C,
YAR050W,
YAR052C,
YAR053W,
YAR060C,
YAR061W,
YAR062W,
YAR064W,
YAR066W,
YAR068W,
YAR069C,
YAR070C,
YAR071W,
YAR073W,
YAR074C,
YAR075W,
YBL001C,
YBL002W,-1.6288193348
YBL003C,0.7359432579
YBL004W,0.7638359527
YBL005W,
YBL005WA,
YBL005W-A,
YBL005W-B,
YBL006C,
YBL006W-A,
YBL007C,3.2329607354
YBL008W,
YBL008W-A,
YBL009W,
YBL010C,
YBL011W,-0.312006513
YBL012C,
YBL013W,
YBL014C,
YBL015W,
YBL016W,-1.307102295
YBL017C,-1.0027218474
YBL018C,
YBL019W,
YBL020W,
YBL021C,
YBL022C,0.2342145247
YBL023C,1.8184935299
YBL024W,-0.6355729377
YBL025W,
YBL026W,2.7282276658
YBL027W,-2.6558862176
YBL028C,-0.6955515549
YBL029C-A,0.6776768266
YBL029W,
YBL030C,
YBL031W,
YBL032W,-1.1938406562
YBL033C,-0.4562142533
YBL034C,
YBL035C,
YBL036C,0.6524010345
YBL037W,-2.4083900888
YBL038W,
YBL039C,-0.5302944087
YBL039C-A,
YBL039W-B,
YBL040C,
YBL041W,
YBL042C,5.4183802845
YBL043W,
YBL044W,
YBL045C,2.7078121576
YBL046W,-1.2381077802
YBL047C,2.7764509579
YBL048W,
YBL049W,
YBL050W,
YBL051C,0.6282646563
YBL052C,
YBL053W,
YBL054W,
YBL055C,
YBL056W,-0.8324537945
YBL057C,
YBL058W,0.2525747807
YBL059C-A,
YBL059W,
YBL060W,
YBL061C,0.6026308075
YBL062W,
YBL063W,
YBL064C,5.4304990344
YBL065W,
YBL066C,
YBL067C,
YBL068W,-1.5534584855
YBL068W-A,
YBL069W,
YBL070C,
YBL071C,
YBL071C-B,
YBL071W-A,-1.5511690849
YBL072C,-2.3412360461
YBL073W,
YBL074C,
YBL075C,
YBL076C,-0.3031686243
YBL077W,
YBL078C,
YBL079W,
YBL080C,
YBL081W,
YBL082C,
YBL083C,
YBL084C,
YBL085W,-0.9819283168
YBL086C,
YBL087C,-0.9181846037
YBL088C,
YBL089W,
YBL090W,
YBL091C,-0.8552982368
YBL091CA,
YBL091C-A,
YBL092W,
YBL093C,
YBL094C,
YBL095W,
YBL096C,
YBL097W,
YBL098W,
YBL099W,8.9081927802
YBL100C,
YBL100W-A,
YBL100W-B,
YBL100W-C,
YBL101C,
YBL101WA,
YBL101W-A,
YBL101W-B,
YBL102W,2.800701407
YBL103C,
YBL104C,-2.161244247
YBL105C,0.0402019101
YBL106C,
YBL107C,
YBL107WA,
YBL107W-A,
YBL108C-A,
YBL108W,
YBL109W,
YBL111C,
YBL112C,
YBL113C,
YBL113W-A,
YBR001C,
YBR002C,-1.7224038341
YBR003W,3.3642145247
YBR004C,
YBR005W,
YBR006W,
YBR007C,
YBR008C,
YBR009C,51.3426010723
YBR010W,
YBR011C,7.1118270083
YBR012C,
YBR012W-A,
YBR012W-B,
YBR013C,
YBR014C,
YBR015C,0.0386022468
YBR016W,
YBR017C,0.8009656573
YBR018C,
YBR019C,
YBR020W,
YBR021W,
YBR022W,
YBR023C,
YBR024W,
YBR025C,-0.6711474727
YBR026C,
YBR027C,
YBR028C,-0.8179024191
YBR029C,
YBR030W,
YBR031W,
YBR032W,
YBR033W,
YBR034C,-1.2337929872
YBR035C,
YBR036C,-0.2239979697
YBR037C,
YBR038W,
YBR039W,13.9598150356
YBR040W,
YBR041W,
YBR042C,
YBR043C,
YBR044C,
YBR045C,
YBR046C,2.6764693497
YBR047W,
YBR048W,
YBR049C,-0.0664434887
YBR050C,
YBR051W,
YBR052C,2.2519730305
YBR053C,
YBR054W,22.2144120633
YBR055C,
YBR056C-B,
YBR056W,
YBR056W-A,
YBR057C,
YBR058C,
YBR058C-A,1.7075165656
YBR059C,0.1483728985
YBR060C,
YBR061C,1.9467125811
YBR062C,
YBR063C,
YBR064W,
YBR065C,
YBR066C,
YBR067C,13.4705927897
YBR068C,1.6815160562
YBR069C,1.0621396226
YBR070C,
YBR071W,
YBR072C-A,
YBR072W,
YBR073W,
YBR074W,
YBR075W,
YBR076C-A,
YBR076W,
YBR077C,-1.0171565148
YBR078W,
YBR079C,-0.8408133276
YBR080C,-0.6624290936
YBR081C,2.7781287653
