ID,Replication time
Q0010,
Q0017,
Q0032,
Q0045,
Q0050,
Q0055,
Q0060,
Q0065,
Q0070,
Q0075,
Q0080,
Q0085,
Q0092,
Q0105,
Q0110,
Q0115,
Q0120,
Q0130,
Q0140,
Q0142,
Q0143,
Q0144,
Q0160,
Q0182,
Q0250,
Q0255,
Q0275,
Q0297,
R0020C,
R0040C,
snR10,
YAL001C,22.98
YAL002W,23.83
YAL003W,24.02
YAL004W,24.38
YAL005C,24.2
YAL007C,24.75
YAL008W,24.94
YAL009W,25.16
YAL010C,25.4
YAL011W,26.3
YAL012W,26.62
YAL013W,27.19
YAL014C,27.19
YAL015C,27.44
YAL016C-A,28.06
YAL016C-B,28.25
YAL016W,28.06
YAL017W,29.12
YAL018C,29.4
YAL019W,30.57
YAL019W-A,30.85
YAL020C,30.85
YAL021C,31.1
YAL022C,31.59
YAL023C,31.65
YAL024C,31.53
YAL025C,31.38
YAL026C,31.5
YAL026C-A,31.65
YAL027W,31.65
YAL028W,31.63
YAL029C,31.61
YAL030W,31.44
YAL031C,31.44
YAL031W-A,30.98
YAL032C,30.98
YAL033W,30.47
YAL034C,30.47
YAL034C-B,29.9
YAL034WA,
YAL034W-A,29.63
YAL035C-A,
YAL035W,29.01
YAL036C,29.01
YAL037C-A,28.87
YAL037C-B,28.87
YAL037W,28.87
YAL038W,28.93
YAL039C,29.3
YAL040C,29.63
YAL041W,30.36
YAL042C-A,30.78
YAL042W,30.78
YAL043C,30.78
YAL043C-A,
YAL044C,31.35
YAL044W-A,31.47
YAL045C,31.35
YAL046C,31.47
YAL047C,31.47
YAL047W-A,31.61
YAL048C,31.6
YAL049C,31.53
YAL051W,31.05
YAL053W,30.66
YAL054C,30.45
YAL055W,29.83
YAL056C-A,29.27
YAL056W,29.27
YAL058C-A,
YAL058W,28.92
YAL059C-A,28.92
YAL059W,28.76
YAL060W,28.61
YAL061W,28.39
YAL062W,28.29
YAL063C,28.43
YAL063C-A,29.31
YAL064C-A,30.28
YAL064W,29.4
YAL064W-B,30.62
YAL065C,30.62
YAL065C-A,
YAL066W,31.45
YAL067C,31.92
YAL067W-A,32.39
YAL068C,32.39
YAL068W-A,32.39
YAL069W,32.39
YAR002CA,
YAR002C-A,23.46
YAR002W,23.11
YAR003W,23.66
YAR007C,24.14
YAR008W,24.21
YAR009C,
YAR010C,
YAR014C,22.58
YAR015W,22.58
YAR018C,22.33
YAR019C,21.87
YAR019W-A,21.87
YAR020C,21.87
YAR023C,22.47
YAR027W,24.73
YAR028W,25.43
YAR029W,26.13
YAR030C,26.81
YAR031W,26.81
YAR033W,27.47
YAR035C-A,29.25
YAR035W,28.59
YAR037W,
YAR040C,
YAR042W,29.25
YAR043C,
YAR044W,
YAR047C,28.46
YAR050W,28.3
YAR052C,
YAR053W,28.16
YAR060C,29.83
YAR061W,
YAR062W,
YAR064W,30.23
YAR066W,30.29
YAR068W,30.31
YAR069C,30.21
YAR070C,30.08
YAR071W,30.08
YAR073W,29.89
YAR074C,
YAR075W,29.89
YBL001C,19.07
YBL002W,19.08
YBL003C,19.19
YBL004W,22.55
YBL005W,26.57
YBL005WA,
YBL005W-A,
YBL005W-B,
YBL006C,26.57
YBL006W-A,26.57
YBL007C,26.57
YBL008W,25.66
YBL008W-A,25.66
YBL009W,25.47
YBL010C,25.37
YBL011W,24.98
YBL012C,24.98
YBL013W,24.8
YBL014C,24.6
YBL015W,23.9
YBL016W,24.19
YBL017C,24.43
YBL018C,26.28
YBL019W,26.99
YBL020W,27.46
YBL021C,27.46
YBL022C,27.56
YBL023C,26.97
YBL024W,25.89
YBL025W,25.88
YBL026W,25.95
YBL027W,26.44
YBL028C,26.86
YBL029C-A,28.46
YBL029W,27.36
YBL030C,28.46
YBL031W,29.96
YBL032W,30.35
YBL033C,30.67
YBL034C,30.9
YBL035C,30.62
YBL036C,30.02
YBL037W,28.3
YBL038W,27.91
YBL039C,27.65
YBL039C-A,27.65
YBL039W-B,27.62
YBL040C,27.85
YBL041W,28.25
YBL042C,28.78
YBL043W,31.49
YBL044W,31.49
YBL045C,32.1
YBL046W,33.64
YBL047C,33.64
YBL048W,35.51
YBL049W,35.81
YBL050W,36.08
YBL051C,36.33
YBL052C,36.92
YBL053W,37.11
YBL054W,37.09
YBL055C,37.0
YBL056W,36.43
YBL057C,36.43
YBL058W,35.84
YBL059C-A,35.5
YBL059W,35.5
YBL060W,34.31
YBL061C,34.31
YBL062W,33.4
YBL063W,31.55
YBL064C,31.55
YBL065W,30.7
YBL066C,31.11
YBL067C,29.65
YBL068W,29.34
YBL068W-A,29.21
YBL069W,29.07
YBL070C,29.07
YBL071C,29.07
YBL071C-B,28.9
YBL071W-A,29.07
YBL072C,28.9
YBL073W,28.48
YBL074C,28.48
YBL075C,28.21
YBL076C,27.59
YBL077W,26.61
YBL078C,26.61
YBL079W,26.15
YBL080C,26.03
YBL081W,25.13
YBL082C,25.13
YBL083C,24.65
YBL084C,24.1
YBL085W,21.43
YBL086C,21.46
YBL087C,22.02
YBL088C,22.45
YBL089W,27.13
YBL090W,27.43
YBL091C,27.43
YBL091CA,
YBL091C-A,27.7
YBL092W,28.11
YBL093C,28.27
YBL094C,28.27
YBL095W,28.39
YBL096C,28.39
YBL097W,28.61
YBL098W,28.65
YBL099W,28.71
YBL100C,28.71
YBL100W-A,
YBL100W-B,
YBL100W-C,28.5
YBL101C,28.5
YBL101WA,
YBL101W-A,
YBL101W-B,
YBL102W,28.42
YBL103C,28.38
YBL104C,28.26
YBL105C,27.77
YBL106C,27.08
YBL107C,26.55
YBL107WA,
YBL107W-A,26.55
YBL108C-A,26.55
YBL108W,26.55
YBL109W,26.55
YBL111C,26.55
YBL112C,26.55
YBL113C,26.55
YBL113W-A,26.55
YBR001C,19.78
YBR002C,20.03
YBR003W,20.03
YBR004C,20.78
YBR005W,20.78
YBR006W,21.35
YBR007C,23.01
YBR008C,24.6
YBR009C,24.9
YBR010W,25.06
YBR011C,25.13
YBR012C,24.91
YBR012W-A,
YBR012W-B,
YBR013C,20.88
YBR014C,20.89
YBR015C,21.45
YBR016W,21.88
YBR017C,23.79
YBR018C,25.26
YBR019C,27.01
YBR020W,27.5
YBR021W,28.39
YBR022W,29.23
YBR023C,30.7
YBR024W,31.33
YBR025C,31.88
YBR026C,32.5
YBR027C,32.5
YBR028C,32.78
YBR029C,32.89
YBR030W,32.99
YBR031W,33.13
YBR032W,33.16
YBR033W,33.16
YBR034C,32.65
YBR035C,32.33
YBR036C,30.62
YBR037C,30.16
YBR038W,30.16
YBR039W,28.59
YBR040W,28.29
YBR041W,27.77
YBR042C,27.23
YBR043C,27.04
YBR044C,27.13
YBR045C,28.3
YBR046C,28.73
