ID,Transcription responsiveness
Q0010,
Q0017,
Q0032,
Q0045,
Q0050,
Q0055,
Q0060,
Q0065,
Q0070,
Q0075,
Q0080,
Q0085,
Q0092,
Q0105,
Q0110,
Q0115,
Q0120,
Q0130,
Q0140,
Q0142,
Q0143,
Q0144,
Q0160,
Q0182,
Q0250,
Q0255,
Q0275,
Q0297,
R0020C,
R0040C,
snR10,
YAL001C,
YAL002W,928.1030897304
YAL003W,2157.7381366133
YAL004W,2197.7613477166
YAL005C,
YAL007C,1214.3166616308
YAL008W,1159.3891480807
YAL009W,632.130190475
YAL010C,865.4765703648
YAL011W,758.857575785
YAL012W,2888.9972209912
YAL013W,1667.7168225645
YAL014C,926.3707322824
YAL015C,910.6095558144
YAL016C-A,
YAL016C-B,
YAL016W,982.2949980772
YAL017W,938.6417646922
YAL018C,6075.7639708296
YAL019W,902.6648156138
YAL019W-A,
YAL020C,1011.4470894768
YAL021C,944.405276541
YAL022C,936.2371173132
YAL023C,1381.3832479049
YAL024C,808.099758456
YAL025C,2622.2116417687
YAL026C,1313.9534982282
YAL026C-A,
YAL027W,496.3133765458
YAL028W,951.5214908633
YAL029C,813.6611580711
YAL030W,1030.6495226924
YAL031C,883.2760099491
YAL031W-A,
YAL032C,571.0442077072
YAL033W,942.8668628236
YAL034C,1654.5388302379
YAL034C-B,
YAL034WA,858.2657197651
YAL034W-A,
YAL035C-A,
YAL035W,1290.1476100903
YAL036C,2274.6116259575
YAL037C-A,
YAL037C-B,
YAL037W,1037.4137943101
YAL038W,2258.7975211652
YAL039C,1703.4415874203
YAL040C,1740.1944538747
YAL041W,561.910695997
YAL042C-A,
YAL042W,1135.7832758659
YAL043C,988.7018309932
YAL043C-A,
YAL044C,2264.4179545438
YAL044W-A,
YAL045C,
YAL046C,1114.9497425017
YAL047C,683.1890000815
YAL047W-A,
YAL048C,1621.4406324723
YAL049C,1324.4336103538
YAL051W,1592.684833725
YAL053W,1273.1843122575
YAL054C,3795.1234645632
YAL055W,922.4206363068
YAL056C-A,
YAL056W,880.1290212887
YAL058C-A,
YAL058W,970.1892192495
YAL059C-A,
YAL059W,3315.7022938611
YAL060W,3642.1909437762
YAL061W,3725.9051825678
YAL062W,1916.4772367207
YAL063C,
YAL063C-A,
YAL064C-A,
YAL064W,2914.2072317991
YAL064W-B,
YAL065C,
YAL065C-A,
YAL066W,2191.5698750977
YAL067C,4712.4257070577
YAL067W-A,
YAL068C,
YAL068W-A,
YAL069W,1263.0723987624
YAR002CA,4329.256376925
YAR002C-A,
YAR002W,702.5938398107
YAR003W,816.3961620941
YAR007C,1829.9045036498
YAR008W,1483.7022911345
YAR009C,2916.7634565238
YAR010C,
YAR014C,979.859437926
YAR015W,3072.6470008459
YAR018C,1431.6269240126
YAR019C,974.2558722894
YAR019W-A,
YAR020C,
YAR023C,861.4976921125
YAR027W,
YAR028W,
YAR029W,
YAR030C,1242.706132712
YAR031W,
YAR033W,
YAR035C-A,
YAR035W,1729.0549362866
YAR037W,
YAR040C,
YAR042W,1965.2714432519
YAR043C,
YAR044W,
YAR047C,1355.1034523127
YAR050W,1286.7995709238
YAR052C,
YAR053W,780.5068635132
YAR060C,
YAR061W,
YAR062W,
YAR064W,1025.4932848785
YAR066W,
YAR068W,1982.0221105863
YAR069C,1462.3304133807
YAR070C,2470.0598718945
YAR071W,8752.3688108477
YAR073W,
YAR074C,
YAR075W,
YBL001C,1543.382015342
YBL002W,
YBL003C,
YBL004W,1088.817006483
YBL005W,1363.8575245617
YBL005WA,2912.4580481605
YBL005W-A,
YBL005W-B,
YBL006C,772.2979765323
YBL006W-A,
YBL007C,1680.4682791378
YBL008W,674.1036255334
YBL008W-A,
YBL009W,1243.6002010242
YBL010C,730.5033547507
YBL011W,844.6135200665
YBL012C,
YBL013W,1478.276353796
YBL014C,804.2989416154
YBL015W,3910.3596355837
YBL016W,5704.4168453391
YBL017C,1192.1468833943
YBL018C,1103.0018920981
YBL019W,737.308170115
YBL020W,714.5877060907
YBL021C,842.6414555986
YBL022C,1066.2502361283
YBL023C,857.5546082074
YBL024W,1555.5795715735
YBL025W,657.6201319757
YBL026W,1033.5381435277
YBL027W,1745.4460569737
YBL028C,2318.5546060048
YBL029C-A,
YBL029W,1361.8348765644
YBL030C,1692.175974879
YBL031W,998.0505283305
YBL032W,1542.0402400865
YBL033C,1260.5091528729
YBL034C,855.0402942548
YBL035C,1419.49576276
YBL036C,689.1274259594
YBL037W,996.1480753261
YBL038W,1103.3178451302
YBL039C,3405.0895982138
YBL039C-A,
YBL039W-B,
YBL040C,1002.5862056618
YBL041W,1099.5723744003
YBL042C,2126.8858711081
YBL043W,2960.3319298484
YBL044W,1676.2196702133
YBL045C,1649.8646537406
YBL046W,662.1243648193
YBL047C,1157.5185692641
YBL048W,1488.5350486728
YBL049W,2314.9696040289
YBL050W,814.998832223
YBL051C,1229.7045665559
YBL052C,818.0732563982
YBL053W,870.2533638306
YBL054W,2290.7508357906
YBL055C,741.4419690469
YBL056W,756.5216699294
YBL057C,695.8177930924
YBL058W,1199.6014953087
YBL059C-A,
YBL059W,667.0455154439
YBL060W,522.9866426719
YBL061C,947.7713057412
YBL062W,839.9522125706
YBL063W,1141.2731639368
YBL064C,5363.3217594332
YBL065W,
YBL066C,1716.5938003894
YBL067C,1012.1570209608
YBL068W,1068.5851141248
YBL068W-A,
YBL069W,1408.0098709044
YBL070C,1740.5142677733
YBL071C,
YBL071C-B,
YBL071W-A,
YBL072C,2283.9563831516
YBL073W,
YBL074C,1326.3902617019
YBL075C,2697.8442684789
YBL076C,1699.5071831383
YBL077W,
YBL078C,3641.3914323002
YBL079W,912.1680690104
YBL080C,628.225206765
YBL081W,
YBL082C,1065.4093462756
YBL083C,1230.4747106705
YBL084C,
YBL085W,1177.5474457949
YBL086C,1491.4081764743
YBL087C,
YBL088C,863.601417133
YBL089W,516.1690667617
YBL090W,1053.2186563101
YBL091C,820.5994959475
YBL091CA,154.2007181143
YBL091C-A,
YBL092W,2390.1649153979
YBL093C,1084.0522278399
YBL094C,775.6526564515
YBL095W,1089.7786146242
YBL096C,717.4780529296
YBL097W,3079.1027256171
YBL098W,1671.5411703814
YBL099W,2421.1227163608
YBL100C,2495.6080853189
YBL100W-A,
YBL100W-B,
YBL100W-C,
YBL101C,1333.7688232314
YBL101WA,4326.9741208366
YBL101W-A,
YBL101W-B,
YBL102W,1053.4011120245
YBL103C,872.301505649
YBL104C,787.9891270142
YBL105C,727.5290315575
YBL106C,835.2456491781
YBL107C,947.460170389
YBL107WA,264.8341967977
YBL107W-A,
YBL108C-A,
YBL108W,
YBL109W,
YBL111C,2982.8584764818
YBL112C,
YBL113C,1925.0290818764
