Gene	HL_IB	HL_MS	PP
Q0010	NA	NA	NA
Q0017	NA	NA	NA
Q0032	NA	NA	NA
Q0045	NA	NA	NA
Q0050	NA	NA	NA
Q0055	NA	NA	NA
Q0060	NA	NA	NA
Q0065	NA	NA	NA
Q0070	NA	NA	NA
Q0075	NA	NA	NA
Q0080	NA	NA	NA
Q0085	NA	NA	NA
Q0092	NA	NA	NA
Q0105	NA	NA	NA
Q0110	NA	NA	NA
Q0115	NA	NA	NA
Q0120	NA	NA	NA
Q0130	NA	NA	NA
Q0140	NA	645.3	NA
Q0142	NA	NA	NA
Q0143	NA	NA	NA
Q0144	NA	NA	NA
Q0160	NA	NA	NA
Q0182	NA	NA	NA
Q0250	NA	603.1	NA
Q0255	NA	NA	NA
Q0275	NA	NA	NA
Q0297	NA	NA	NA
R0010W	NA	NA	NA
R0020C	NA	383.7	NA
R0030W	NA	NA	NA
R0040C	NA	195.8	NA
YAL001C	475.0	415.6	NA
YAL002W	NA	NA	0.8525
YAL003W	NA	580.0	NA
YAL004W	NA	NA	0.236
YAL005C	77.0	1211.0	0.8867
YAL007C	49.0	632.7	1.261
YAL008W	26.0	NA	0.5025
YAL009W	NA	861.9	0.8728
YAL010C	43.0	358.9	0.6552
YAL011W	56.0	661.4	0.8719
YAL012W	NA	737.5	0.7734
YAL013W	NA	537.4	0.557
YAL014C	NA	297.1	0.2881
YAL015C	NA	467.0	0.7387
YAL016C-A	NA	NA	NA
YAL016C-B	NA	NA	NA
YAL016W	180.0	634.9	NA
YAL017W	3.0	746.8	0.8158
YAL018C	NA	NA	0.2602
YAL019W	28.0	440.5	0.5597
YAL019W-A	NA	NA	NA
YAL020C	NA	NA	1.022
YAL021C	224.0	638.3	1.339
YAL022C	3.0	425.5	0.9426
YAL023C	61.0	503.3	0.9183
YAL024C	144.0	408.2	0.5745
YAL025C	NA	345.8	NA
YAL026C	20.0	546.4	0.7942
YAL026C-A	NA	NA	NA
YAL027W	36.0	NA	0.851
YAL028W	NA	NA	0.4762
YAL029C	NA	550.1	0.64
YAL030W	NA	499.8	0.5731
YAL031C	17.0	488.5	0.517
YAL031W-A	NA	NA	NA
YAL032C	474.0	290.2	NA
YAL033W	47.0	351.4	NA
YAL034C	NA	NA	0.6692
YAL034C-B	NA	NA	NA
YAL034W-A	NA	403.6	NA
YAL035W	321.0	570.2	0.8981
YAL036C	57.0	376.9	0.3865
YAL037C-A	NA	NA	NA
YAL037C-B	NA	NA	NA
YAL037W	NA	NA	0.6627
YAL038W	NA	699.5	NA
YAL039C	2.0	727.2	0.3375
YAL040C	NA	NA	1.177
YAL041W	73.0	443.7	NA
YAL042C-A	NA	NA	NA
YAL042W	NA	449.6	0.2288
YAL043C	NA	557.5	NA
YAL044C	NA	423.0	0.7172
YAL044W-A	NA	216.6	NA
YAL045C	NA	NA	0.7922
YAL046C	115997.0	280.0	0.4428
YAL047C	NA	316.9	2.992
YAL047W-A	NA	NA	NA
YAL048C	NA	NA	1.503
YAL049C	560.0	386.2	0.4911
YAL051W	NA	86.6	0.5786
YAL053W	29.0	389.5	0.4751
YAL054C	29.0	NA	0.3553
YAL055W	70.0	566.0	0.8202
YAL056C-A	NA	NA	NA
YAL056W	8.0	NA	0.287
YAL058W	71.0	432.8	0.6511
YAL059C-A	NA	NA	NA
YAL059W	36.0	388.3	0.6095
YAL060W	68.0	393.8	0.5909
YAL061W	NA	NA	0.6814
YAL062W	NA	NA	0.3121
YAL063C	NA	NA	NA
YAL063C-A	NA	NA	NA
YAL064C-A	NA	NA	0.6281
YAL064W	NA	NA	NA
