Gene	HL_IB	HL_MS	PP	HL_IB_quantile	HL_IB_pt	HL_MS_quantile	HL_MS_pt
Q0010	NA	NA	NA	NA	NA	NA	NA
Q0017	NA	NA	NA	NA	NA	NA	NA
Q0032	NA	NA	NA	NA	NA	NA	NA
Q0045	NA	NA	NA	NA	NA	NA	NA
Q0050	NA	NA	NA	NA	NA	NA	NA
Q0055	NA	NA	NA	NA	NA	NA	NA
Q0060	NA	NA	NA	NA	NA	NA	NA
Q0065	NA	NA	NA	NA	NA	NA	NA
Q0070	NA	NA	NA	NA	NA	NA	NA
Q0075	NA	NA	NA	NA	NA	NA	NA
Q0080	NA	NA	NA	NA	NA	NA	NA
Q0085	NA	NA	NA	NA	NA	NA	NA
Q0092	NA	NA	NA	NA	NA	NA	NA
Q0105	NA	NA	NA	NA	NA	NA	NA
Q0110	NA	NA	NA	NA	NA	NA	NA
Q0115	NA	NA	NA	NA	NA	NA	NA
Q0120	NA	NA	NA	NA	NA	NA	NA
Q0130	NA	NA	NA	NA	NA	NA	NA
Q0140	NA	645.3	NA	NA	NA	0.8030417340544502	0.479260444780283
Q0142	NA	NA	NA	NA	NA	NA	NA
Q0143	NA	NA	NA	NA	NA	NA	NA
Q0144	NA	NA	NA	NA	NA	NA	NA
Q0160	NA	NA	NA	NA	NA	NA	NA
Q0182	NA	NA	NA	NA	NA	NA	NA
Q0250	NA	603.1	NA	NA	NA	0.5283144909355655	0.3683796029861032
Q0255	NA	NA	NA	NA	NA	NA	NA
Q0275	NA	NA	NA	NA	NA	NA	NA
Q0297	NA	NA	NA	NA	NA	NA	NA
R0010W	NA	NA	NA	NA	NA	NA	NA
R0020C	NA	383.7	NA	NA	NA	-0.7152250585269723	-0.34714161845505737
R0030W	NA	NA	NA	NA	NA	NA	NA
R0040C	NA	195.8	NA	NA	NA	-1.4303993000580482	-1.332228165354075
YAL001C	475.0	415.6	NA	1.8745301229937392	2.0132219656503847	-0.563976148148456	-0.22399516855031879
YAL002W	NA	NA	0.8525	NA	NA	NA	NA
YAL003W	NA	580.0	NA	NA	NA	0.37009339673873104	0.3048170800036973
YAL004W	NA	NA	0.23600000000000002	NA	NA	NA	NA
YAL005C	77.0	1211.0	0.8867	0.6256698215946752	0.4587059907241978	1.916939877695202	1.5620107732199213
YAL007C	49.0	632.7	1.261	0.15112149093066193	0.07651564804715083	0.715217795675016	0.4468256962198217
YAL008W	26.0	NA	0.5025	-0.5672113899131166	-0.45307263358079974	NA	NA
YAL009W	NA	861.9	0.8728	NA	NA	1.5019307192730533	0.9655323594343022
YAL010C	43.0	358.9	0.6552	0.0025091400448746387	-0.03335219959238933	-0.817352359852293	-0.4491357981814156
YAL011W	56.0	661.4	0.8719	0.29267606076175356	0.18912941962370014	0.8883093448377877	0.5199186875219549
YAL012W	NA	737.5	0.7734	NA	NA	1.2100244891329561	0.7012524473973206
YAL013W	NA	537.4	0.557	NA	NA	0.09491041154961045	0.18163922394578827
YAL014C	NA	297.1	0.2881	NA	NA	-1.0648128148816332	-0.7325538323850825
YAL015C	NA	467.0	0.7387	NA	NA	-0.3032243989713684	-0.04174028149343357
YAL016C-A	NA	NA	NA	NA	NA	NA	NA
YAL016C-B	NA	NA	NA	NA	NA	NA	NA
YAL016W	180.0	634.9	NA	1.3100166880582473	1.1821907454985314	0.7314179635869154	0.4525288369550302
YAL017W	3.0	746.8	0.8158	-1.8312243273394466	-2.0942510821168634	1.240400135295903	0.7222914041248705
YAL018C	NA	NA	0.2602	NA	NA	NA	NA
YAL019W	28.0	440.5	0.5597	-0.49213682280838095	-0.3916563966546011	-0.45223807965561436	-0.1334143441632264
YAL019W-A	NA	NA	NA	NA	NA	NA	NA
YAL020C	NA	NA	1.022	NA	NA	NA	NA
YAL021C	224.0	638.3	1.339	1.4605311820132307	1.369212442105732	0.7587877896182517	0.461309326533439
YAL022C	3.0	425.5	0.9426	-1.8312243273394466	-2.0942510821168634	-0.5095465095092986	-0.18743487312617302
YAL023C	61.0	503.3	0.9183	0.3789773215364033	0.261395626950682	-0.09719655106190875	0.07681130225138999
YAL024C	144.0	408.2	0.5745	1.1447077202131437	0.9915937109792143	-0.601920889472841	-0.25181676933166935
YAL025C	NA	345.8	NA	NA	NA	-0.8652514820613613	-0.5054885994557242
YAL026C	20.0	546.4	0.7942	-0.8444850779006299	-0.6690678474044145	0.14901691267153974	0.20834740745257088
YAL026C-A	NA	NA	NA	NA	NA	NA	NA
YAL027W	36.0	NA	0.851	-0.1995381015268431	-0.18227260096171144	NA	NA
YAL028W	NA	NA	0.4762	NA	NA	NA	NA
YAL029C	NA	550.1	0.64	NA	NA	0.1701847241123691	0.21921746430012745
YAL030W	NA	499.8	0.5731	NA	NA	-0.11441489263000099	0.06570796822588719
