UID	Heat Shock 005 minutes	Heat Shock 015 minutes	Heat Shock 030inutes	Heat Shock 060 minutes		heat shock 17 to 37, 20 minutes	heat shock 21 to 37, 20 minutes	heat shock 25 to 37, 20 minutes	heat shock 29 to 37, 20 minutes	heat shock 33 to 37, 20 minutes	heat shock 37 to 37, 20 minutes		constant 0.32 mM H2O2 (10 min) redo	constant 0.32 mM H2O2 (20 min) redo	constant 0.32 mM H2O2 (30 min) redo	constant 0.32 mM H2O2 (40 min) rescan	constant 0.32 mM H2O2 (50 min) redo	constant 0.32 mM H2O2 (60 min) redo	constant 0.32 mM H2O2 (80 min) redo	constant 0.32 mM H2O2 (100 min) redo	constant 0.32 mM H2O2 (120 min) redo	constant 0.32 mM H2O2 (160 min) redo		1 mM Menadione (10 min)redo	1 mM Menadione (20 min) redo	1 mM Menadione (30 min) redo	1mM Menadione (40 min) redo	1 mM Menadione (50 min)redo	1 mM Menadione (80 min) redo	1 mM Menadione (105 min) redo	1 mM Menadione (120 min)redo	1 mM Menadione (160 min) redo		dtt 015 min	dtt 030 min	dtt 060 min	dtt 120 min	dtt 240 min	dtt 480 min		1.5 mM diamide (5 min)	1.5 mM diamide (10 min)	1.5 mM diamide (20 min)	1.5 mM diamide (30 min)	1.5 mM diamide (40 min)	1.5 mM diamide (50 min)	1.5 mM diamide (60 min)	1.5 mM diamide (90 min)		1M sorbitol - 5 min	1M sorbitol - 15 min	1M sorbitol - 30 min	1M sorbitol - 45 min (* centrifugation problem)	1M sorbitol - 60 min	1M sorbitol - 90 min	1M sorbitol - 120 min		aa starv 0.5 h	aa starv 1 h	aa starv 2 h	aa starv 4 h	aa starv 6 h		Nitrogen Depletion 30 min.	Nitrogen Depletion 1 h	Nitrogen Depletion 2 h	Nitrogen Depletion 4 h	Nitrogen Depletion 8 h	Nitrogen Depletion 12 h	Nitrogen Depletion 1 d	Nitrogen Depletion 2 d	Nitrogen Depletion 3 d	Nitrogen Depletion 5 d		diauxic shift timecourse	diauxic shift timecourse	diauxic shift timecourse	diauxic shift timecourse	diauxic shift timecourse	diauxic shift timecourse	diauxic shift timecourse		YPD 2 h	YPD 4 h	YPD 6 h	YPD 8 h	YPD 10 h	YPD 12 h	YPD 1 d	YPD 2 d	YPD 3 d	YPD 5 d		YP ethanol vs reference pool	YP galactose vs reference pool	YP raffinose vs reference pool	YP sucrose vs reference pool	YP fructose vs reference pool		steady state 15 dec C	steady state 17 dec C	steady state 21 dec C	steady state 25 dec C	steady state 29 dec C	steady state 36 dec C
Weights	1	0.144575974	0.578143195	1	0	0.072421231	0.068815759	0.06729537	0.072680815	0.171316241	1	0	0.944023508	0.747803464	0.309842375	1	0.428799498	0.609841435	0.583299215	1	0.63888943	0.632782327	0	1	0.353594976	0.298129413	0.297704167	0.304402352	0.475753528	0.348044058	0.494678522	0.785859894	0	0.578939929	0.776235372	1	0.705568236	0.197394023	1	0	0.417889891	0.163153125	0.094918082	0.082653759	0.101890547	0.139639736	0.302062112	0.422567541	0	0.8605946	0.282526599	0.344125771	0.774638897	1	1	1	0	0.166551458	0.602796174	0.952585831	0.810266808	0.810266808	0	0.318556541	0.317218146	0.404953162	0.637956545	0.173360068	0.136774969	0.148039721	0.175465464	0.189005082	0.194797166	0	1	1	0.633002357	0.633002357	0.180988677	0.117171269	0.117171269	0	1	1	0.070095277	0.083493647	0.08145712	0.085221037	0.088209087	0.101303078	0.121191051	0.189683417	0	0.410775846	1	1	0.888479163	0.800605927	0	1	1	1	1	1	1
YEL051W	-0.263333333	-0.883333333	-1.373333333	-1.163333333	0	-0.69	-0.64	-0.94	-0.54	-0.01	0.21	0	1.25			-0.12	-3.18		-1.18		0.16	-1.18	0	0.36						-1.79			0	0.25	0.33	-0.03	0.01	-0.72	-0.69	0	0.23	0.55	0.32	-0.2	-0.09	0.11	0.04		0	0.11	-0.3	-0.12	0.15	-0.15	-0.1	0.18	0	0.07	0.1	0.14	0.19	-0.01	0	0.48	0.55	0.96	0.52	0.86	-0.14	-0.38	-0.54	-0.47	-0.43	0	0.32	0.88	0.45	0.21	0.4	-0.38	-0.38	0	0	0.69	-1.29	-1.51	-0.89	-1.36	-1.25	-1.25	-1.03	-1.51	0	-0.59	-0.46	-0.19	0.18	0.2	0	-0.46	0	0.26	0.38	0.34	-0.155
YGR020C	-0.606666667	-0.766666667	-0.886666667	-0.506666667	0	-0.58	-0.4	-0.54	-0.4	0.41		0		1.74	-0.64	-0.15							0					-2.84					0	-0.27	-0.09	-0.92	-1.07	-1.68	-1.03	0	0.39	0.76	0.58	0.37	0.38	0.42	0.44	-0.15	0	-0.01	-0.29	-0.25	-0.12	0.08	0.04	0.18	0	0.03	0.11	0.1	0.23	0.2	0	0.81	0.58	0.67	0.91	0.96	0.38	0.31	0.14	0.42	0.37	0	-0.34	0.3	0.14	0.06	0.29	-0.07	-0.07	0	0.23	-0.06	-1.25	-1.22	-1.36	-1.25	-1.09	-0.94	-1.32	-2.32	0	-0.38	-0.15	0.35	0.47	0.14	0	0.34	0.72	0.89	0.17	0.14	0.04
YBL026W	-0.5	-1.14	-0.79	-0.36	0	-0.89	-0.89	-1	-0.62	0.03		0		2.29		0.96							0		0.33	0.31	0.23	0.28			4.25		0	0.19	-0.12	-0.34	-0.59	-1.15	-0.64	0	0.31	0.44	0	0	0.04	0	0.37	-0.04	0	0	-0.57	-0.32	0.1	0.04	-0.13	0.01	0	-0.2	0.08	0.14	0.06	-0.04	0	0.1	0.07	0.01	0.51	0.2	0.01	-0.09	0.39	0.71	0.7	0	0	0.23	0.01	-0.49	0.19	-0.43	-0.43	0	0	0.37	-0.23	0.03	-0.49	-1	-0.79	-0.89	-1.12	-0.79	0	0.77	0.62	0.52	0.54	0.68	0	0.13	0.91	0.66	0.69	0.41	-0.085
YDL001W	-0.123333333	0.046666667	-0.083333333	0.426666667	0	-0.14	-0.23	-0.14	0.01	-0.12	0.15	0				-0.45		-5.64					0			0		-0.42	2.25				0	0.78	0.96	0.52	0.74	0.51	0.66	0	-0.32	-0.42	-0.49	-0.51	-0.4	-0.4	-0.49	-0.22	0	0.1	0.1	0.21	-0.06	0.08	-0.19	0.25	0	0.59	0.16	0.19	0	-0.69	0	0.38	0.48	0.43	-0.01	0.36	0.48	0.38	0.67	0.61	0.98	0	-0.07	0.3	-0.17	-0.27	0.36	0	0	0	-0.07	-0.2	0.93	-0.06	0.04	-0.3	0.34	-0.01	0.82	0.8	0	-0.14	0.19	-0.23	-0.24	-0.07	0	-0.18	0.18	0.25	0.12	0.21	-0.145
YDR266C	-0.146666667	-0.006666667	0.133333333	0.213333333	0	0.68	0.31	0.4	0.3	-0.1	0.54	0		0.79	-1.89	-0.55		-4.64					0							-3.47			0	0.3	0.22	-0.19	-0.47	-0.88	-0.5	0	-0.15	-0.42	-0.46	-0.47	-0.34	-0.49	-0.57	-0.17	0	0.01	-0.04	0.19	0.05	-0.05	-0.01	0.08	0	-0.26	0.06	-0.12	-0.54	-0.36	0	0.25	-0.04	0.13	0.14	-0.44	-0.66	-1.2	-1.26	-1.32	-1.52	0	0.23	0.41	-0.31	-0.35	0.18	-0.42	-0.42	0	-0.07	-0.47	-0.98	-0.99	-1.1	-0.99	-0.57	-0.72	-0.4	-0.75	0	-0.03	0.06	0.08	0.26	-0.04	0	-0.39	-0.5	-0.26	-0.07	0.05	-0.08
YJL184W	-0.866666667	-0.926666667	-0.506666667	-0.206666667	0	-0.23	-0.06	-0.38	-0.82	0	-0.36	0	0.1	0.04	-0.04	-0.19	-0.29	-0.01	0.01	-0.22	-0.15	-0.62	0	-0.06	-0.17	-0.25	0.31	-0.45	-0.2	-0.56	-0.27	-0.25	0	-0.13	-0.01	-0.19	-1	-1	-0.48	0	0.28	0.1	-0.01	-0.07	-0.04	0.16	0.28	0.43	0	0.3	0.07	0.06	0.18	-0.06	0.36	0.06	0	-0.67	0.03	0.12	-0.51	-0.27	0	-0.3	0.41	0.45	0.41	0.5	0.15	-0.12	-0.07	0.29	-0.2	0	0.29	0.03	-0.23	-0.25	0.48	-0.29	-0.29	0	0.44	0	-0.49	-0.18	-0.56	-0.01	-0.36	0.12	-0.1	-0.92	0	1.07	0.9	0.22	0.48	0.82	0	-0.48	-0.3	0.17	-0.1	0.5	0.01
YOR106W	-0.533333333	-1.143333333	-0.373333333	-1.403333333	0	-0.67	-0.49	-0.92	-0.92	-0.22	-0.1	0	-0.12	-0.56	-0.47		-0.23	-0.2	0.25	0.16	0.18	0.08	0	0.26	0.12	0.68	0.16	0.33	0.64	0.45	0.57	1.01	0	0.07	-0.01	0.42	-0.27	0.46	0.47	0	-0.18	-0.14	-0.27	-0.18	-0.42	-0.25	-0.27	-0.12	0	0.08	0.16	0.15	0.28	-0.09	0.12	-0.34	0	-0.36	0.69	-0.15	-0.18	-1.61	0	0.51	0.46	0.73	0.6	0.55	0.7	1.04	1.04	0.9	0.95	0	0	0.11	-0.15	-0.25	0.63	-0.2	-0.2	0	0.04	-0.41	0.12	-0.39	-0.26	0.04	-0.21	-0.19	0.24	0.3	0	0.28	-0.55	-0.06	-0.03	0.15	0	0.31	1.54	0.25	0.64	0.72	0.745
YOL149W	-0.546666667	-1.356666667	-0.756666667	-1.726666667	0	-1.25	-1.43	-1.29	-0.86	-0.06	-0.34	0	-0.49	-0.92	-0.47	0.65	-0.34	-0.15	-0.17	-0.43	-0.06	-0.03	0	0.37	0.1	-0.34	-0.43	-0.34	-0.15	0.03	-0.09	0.32	0	-1.39	-0.65	-0.41	-0.91	-1.82	-1.11	0	-0.09	-0.17	-0.43	-0.51	-0.34	-0.27	-0.18	-0.15	0	-0.74	-0.86	-0.25	0.14	0.28	-0.14	0.12	0	-0.18	1.54	-0.73	0.11	-1.6	0	0.34	0.63	1.03	0.86	0.96	0.58	0.32	0.8	0.99	0.8	0	0.15	0.24	0.06	-0.04	-0.18	-0.54	-0.54	0	0.57	0.21	-0.44	-0.87	-0.5	0.22	0.02	-1.6	-3.06	1.66	0	-1.36	-0.45	-0.55	-0.46	-0.41	0	-0.28	0.51	1.29	0.42	0.4	-0.035
YOR105W	-0.693333333	0.566666667	-0.753333333	-0.273333333	0	-0.2	-0.1	-0.27	-0.2	0.32	0.03	0	-0.14	-0.1	0.3	0.7	-0.03	-0.18	0.08	0.33	-0.2	0.14	0	0.04	0.43	0.44	0.34	0.33	0.34	0.25	0.39	0.39	0	0.32	1.19	1.27	1.65	1.69	1.38	0	-0.38	-0.29	-0.18	0.01	0.21	0.06	0.1	-0.04	0	-0.17	-0.4	0.06	0.03	-0.14	0	0.04	0	0.01	0.75	-1.34	-0.66	-0.58	0	0.3	-0.01	0.2	0.04	0.78	0.58	0.75	0.87	0.94	0.96	0	0.15	0.26	-0.06	-0.18	0.06	-0.22	-0.22	0	0.58	-0.59	-0.54	-0.43	-0.94	0.49	-0.14	-0.26	-0.45	-0.1	0	1.28	1.36	1.32	1.05	1.39	0	0.98	0.85	0.75	0.4	0.56	0.445
