,prob,cor,pval_cor,beta,pval_beta,pval.adj,em_beta,ratio
MRC1,1,-0.2287307,3.18658e-68,-0.02018596,3.18658e-68,64.6522,-0.020299793,0.8786063
CLB5,1,-0.1505078,1.07544e-30,-0.01572737,1.07544e-30,27.12394,-0.015889034,0.8952126
ASF1,1,-0.1366946,6.59047e-25,-0.02230807,6.59047e-25,21.33661,-0.022505355,0.8568045
CKB1,1,-0.129706,5.91945e-23,-0.01383439,5.91945e-23,19.38324,-0.013754552,0.9091013
RTR1,1,0.0936362,7.4718e-13,0.01045737,7.47185e-13,9.2821,0.010029217,0.895803
CKB2,1,-0.0927289,1.74927e-12,-0.01228527,1.74927e-12,8.91267,-0.012268839,0.9099842
ELG1,1,-0.0905974,4.76436e-12,-0.00629274,4.76436e-12,8.47752,-0.006357134,0.9165003
DUN1,1,-0.0884099,2.41872e-11,-0.00814206,2.41872e-11,7.77194,-0.008102347,0.8920869
CTF8,1,-0.0813608,6.00848e-10,-0.00710575,6.00848e-10,6.37676,-0.007081264,0.8969214
RTT109,1,-0.0843915,8.81737e-10,-0.01430522,8.81737e-10,6.21018,-0.014757195,0.7858008
CTF18,1,-0.0804275,2.26827e-09,-0.00895224,2.26827e-09,5.79983,-0.009147673,0.8373105
DCC1,1,-0.0786102,3.93812e-09,-0.00854544,3.93812e-09,5.56023,-0.008492458,0.8502442
HHT1,1,-0.0768836,4.03162e-09,-0.00502138,4.03162e-09,5.55004,-0.00502238,0.915067
CHA4,1,-0.0730181,1.43679e-08,-0.00442431,1.43679e-08,4.99813,-0.00446717,0.979543
SWI6,1,-0.0733822,6.5536e-08,-0.01231535,6.5536e-08,4.33904,-0.012188063,0.8006067
HOS4,1,-0.0704283,7.1933e-08,-0.00540758,7.1933e-08,4.29859,-0.00559967,0.917948
RNR4,1,-0.0708045,1.13295e-07,-0.01312264,1.13295e-07,4.10131,-0.01249603,0.8531505
NPT1,1,-0.066514,4.43009e-07,-0.004971,4.43009e-07,3.50911,-0.005173109,0.9237913
SIR2,1,-0.0620084,1.97054e-06,-0.00707183,1.97054e-06,2.86094,-0.006823243,0.950142
LEO1,1,0.0617341,2.49359e-06,0.00770275,2.49359e-06,2.7587,0.00742368,0.905133
ZWF1,1,-0.0611715,2.99912e-06,-0.00699505,2.99912e-06,2.67853,-0.00701829,0.923662
HER2,1,-0.0608945,4.7212e-06,-0.0030214,4.7212e-06,2.48147,-0.00312453,0.877275
HHF1,1,-0.0579828,9.17651e-06,-0.00442435,9.17651e-06,2.19285,-0.004318784,0.915058
