,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2
VPS25,-0.00105379,0.936724,-0.000138372,0.936724,-0.0512265,0.289773,-0.0477602,0.289773,0,0
OPI3,0.0142841,0.30467,0.00491538,0.30467,-0.0828899,0.0109683,-0.111894,0.0109683,0,0
CHO2,-0.0047856,0.72127,-0.00133047,0.72127,-0.0291977,0.49558,-0.0315253,0.49558,0,0
CTK1,-0.0186247,0.560529,-0.0194872,0.560529,0.0042756,0.759527,0.00110864,0.759527,0,0
ELP3,-0.00210593,0.871306,-0.000343191,0.871306,-0.0673708,0.35959,-0.0568825,0.35959,0,0
NUP133,0.00214409,0.871667,0.000421428,0.871667,-0.0969347,0.0450424,-0.0658644,0.0450424,0,0
CTF8,-0.0813608,6.00848E-10,-0.00710575,6.00848E-10,0.036529,0.505211,0.0158387,0.505211,6.37676,0
DOA4,0.0236,0.0790969,0.00381813,0.0790969,-0.0302663,0.4708,-0.0167039,0.4708,0,0
BRE2,-0.0966815,0.0842089,-0.0670284,0.0842089,-0.00692648,0.598329,-0.000983262,0.598329,0,0
SWD1,-0.0778515,0.160158,-0.0530829,0.160158,-0.00939231,0.475274,-0.00139543,0.475274,0,0
SPP1,0.0626742,0.304857,0.0265023,0.304857,0.0265184,0.0427716,0.00303122,0.0427716,0,0
SET1,-0.032137,0.0149051,-0.00484946,0.0149051,-0.0989268,0.0579677,-0.0516982,0.0579677,0,0
HFI1,-0.0115453,0.394346,-0.00287062,0.394346,-0.0594957,0.126203,-0.0704039,0.126203,0,0
SWD3,-0.00548969,0.677988,-0.000875368,0.677988,-0.0536712,0.294148,-0.0380907,0.294148,0,0
SDC1,-0.0906012,0.0943632,-0.0539572,0.0943632,0.00968247,0.462324,0.00135414,0.462324,0,0
BIM1,-0.0220799,0.0971322,-0.00216234,0.0971322,0.0220947,0.636096,0.00910451,0.636096,0,0
BUD13,0.0700498,0.169602,0.0380529,0.169602,0.0197755,0.134762,0.00277996,0.134762,0,0
BRR1,-0.0441458,0.311307,-0.0175335,0.311307,0.0240788,0.0721185,0.00197881,0.0721185,0,0
BUD22,0.0105775,0.844127,0.00717159,0.844127,0.00530624,0.687246,0.000841236,0.687246,0,0
BUD20,0.0123649,0.350168,0.00127242,0.350168,-0.0298138,0.554157,-0.0138932,0.554157,0,0
IBA57,-8.17688E-05,0.995128,-1.67557E-05,0.995128,-0.112989,0.00943171,-0.109882,0.00943171,0,0
CAR2,-0.0230803,0.0771317,-0.00196937,0.0771317,-0.00984185,0.87919,-0.00696528,0.87919,0,0
SRV2,0.0261403,0.0547803,0.00673518,0.0547803,-0.0271122,0.47136,-0.0241509,0.47136,0,0
BUD21,0.00851888,0.515626,0.000980922,0.515626,0.0387305,0.517898,0.0264702,0.517898,0,0
CCE1,-0.0815265,0.0167875,-0.0385876,0.0167875,0.0105281,0.445787,0.00114805,0.445787,0,0
CDC40,0.00157647,0.973906,0.00136505,0.973906,0.0388638,0.00341247,0.0084752,0.00341247,0,0
SSN3,0.0138834,0.299349,0.00326222,0.299349,-0.0755388,0.0861863,-0.0927124,0.0861863,0,0
CGR1,0.0411719,0.502126,0.0245439,0.502126,-0.000959635,0.941557,-9.85964E-05,0.941557,0,0
CHL1,-0.0175793,0.183082,-0.0011522,0.183082,0.0877371,0.0919504,0.0229391,0.0919504,0,0
CGI121,0.104966,0.056424,0.0677061,0.056424,-0.00242258,0.853953,-0.000334825,0.853953,0,0
CIN8,-0.00878538,0.513716,-0.000848902,0.513716,0.0231881,0.577643,0.00906752,0.577643,0,0
CKB1,-0.0212722,0.683799,-0.0144071,0.683799,-0.129706,5.91945E-23,-0.0138344,5.91945E-23,0,19.3832418
CKA2,-0.0124741,0.349932,-0.00149448,0.349932,-0.0118925,0.792867,-0.00838547,0.792867,0,0
CLB5,-0.150508,1.07544E-30,-0.0157274,1.07544E-30,-0.0118878,0.833545,-0.00482164,0.833545,27.1239,0
CLB2,-0.0185129,0.162076,-0.00139093,0.162076,0.025311,0.612867,0.00981529,0.612867,0,0
CKB2,-0.0927289,1.74927E-12,-0.0122853,1.74927E-12,-0.0389363,0.471644,-0.0320884,0.471644,8.91267,0
CLA4,0.00103052,0.987276,0.000514578,0.987276,-0.0215779,0.0984642,-0.00169043,0.0984642,0,0
CLB1,0.0580874,0.315981,0.0294787,0.315981,0.000819535,0.950214,6.62998E-05,0.950214,0,0
CLN3,-0.0439156,0.00134721,-0.00377159,0.00134721,0.0117773,0.742445,0.00419734,0.742445,0.0260879,0
CLN2,0.030159,0.643417,0.0129818,0.643417,0.0518414,7.08654E-05,0.00289879,7.08654E-05,0,1.3050885
CSM1,-0.024437,0.0631387,-0.00231219,0.0631387,-0.0465269,0.403887,-0.0274102,0.403887,0,0
CTF18,-0.0804275,2.26827E-09,-0.00895224,2.26827E-09,0.0228297,0.577083,0.00937033,0.577083,5.79983,0
CTF19,-0.0212566,0.104379,-0.00141499,0.104379,0.101952,0.0951768,0.0305197,0.0951768,0,0
CSM3,0.214479,0.035869,0.109043,0.035869,-0.0397714,0.00204181,-0.00328936,0.00204181,0,0
CTF4,-0.00241742,0.857928,-0.000341964,0.857928,-0.0456841,0.255646,-0.0230282,0.255646,0,0
SSN8,0.0129947,0.33183,0.00243597,0.33183,-0.0747315,0.0862484,-0.0850967,0.0862484,0,0
DCC1,-0.0786102,3.93812E-09,-0.00854544,3.93812E-09,0.0286556,0.516843,0.0108428,0.516843,5.56023,0
DBR1,-0.0261752,0.044925,-0.00278069,0.044925,0.000501248,0.993876,0.000241341,0.993876,0,0
DCS1,-0.0256047,0.619721,-0.0127682,0.619721,-0.0195362,0.13927,-0.00162541,0.13927,0,0
DBP3,0.0208793,0.114857,0.00265088,0.114857,-0.0604488,0.225957,-0.0347335,0.225957,0,0
DDR48,0.0338717,0.565637,0.0242189,0.565637,0.0264675,0.0435316,0.00190812,0.0435316,0,0
DHH1,0.00945742,0.472718,0.00196278,0.472718,-0.0718487,0.186283,-0.0641344,0.186283,0,0
DIG1,-0.0410346,0.383049,-0.0390679,0.383049,0.00720961,0.587852,0.00122885,0.587852,0,0
DEG1,-0.00755392,0.568209,-0.001027,0.568209,0.00836882,0.86798,0.00565193,0.86798,0,0
DIG2,-0.0312975,0.71757,-0.0121699,0.71757,0.0020195,0.876018,0.000120635,0.876018,0,0
DSS1,0.104975,0.085713,0.0444919,0.085713,-0.0438445,0.000805453,-0.00311484,0.000805453,0,0.2494828
DPB3,-0.0314463,0.0165662,-0.00282212,0.0165662,0.0116128,0.840978,0.00455769,0.840978,0,0
DST1,0.0218255,0.0949988,0.00206714,0.0949988,-0.0623169,0.32255,-0.031386,0.32255,0,0
DUN1,-0.0884099,2.41872E-11,-0.00814206,2.41872E-11,-0.0651718,0.181989,-0.0303071,0.181989,7.77194,0
