,global,local
VPS25,-138.347159062458,823.333845159636
OPI3,-3364.79026430256,-2967.65141089364
CHO2,-2371.52422808802,-1755.55261286616
CTK1,-2061.65040302289,-1738.10298267269
ELP3,292.216836072812,654.991071527895
NUP133,-856.380103129014,-205.985561235111
CTF8,2127.47073593146,2527.34073585446
DOA4,-214.406505202352,195.390628039519
BRE2,508.313677707329,1029.67421765347
SWD1,508.085189469262,923.398117821294
SPP1,1535.21461227856,1803.44952933601
SET1,642.290806329425,914.605850912372
HFI1,-2083.3082050392,-1477.53345152112
SWD3,200.195792824025,649.218902013499
SDC1,773.169382725616,1073.29478381683
BIM1,1147.42756673844,1900.92615168873
BUD13,698.4028916131,984.757334719023
BRR1,1904.7595555393,2364.48658696533
BUD22,237.110217716607,565.342075180187
BUD20,1166.8285511482,1707.73421490439
IBA57,-1249.04029729317,-698.75271515641
CAR2,1696.00549743137,2718.81160271878
SRV2,-2471.39948100893,-1605.29116698004
BUD21,898.410636805691,1616.46227492525
CCE1,396.744635526949,787.318006650326
CDC40,-956.470307678899,-709.349234179668
SSN3,-2267.90572220654,-1170.96481842741
CGR1,1375.84760623283,1927.23895089189
CHL1,2887.69395877843,3401.38566356651
CGI121,898.239971993688,1144.51918884748
CIN8,1170.04365773442,1800.88737393366
CKB1,634.251860977181,1738.12486363579
CKA2,-134.093029367448,980.92955653858
CLB5,1476.36892823024,1928.70484710772
CLB2,2067.46951085731,2776.93576910963
CKB2,465.239365457854,1172.29408465332
CLA4,1933.96361708662,2974.1615755418
CLB1,1672.61773881834,2676.73340890947
CLN3,1721.21887614797,1948.89189097866
CLN2,2974.81776984197,4025.82608204377
CSM1,560.784098506552,2115.56367657496
CTF18,673.70752587661,1250.11861168418
CTF19,2751.72318904278,3543.11451047617
CSM3,2765.16850164929,3186.11380713023
CTF4,-31.1253194952265,445.466786384092
SSN8,-1722.70218517346,-434.560799780357
DCC1,1038.34368096618,1561.85852624227
DBR1,1625.43688925647,2099.29690077215
DCS1,1450.46597974893,2501.53020686354
DBP3,455.439833853163,1006.91761436229
DDR48,1048.4804283233,3013.42663795456
DHH1,-663.214964546764,-413.76218993187
DIG1,-642.379593227597,27.0291541856389
DEG1,349.527903005207,809.689404605347
DIG2,3626.66418282147,4100.38081859899
DSS1,2752.29104693636,3358.45911375594
DPB3,1961.93087167149,2460.41917186532
DST1,1657.30190785168,2376.11950123244
DUN1,1150.35226498027,2200.9291604941
EBS1,2479.31536668516,2814.23441651837
EDC1,1491.33765234123,2387.09254521711
EFG1,658.251758711388,1129.88498449837
ELG1,2700.95721117228,3378.3221507291
ELF1,52.0896516684781,377.998065385048
ELM1,591.120367694378,1179.47126330885
ERF2,2528.73243613704,3297.21773633445
