"","cor","beta","pval_beta","adjp_beta","ratio"
"PSR1","-0.4255292","-0.32652645","1.17168e-187","184.19719","0.0538897"
"DPB3","-0.3090860","-0.09092378"," 8.36678e-59"," 55.34344","0.0751124"
"LSM7"," 0.1370285"," 0.02160705"," 7.97742e-13","  9.36414","0.8884274"
"RGT2"," 0.1129077"," 0.00863374"," 4.86373e-11","  7.57903","0.9469611"
"RXT3"," 0.1196788"," 0.01453225"," 6.34349e-10","  6.46367","0.8231730"
"SIR3"," 0.1078963"," 0.01075301"," 1.13163e-09","  6.21230","0.9370972"
"IOC2"," 0.1143452"," 0.01017891"," 2.80821e-09","  5.81757","0.9310242"
"MUD2","-0.1094548","-0.00860550"," 6.84721e-09","  5.43049","0.8927957"
"LSM1"," 0.1049230"," 0.01858243"," 2.96328e-08","  4.79423","0.9499024"
"TIP41","-0.1003327","-0.00845353"," 6.22331e-08","  4.47198","0.9481374"
"PAT1"," 0.1012223"," 0.02060881"," 6.52200e-08","  4.45162","0.9454821"
"RCE1","-0.0963725","-0.00873756"," 1.39957e-07","  4.12000","0.7994794"
"GAT2"," 0.0959951"," 0.00456041"," 1.58071e-07","  4.06715","0.9327817"
"LSM6"," 0.1025598"," 0.01897525"," 1.85492e-07","  3.99768","0.8785753"
"DLS1"," 0.0938338"," 0.00833271"," 3.87999e-07","  3.67717","0.9259475"
"SRO9","-0.0903854","-0.01528254"," 5.59207e-07","  3.51843","0.8893798"
"BMH1","-0.0893505","-0.01171173"," 7.76408e-07","  3.37591","0.9370763"
"PPH3","-0.0835395","-0.00928914"," 1.50248e-06","  3.08919","0.9389564"
