,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-9.68217e-02,-4.86838e-02, 1.63465e-04, 3.11521e-02, 3.67585e-03,1.06295e-01,-9.11412e-02,-8.94402e-02,1.59275e-01, 2.96152e-02, 3.88827e-03,1.01048e-01,  1.0525753, 0.0000000,0.0000000,0.0000000,0.11240043,0.8875996
OPI3, 1.33127e-02, 3.33100e-03, 6.41717e-01,-8.88899e-02,-6.36531e-02,5.05549e-03, 9.33817e-03, 3.81647e-03,6.09460e-01,-6.07216e-02,-1.24402e-01,2.84962e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.81753436,0.1824656
CHO2, 3.17536e-02, 9.15819e-03, 7.92283e-02,-1.16153e-01,-5.23090e-02,9.84123e-03, 3.11497e-02, 9.37514e-03,8.40068e-02,-1.67277e-02,-2.64512e-02,8.01220e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.88073553,0.1192645
CTK1, 3.82517e-03,-1.36665e-03, 7.59337e-01,-1.16166e-01,-7.26373e-02,3.87657e-06,-5.42562e-03,-1.36263e-03,7.71365e-01,-1.18217e-01,-1.62642e-01,1.35108e-02,  0.0000000, 2.6775526,0.0000000,0.0000000,0.75451680,0.2454832
ELP3,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.03477319,0.9652268
NUP133,-9.00107e-03,-1.67945e-03, 8.92406e-01,-3.07367e-02,-5.65009e-03,1.03827e-01, 1.28750e-02, 1.08383e-02,8.66099e-01,-2.71772e-02,-5.45593e-03,1.28293e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.09069508,0.9093049
CTF8,-1.31118e-01,-2.17860e-02, 1.17570e-05,-4.90191e-03,-4.54812e-04,7.58551e-01,-7.96055e-02,-3.51841e-02,2.51894e-01,-1.09756e-02,-9.31748e-04,5.41417e-01,  2.1957041, 0.0000000,0.0000000,0.0000000,0.12435351,0.8756465
DOA4, 5.33255e-02, 7.26676e-03, 1.06438e-02,-1.07420e-01,-3.14108e-02,5.97928e-04, 4.84176e-02, 7.82020e-03,7.72470e-03,-1.10710e-01,-8.57971e-02,6.38452e-02,  0.0000000, 0.4893518,0.0000000,0.0000000,0.84163500,0.1583650
BRE2,-4.09199e-02,-5.69500e-03, 2.22723e-02,-1.38490e-01,-5.91224e-02,6.52208e-06,-4.31420e-02,-6.22931e-03,1.48317e-02,-1.51115e-01,-2.69044e-01,1.02375e-01,  0.0000000, 2.4516146,0.0000000,0.0000000,0.93425863,0.0657414
SWD1,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.95267012,0.0473299
SPP1,-7.70434e-02,-8.37265e-03, 5.43696e-05, 7.25499e-02, 9.89186e-03,1.24023e-01,-7.23800e-02,-8.75135e-03,4.05001e-05, 7.68534e-02, 4.10309e-02,4.54332e-01,  1.5306450, 0.0000000,1.6585447,0.0000000,0.93219899,0.0678010
