,int,beta,pval,sigma,cor,adj_pval
VPS25,-0.00135333316724342,-0.00113422620380508,0.795382061313668,0.251420499620054,-0.0045112258708083,0
OPI3,0.0643954192449217,-0.00902823396656234,0.436526524830287,0.666984846076599,-0.0135346508324237,0
CHO2,0.0632136980042366,0.0014009258151777,0.870487387734048,0.493940334612347,0.00283621336910607,0
CTK1,-0.024133316597723,-0.0149098130193093,0.0567625231157417,0.449759202192463,-0.0331324562207989,0
ELP3,0.000484473439942557,0.00161355311580275,0.674326787609724,0.220727536374094,0.00730996245951919,0
NUP133,0.0152163147408607,-0.00572381625595364,0.292255649828875,0.31238987490256,-0.018319594062487,0
CTF8,0.00141430906603962,-0.0031687310113158,0.150649066536796,0.126718579348032,-0.0249982345469479,0
DOA4,0.0160055518083883,0.00194114408560373,0.664487587076946,0.257270055954371,0.0075449465994784,0
BRE2,-0.00353031769208045,-0.00771374445171253,0.0320467712641064,0.206765188354679,-0.0372808504649284,0
SWD1,-0.00458433841042577,-0.00893291137982717,0.0130575549780186,0.206779474730759,-0.0431599291526181,0
SPP1,-0.00329295655539734,-0.00716420715632362,0.00661632030743368,0.151571942204078,-0.0472133412813414,0
SET1,-0.000875206504277903,-0.00865256784464722,0.0122848487976898,0.198555885751607,-0.0435361756726578,0
HFI1,-0.0386763874570728,0.0109413707144883,0.164799023856332,0.452714376706697,0.0241613193497162,0
SWD3,-0.00393955632472996,-0.014402945012686,0.000268013091830302,0.226955783758366,-0.0633340520648683,0.727366815409153
SDC1,-0.00369984066410584,-0.00465015221536011,0.161385387114583,0.190851258950798,-0.0243580918977892,0
BIM1,0.00367648343257665,0.00411181439284588,0.165537721789153,0.170429694989268,0.0241191432626159,0
BUD13,-0.0136012633791159,-0.00317614208099003,0.349678838959024,0.195215276296601,-0.0162677934050897,0
BRR1,-0.0102690153094027,-0.00419280364418072,0.0754483863412807,0.13554641119129,-0.0309178174010253,0
BUD22,-0.00418409508120351,-0.00857609754104248,0.0281070066469579,0.224436474325093,-0.0381838259205497,0
BUD20,0.0134120309148056,0.00288619214637721,0.327505896385071,0.16943277217169,0.0170319676310841,0
IBA57,0.0143057188405564,0.00273696385217889,0.654693336969426,0.351773703117189,0.00778023197786444,0
CAR2,-0.00345058257492884,0.00324078422020986,0.19699314033962,0.144378598243778,0.0224407782454157,0
SRV2,0.0578849374646726,-0.0144669790763941,0.102416642855172,0.509085457220756,-0.0284061171586667,0
BUD21,-0.00397074680941187,-0.00153616317392347,0.630839157119652,0.183758576926588,-0.00835938939887321,0
CCE1,0.0166465112303934,-0.00156353797412471,0.674289775398457,0.213859879194566,-0.00731084388115867,0
CDC40,-0.0303829293630167,0.00948741237472668,0.0903752755860997,0.321989253517464,0.0294522147287223,0
SSN3,0.0584527159647708,-0.015952787471566,0.0554736913742722,0.478703614312048,-0.0333064889190533,0
CGR1,0.00431082603329482,0.00273559416798957,0.322854414447063,0.159055180228507,0.0171964826957724,0
CHL1,0.00112410660712368,-0.00113903552689631,0.515537962568346,0.100693945537396,-0.0113111334886413,0
CGI121,-0.00198999986681676,-0.006598871345642,0.0390614873862625,0.183768060425901,-0.0358855670259004,0
CIN8,0.00499665501433474,-0.000123534214357705,0.966536021802913,0.169268127568161,-0.000729813599486259,0
CKB1,-0.0208842177152002,0.00423011466737526,0.221871187960944,0.199039139926056,0.021247879543523,0
CKA2,0.0108000116498221,0.00164845554801114,0.705888287523162,0.251097279856955,0.00656486612056506,0
CLB5,0.000243011376255216,0.00801232987146238,0.00285314857546533,0.154293195354535,0.0518593735833209,0
CLB2,-0.00502201732392925,0.0057930725878449,0.00989644317685642,0.129038707800871,0.0448488952880789,0
CKB2,-0.0199367453939008,-0.000616447646268985,0.865665806454064,0.209475960616889,-0.00294279579964688,0
CLA4,0.00115852227059522,-0.000531511083876009,0.820104467683536,0.134354672962022,-0.00395599879845844,0
CLB1,-0.0121598775543075,0.00138021291980367,0.585305865588075,0.145403291415525,0.00949188102463049,0
CLN3,0.000176311700950109,-0.00461111031992303,0.0643856431568979,0.143282006071875,-0.032165409114365,0
CLN2,-0.00141546841276056,0.00133662071888034,0.433396930509271,0.0980757758844011,0.0136271836316684,0
CSM1,0.024760542822338,-0.000948120358622196,0.788845332585289,0.203510443354019,-0.00465877845793,0
CTF18,0.0115362738322298,-0.00386959791095974,0.258102053360679,0.196678523308543,-0.0196709285377372,0
CTF19,0.00330178432832176,-5.75910508637684e-05,0.974828098679203,0.104920374235212,-0.000548902371037454,0
CSM3,0.0023608215279734,-0.00319632822051037,0.0787545901114565,0.104494664108741,-0.0305741347682753,0
CTF4,0.00512147717941035,0.00236692570754989,0.576165459258092,0.24339950419328,0.0097239877678003,0
SSN8,0.0417889212690935,-0.012798067637979,0.0700095259508792,0.405945195490127,-0.0315109338701791,0
DCC1,0.0139244946724824,-0.000115200365755628,0.97001019381893,0.176145193632465,-0.000654007859895959,0
DBR1,0.00601188117047806,-0.000950496345048136,0.711047909465268,0.147492623697229,-0.00644423147988417,0
DCS1,-0.00752389443305132,0.000928030260825984,0.731557738101341,0.155506482938256,0.0059676851926025,0
DBP3,0.00895616732869099,0.00180607687612966,0.621199309854158,0.2100976149116,0.00859605259313421,0
DDR48,-0.00922800189513517,0.00186124297799098,0.542350712068739,0.175606093067899,0.0105983705351886,0
DHH1,0.0126689399937166,0.00360829045197759,0.481497326566582,0.294665560019976,0.0122444575877095,0
DIG1,-0.0278062570269153,-0.00347882737448687,0.494649995386973,0.292814889801505,-0.0118797984808915,0
DEG1,0.000990118842482314,8.0587639438855e-05,0.982962798422423,0.216935233300549,0.000371482458853006,0
DIG2,-0.000644204415680379,-0.00160024733158099,0.253373647179894,0.080529961006879,-0.0198675307496681,0
DSS1,-0.000813583683416987,0.00345102537560531,0.0586785303878506,0.104902359494464,0.0328797128898396,0
DPB3,0.00584438818908556,-0.0049288636932827,0.0335000192241332,0.13322322834667,-0.0369717349439292,0
DST1,-0.00302410115983278,-0.000395055876677898,0.876456894550586,0.146078264845518,-0.00270440255033515,0
DUN1,0.00697907300184064,-0.00590052208764147,0.0464402856635349,0.170279034245933,-0.0346312904968617,0
EBS1,-0.00760022394445389,0.00210144522503628,0.289040063114379,0.11392892807138,0.0184420925232025,0
EDC1,-0.0061482998354412,-0.00316482222898798,0.236279877971537,0.153596384603037,-0.0206004238074535,0
EFG1,0.00500028903707559,-0.00275741136715629,0.42247577331578,0.19759988165948,-0.0139531608509264,0
ELG1,0.00102307402936528,-0.0025388453666516,0.170804871895861,0.106543439928997,-0.0238224414160899,0
ELF1,-0.0154596435146779,0.0177031630984884,1.85524325834702e-05,0.23735119085418,0.0743797622355109,1.88712196214617
ELM1,0.00329317587994373,-0.000314646087245264,0.928528940638713,0.201652107397968,-0.00156033928074027,0
ERF2,0.0115766728865694,-0.00323640696120243,0.097473981175692,0.112239125465036,-0.0288229467762988,0
ERG2,0.0194771244589232,-0.00141750647755299,0.74668182921703,0.252259871201329,-0.00561914224372191,0
EST1,0.000224584904952466,-0.00153249550232121,0.392004087823189,0.102910582545189,-0.014889874019592,0
EXO1,-0.00545654165883943,0.00107731846394461,0.672083829299653,0.14630301800204,0.00736341103726188,0
FAB1,0.00673203137230421,-0.00147493673691633,0.596885166317638,0.160308208246289,-0.00920024201582144,0
FKS1,0.0297068314779347,-0.0079963224776437,0.0652154960843712,0.249242927225197,-0.0320659466659053,0
GEP3,0.0421042515854183,0.00198364886009194,0.743548919492993,0.348543953944101,0.00569115232948624,0
FIN1,0.00884240511474662,-0.0010036290237877,0.611655421359179,0.113631909473548,-0.00883193712558085,0
FRA2,-0.001138276025759,0.000761360837485929,0.642078021821914,0.0941617555756856,0.00808540522537497,0
GAL80,-0.00325319538213879,0.00168978100768518,0.23075135140135,0.0810447747586953,0.0208454381003443,0
FUS3,-0.000728325105996691,0.00376997573792264,0.279110117594549,0.200215198766482,0.0188262809609109,0
GCR2,0.00353749201291198,-0.00928976322445353,0.0203628252577891,0.230127573000585,-0.0403350333042909,0
GPA2,0.0187206244368513,0.00449321540540855,0.192845790868172,0.19832366138917,0.022650160094292,0
GPR1,0.0167319924114499,0.000786211232199407,0.869173119198566,0.274393735716901,0.0028652549332625,0
GPG1,0.000187131633431504,-0.00390860919980408,0.0747192374448302,0.12604285632539,-0.0309952610563343,0
GPH1,-0.0134372666285773,-0.00283604919439126,0.287173669414536,0.153160968481812,-0.0185136144499114,0
GIS4,0.00288541787963835,-0.0021054896997096,0.435081378540363,0.155059599149854,-0.0135773317819473,0
GTR1,0.00143200021539733,0.000421680345053028,0.893902110090316,0.181753600051684,0.0023200597404783,0
GSY2,0.00704715002121863,-0.00371893362904424,0.0544694544436461,0.111135152579376,-0.0334444421060392,0
GSY1,0.00589484621151197,-0.00290656468562789,0.0883616632478752,0.0980260186940236,-0.0296379254307925,0
HAP4,-0.000394392610751131,-0.00940193444203757,9.83456617729111e-05,0.138613171541853,-0.0676730852101226,1.162767617189
HCR1,-0.00583671504730087,-0.000488234326219962,0.890117225805745,0.203147368028578,-0.00240334354769396,0
HFM1,0.00582721168598127,-0.00321663544344834,0.309792735692916,0.182042902095522,-0.0176668981886297,0
HHT1,-0.00117411387515574,-0.00428341395059477,0.00612339032964037,0.0897782565373056,-0.0476568287563699,0
HNT3,-0.00230938913330392,0.00216135999202434,0.276876058480188,0.114252645817178,0.0189139896113748,0
HOG1,-0.0103819750476637,0.0021143372246668,0.402696879595671,0.1452362287327,0.0145563763931702,0
HHF1,0.0015091839469374,0.000138313136393111,0.937377990045618,0.10120047783513,0.0013667228670467,0
HOS3,-0.00290117797691656,0.000919157361926553,0.649683900653714,0.116328877493874,0.00790112215320543,0
HOM2,0.0253813915865059,-0.00673759396853719,0.0598077429813937,0.2057186333245,-0.0327339492186778,0
HUR1,0.0300535788492868,-0.00465579478275171,0.310745908014864,0.264010646503812,-0.0176321336398516,0
KKQ8,-0.00339780372961656,0.00108159166137682,0.600067617075176,0.118583593235301,0.0091205422707782,0
INP52,-0.0280124614823329,0.000713191662484329,0.827832392147274,0.188509565211751,0.00378329108979098,0
IRC3,0.0228689445356392,-0.000985800548802751,0.832491154156782,0.26792569262243,-0.00367935551986982,0
IRE1,-0.00464946310938434,0.00584102790357306,0.091567182408191,0.19896886203928,0.0293438508909878,0
IRA2,-0.0636831095146417,-0.0121568019617895,0.0536601596462204,0.362067365131854,-0.0335571675793049,0
IPK1,0.0396397002708544,0.00186431627139328,0.770603277102918,0.367538802790016,0.00507236861431162,0
IRA1,-0.0251701875077254,-0.00854727980045464,0.0371936769009115,0.235731259903996,-0.0362347651743473,0
JJJ1,0.0130135542944022,0.00381573220287258,0.222173172652416,0.179658598631389,0.0212340066686507,0
IST3,0.000161301304010289,-0.00218020323983981,0.493704224242948,0.183107436407022,-0.0119058447661894,0
IRS4,-0.00445786369515137,-0.000155182743162858,0.949668597348939,0.141321705684253,-0.00109808078563184,0
JNM1,0.00894445625716933,0.00186178565084769,0.476992240776224,0.150489315583367,0.0123706004111871,0
KAR3,0.0111154135856344,0.0100086910899643,0.0165650612199374,0.240001780901641,0.0416663547600554,0
RRD1,-0.00387419993520654,0.00023096878811044,0.9143748652052,0.123483355557127,0.00187044142945383,0
RRP8,0.00216345686113699,-0.00605098236489076,0.0176504994402032,0.146527755293941,-0.0412606433463866,0
RSA1,-0.0357291007308697,-0.00726682421106164,0.177358854894753,0.309633353851842,-0.0234626653236633,0
RRP6,-0.00151505146728092,-0.0014660468347258,0.734830512573373,0.248812881927464,-0.0058920638481497,0
RRM3,-0.00406127937332084,0.000252323145202054,0.910873431367341,0.129579484623976,0.00194724240152903,0
