,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.112400434360067,0.033432508489088,-0.048683776439014,0.647794382556909,0.887599565639933,-0.00619401848347742,0.00367585438516616,0.132694376120991,Y
OPI3,0.817534359453162,-0.0371132635394255,0.00333100023762834,0.419672686695303,0.182465640546838,0.517650233543843,-0.0636531303037721,1.17999190377711,Y
CHO2,0.880735525488338,-0.013228277332056,0.00915819439519968,0.305181301404489,0.119264474511662,0.625799983404318,-0.0523090394029367,0.996595139988214,Y
CTK1,0.754516801025917,-0.0430192427110934,-0.00136664747761726,0.267245267510818,0.245483198974083,0.0311729935632009,-0.0726373101223123,0.772539116389914,Y
ELP3,0.0347731921675228,-0.129745852858576,-0.0280349944027693,0.720512794702042,0.965226807832477,0.00509496955346974,0.00195306295916242,0.176424636442414,Y
NUP133,0.0906950835186945,0.416112530457107,-0.0016794474633098,0.706145997513418,0.909304916481306,-0.0247652980092423,-0.00565008805939971,0.199816136472772,Y
CTF8,0.12435351431256,0.0528561740925493,-0.0217860482037647,0.272108233269477,0.87564648568744,-0.00601406315416278,-0.000454811967423801,0.0855761964354791,Y
DOA4,0.841634996863849,-0.0182612446330818,0.00726676233371668,0.165934732476563,0.158365003136151,0.197890054172978,-0.0314108059018764,0.480634617303951,Y
BRE2,0.934258626370035,-0.00081932905101005,-0.00569499679352585,0.145066728654396,0.0657413736299649,-0.0447803869906476,-0.0591224435612831,0.589714968683063,Y
SWD1,0.952670120026105,-0.00645603208861654,-0.00719472764065596,0.15757723091769,0.0473298799738947,0.0305361906139038,-0.0592502602174638,0.632528109648226,Y
SPP1,0.932198989995343,0.00840321072217203,-0.00837264981481821,0.119819909442678,0.0678010100046568,-0.163821951342557,0.00989185895613184,0.336681020378468,Y
SET1,0.938142527181739,-0.0154034873756148,-0.00634398592696222,0.157523873526847,0.0618574728182608,0.218821936609937,-0.0440851632436577,0.455958751091382,Y
HFI1,0.156558259581354,-0.319592861683701,0.0961509111919585,0.917017048091307,0.843441740418646,0.0133115261019177,-0.00224172893305096,0.261118027412765,Y
SWD3,0.0633872710125583,0.129597066067633,-0.149694433253428,0.608375470680925,0.936612728987442,-0.0131583157192377,-0.00586618068474377,0.165476480379586,Y
SDC1,0.934393408435196,-0.00130814272863543,-0.00257111414729136,0.148043818155686,0.065606591564804,-0.038400416892643,-0.0449076261029694,0.490238019762101,Y
BIM1,0.087619762363875,0.202742815683764,-0.000489296334164611,0.416111487100847,0.912380237636125,-0.0154624389221165,0.00520957900428894,0.10495973651814,Y
BUD13,0.88060347701062,-0.000481755136722132,0.00245228499894175,0.141899251845216,0.11939652298938,-0.107868817931493,-0.0381874742636189,0.398205642424307,Y
BRR1,0.17783164627215,-0.0474598983051114,-0.0113046234027483,0.266494267275544,0.82216835372785,-0.00216157261536495,-0.00232271239217332,0.0812155555739225,Y
BUD22,0.060157002045112,-0.129334722872172,-0.0475451423754747,0.5897559405302,0.939842997954888,0.00379771822186957,-0.00683316722850906,0.173729667983241,Y
BUD20,0.107167490160457,0.139668456264844,-0.0143399523714652,0.385170427106766,0.892832509839543,-0.00167020424838171,0.0042052792478873,0.110353754354791,Y
IBA57,0.12717592401648,0.237158333358528,-0.0654052870631472,0.762655941922898,0.87282407598352,-0.0176787309817066,0.0105801381132221,0.219555333322909,Y
CAR2,0.0612584424078408,0.0917615620577145,-0.00415990376021861,0.470901285847299,0.938741557592159,-0.00965581991364745,0.0035610376990845,0.0842405691107008,Y
SRV2,0.853982535072413,-0.0534398120788437,-0.00395769139235972,0.267639311001438,0.146017464927587,0.707460380457266,-0.0701325463340491,0.925308445147775,Y
BUD21,0.0629082678158814,-0.0409023532393096,-0.0398635867975948,0.565010449478588,0.937091732184119,-0.00135182072922698,0.00133539689368722,0.119882116739806,Y
CCE1,0.220679298467273,0.0952419175174665,-0.0232877885009096,0.376800910077686,0.779320701532727,-0.00525265947913408,0.00339861546729047,0.126958587437835,Y
CDC40,0.121696359578413,-0.18581770016086,0.0442348712760539,0.641739798907008,0.878303640421587,-0.0089518673719626,0.00529801553490736,0.238717048905626,Y
SSN3,0.897485545280443,-0.0117883104213637,-0.0134208083990588,0.247898081933097,0.102514454719557,0.674067831193976,-0.0511238651386343,1.12871775372327,Y
CGR1,0.0672434511329702,0.0992354434862328,0.0258633904217337,0.443776333965511,0.93275654886703,-0.0024391848489823,0.00213244558964685,0.110520709635018,Y
CHL1,0.898020993215251,-0.00896982211899935,0.0004586083608177,0.0668632204046049,0.101979006784749,0.0893356791465564,-0.0157223475591381,0.225979562856171,Y
CGI121,0.882375274650036,-0.00251597851057201,-0.00591143802782509,0.136479105285914,0.117624725349964,0.0019646835078964,-0.0122469127148059,0.383717076412212,Y
CIN8,0.865848964364478,-0.0169990127145537,0.00164437755514925,0.100532689845317,0.134151035635522,0.146591762141159,-0.00626870571083964,0.353530563487338,Y
CKB1,0.0670407532350417,-0.255971747077806,0.0183872707310942,0.598201378645656,0.932959246764958,-0.00398458004894736,0.00303196851723453,0.111623818867118,Y
