,global,local
VPS25,334.56319965411,1107.71341811667
OPI3,-3282.31709715375,-3041.96228606976
CHO2,-2180.57297952002,-1770.22117858764
CTK1,-1954.97157760762,-1677.07732001383
ELP3,452.807578177192,707.04421808092
NUP133,-586.643460818018,-57.3840925593507
CTF8,2290.77931182312,2781.92255315444
DOA4,55.0665796221475,378.763730372006
BRE2,886.913202068364,1284.54956590597
SWD1,1007.11412328089,1155.87167611508
SPP1,1722.94267608754,1967.71507622072
SET1,953.373557386589,1103.74683266631
HFI1,-2023.80924543405,-1523.33329801763
SWD3,608.13543386404,840.074061429016
SDC1,1030.6626530261,1253.24799734756
BIM1,1501.0941588081,2135.49170377959
BUD13,657.530439115185,921.299017127455
BRR1,1780.99619987959,2358.06506949239
BUD22,370.564226758154,637.864355332199
BUD20,1312.32722086143,1875.27881491848
IBA57,-1195.34941473679,-770.186730617512
CAR2,2484.87114845083,3045.36831707426
SRV2,-2261.49535570917,-1483.01958181908
BUD21,1141.09650270074,1821.03285518835
CCE1,346.290162877512,693.398874536412
CDC40,-1087.78672054368,-883.491807461732
SSN3,-1928.03373093383,-1028.28478908959
CGR1,1510.43611834367,2010.80188127491
CHL1,3147.590265544,3665.95497204897
CGI121,1112.4455612504,1321.97244529763
CIN8,1559.85022535058,2080.1397379831
CKB1,995.338670714991,2088.38816541765
CKA2,118.757431069726,1151.22475429241
CLB5,1656.55879979956,2006.30991333276
CLB2,2345.05171504656,3077.53063938631
CKB2,413.126607372459,1418.64951158696
CLA4,2414.83552622532,3285.69575666785
CLB1,2041.0447182142,2969.7855180875
CLN3,1949.71555655912,2159.28278607618
CLN2,4034.92022497776,4426.72696208842
CSM1,1282.66540700018,2333.51674012736
CTF18,920.903017125808,1415.00798212293
CTF19,3443.29553341192,3892.48855984902
CSM3,2980.7660434543,3395.25628788012
CTF4,55.3661125282774,452.338102540028
SSN8,-1303.85964655434,-279.923238597916
DCC1,1329.72439033826,1773.2806699555
DBR1,2105.44493991719,2313.46901943389
DCS1,1852.77447988342,2659.95722163079
DBP3,503.557110265627,1057.95152729571
DDR48,-Inf,3406.55386389759
DHH1,-691.21127658756,-383.917642356815
DIG1,-668.463035285047,70.2147633174376
DEG1,464.071056243621,948.566905796248
DIG2,3872.53953501955,4300.42207238769
DSS1,3011.35817844967,3475.99814588175
DPB3,2142.37289515947,2591.16000728033
DST1,1964.88767080415,2671.89774581191
DUN1,1578.50884556683,2513.53242019679
EBS1,2580.08616195709,3106.22107896092
EDC1,2275.51173098957,2765.89804453293
EFG1,624.391718680482,1223.07103012554
ELG1,3233.03588390054,3645.45554514163
ELF1,9.06011275293939,313.681607066007
ELM1,974.065532466567,1435.39988084943
ERF2,2747.33628421795,3451.9747212581
ERG2,226.308160109771,1071.32111231749
EST1,3099.53817261471,3483.59640403452
EXO1,2793.90961846835,3330.73306660829
FAB1,1579.56062566693,2454.64117247507
FKS1,73.8006798539217,590.169434515431
GEP3,-1261.4037501508,-845.048409286788
FIN1,3389.363957444,3737.28976700025
FRA2,3313.18544628418,5078.60914137644
GAL80,4307.35518673308,4454.07564873856
FUS3,813.778105589009,1378.44796288824
GCR2,108.598366757774,714.645985936198
GPA2,849.453420524101,1822.45441559403
GPR1,-94.4679096756868,591.435804653158
GPG1,2244.75214674947,2408.9650200505
GPH1,1726.00881226933,2581.47628068799
