"","cor","beta","pval_beta","adjp_beta","ratio"
"SIR1"," 0.5532728"," 0.06521208","2.17442e-123","119.97691","0.0535739"
"DBR1","-0.3774210","-0.06504036"," 4.95512e-67"," 63.61920","0.1171466"
"SYC1"," 0.3017023"," 0.07367289"," 1.67971e-47"," 44.08903","0.1380250"
"MRN1"," 0.2250201"," 0.02626130"," 7.44269e-39"," 35.44253","0.9211367"
"UPF3"," 0.2095034"," 0.03455992"," 6.14342e-33"," 29.52585","0.7962569"
"PDE2"," 0.2010944"," 0.02382142"," 1.94126e-32"," 29.02618","0.9235439"
"RAD6"," 0.3127934"," 0.10131654"," 7.21619e-31"," 27.45595","0.1799189"
"YPR153W"," 0.1905529"," 0.01264359"," 9.82164e-29"," 25.32207","0.8960741"
"CAC2"," 0.1822625"," 0.02685232"," 1.29603e-27"," 24.20164","0.9072267"
"SSN3","-0.1791877","-0.04561367"," 2.11057e-26"," 22.98986","0.9038196"
"YDR306C","-0.1766964","-0.01369862"," 1.82786e-24"," 21.05231","0.9465888"
"MEI5"," 0.1731971"," 0.01450569"," 3.84035e-24"," 20.72989","0.9306587"
"SRB8","-0.1716584","-0.03471840"," 4.44596e-24"," 20.66629","0.9076735"
"RAM1","-0.1810350","-0.07017983"," 5.00526e-24"," 20.61483","0.8955570"
"SSN8","-0.1684238","-0.03398406"," 4.77904e-23"," 19.63492","0.9090454"
"ELP4"," 0.1665312"," 0.02796220"," 2.05827e-22"," 19.00076","0.9171023"
"ATG23"," 0.1689896"," 0.01282946"," 1.00481e-21"," 18.31217","0.9133273"
"AZF1"," 0.1614858"," 0.01512420"," 1.82871e-21"," 18.05211","0.9348251"
"CAF40","-0.1655982","-0.01999681"," 5.43383e-21"," 17.57915","0.8856273"
"IRA2"," 0.1597486"," 0.04171398"," 3.22103e-20"," 16.80626","0.8153446"
"DDR48"," 0.1590303"," 0.01135055"," 6.98628e-20"," 16.47001","0.9453411"
"UTP30"," 0.1562885"," 0.01794128"," 8.93193e-20"," 16.36331","0.9241261"
"SAM4"," 0.1545487"," 0.02204166"," 1.51402e-19"," 16.13413","0.9400154"
"RAD1"," 0.1543636"," 0.01728868"," 2.67916e-19"," 15.88626","0.9295118"
"PUS1"," 0.1533065"," 0.01918707"," 4.37814e-19"," 15.67297","0.9292491"
"FKH1"," 0.1527883"," 0.01119384"," 1.13959e-18"," 15.25751","0.9132949"
"SET4"," 0.1460071"," 0.01570018"," 2.60120e-18"," 14.89908","0.9039560"
"NUP133","-0.1503812","-0.02992283"," 3.95945e-18"," 14.71662","0.9182631"
"YBR285W"," 0.1441108"," 0.01957676"," 4.56599e-18"," 14.65472","0.9302661"
"CLB1"," 0.1489432"," 0.01236781"," 1.25167e-17"," 14.21677","0.9364251"
"VPS71","-0.1552865","-0.01576409"," 2.30002e-17"," 13.95253","0.8900793"
"YJL206C"," 0.1467878"," 0.01096191"," 3.56583e-17"," 13.76210","0.9164793"
"MUM2"," 0.1446258"," 0.01122302"," 3.68189e-17"," 13.74819","0.9447145"
"SAC3","-0.1454525","-0.02759549"," 4.57655e-17"," 13.65372","0.8829532"
"SFL1"," 0.1454636"," 0.01923145"," 5.51934e-17"," 13.57237","0.9433863"
"ELC1","-0.1455755","-0.01092121"," 6.82570e-17"," 13.48011","0.9429834"
"SKO1"," 0.1422188"," 0.01312302"," 8.00186e-17"," 13.41107","0.9038926"
"NUP120","-0.1436118","-0.01987031"," 1.22770e-16"," 13.22517","0.9219164"
"ATG32"," 0.1441113"," 0.01148129"," 2.00129e-16"," 13.01295","0.9202081"
"INP52"," 0.1399564"," 0.01808181"," 2.25753e-16"," 12.96063","0.9351097"
"DUN1","-0.1411224","-0.01332568"," 3.03671e-16"," 12.83185","0.9309569"
"SRV2","-0.1446904","-0.03784885"," 3.70142e-16"," 12.74589","0.8703490"
"URM1"," 0.1439913"," 0.02961482"," 3.91001e-16"," 12.72208","0.9184782"
"YKR023W"," 0.1381730"," 0.01669468"," 9.37553e-16"," 12.34226","0.8778057"
"GPB2"," 0.1331703"," 0.01369812"," 1.19099e-15"," 12.23835","0.9144367"
"BUD22","-0.1311663","-0.02416182"," 1.46074e-15"," 12.14968","0.9490964"
"NUP60","-0.1394137","-0.02158544"," 1.67091e-15"," 12.09130","0.9292891"
"VAC8"," 0.1361825"," 0.01808565"," 2.10290e-15"," 11.99144","0.9130328"
"MED1","-0.1365820","-0.01987285"," 2.83815e-15"," 11.86122","0.9299216"
"SOH1"," 0.1264469"," 0.02328118"," 2.92162e-15"," 11.84863","0.9360923"
"MDS3"," 0.1371136"," 0.01961429"," 3.58888e-15"," 11.75930","0.8960146"
"ELP6"," 0.1400796"," 0.02931408"," 3.67233e-15"," 11.74932","0.9137649"
"MMS1"," 0.1342750"," 0.01549804"," 4.55099e-15"," 11.65615","0.9124322"
"SFP1","-0.1243177","-0.03730436"," 1.22113e-14"," 11.22750","0.7109829"
"CAR2"," 0.1382058"," 0.01085746"," 1.61687e-14"," 11.10558","0.9228251"
"NUP170","-0.1300949","-0.01732490"," 2.30849e-14"," 10.95093","0.8951111"
"YHR003C"," 0.1256551"," 0.02035179"," 2.90035e-14"," 10.85181","0.8848496"
"RPN13","-0.1432465","-0.01981609"," 3.94819e-14"," 10.71786","0.7325525"
"MAC1"," 0.1276423"," 0.00860293"," 6.65202e-14"," 10.49130","0.8934031"
"UBA4"," 0.1326609"," 0.02056946"," 8.42754e-14"," 10.38856","0.9022493"
"NCE102"," 0.1231555"," 0.00838149"," 1.71498e-13"," 10.08000","0.9240939"
"ELA1","-0.1279228","-0.00999616"," 3.38804e-13","  9.78431","0.9262951"
"THP1","-0.1287693","-0.03506563"," 3.71217e-13","  9.74463","0.8675132"
"LSM12"," 0.1195116"," 0.01124311"," 2.15211e-12","  8.98139","0.9344337"
"SSN2","-0.1224733","-0.02446861"," 3.33319e-12","  8.79140","0.9046768"
"VPS16"," 0.1220941"," 0.02823582"," 5.27422e-12","  8.59210","0.9177919"
"MFT1","-0.1128210","-0.01118394"," 2.14817e-11","  7.98219","0.9315892"
"GRR1","-0.1285267","-0.03468623"," 2.26925e-11","  7.95838","0.8618341"
"RCM1"," 0.1215586"," 0.01850695"," 2.30707e-11","  7.95120","0.9241295"
"SET2","-0.1176937","-0.01531115"," 3.01627e-11","  7.83479","0.8961600"
"HOS3"," 0.1145094"," 0.00847994"," 3.02440e-11","  7.83362","0.9391831"
"JHD2"," 0.1295455"," 0.00711012"," 7.99034e-11","  7.41169","0.7084168"
"NAM7"," 0.1096604"," 0.01416965"," 8.58308e-11","  7.38062","0.8024937"
"EXO1"," 0.1076492"," 0.00813693"," 1.73689e-10","  7.07449","0.9086799"
"TRM10"," 0.1066252"," 0.01507473"," 1.82473e-10","  7.05306","0.8932046"
"URC2"," 0.1101977"," 0.01217799"," 3.01255e-10","  6.83532","0.8440446"
"ECM30"," 0.1058172"," 0.00708444"," 6.53454e-10","  6.49904","0.9251772"
"ARP6","-0.1195715","-0.01114025"," 7.60709e-10","  6.43304","0.8655506"
"MSN5","-0.1228180","-0.01436392"," 8.83007e-10","  6.36829","0.8848563"
"MRT4","-0.1048664","-0.01260262"," 1.69004e-09","  6.08636","0.9348585"
"NMD2"," 0.1061883"," 0.01407878"," 2.30101e-09","  5.95234","0.8239502"
"SRB5"," 0.0943297"," 0.02031657"," 3.81362e-09","  5.73292","0.9329323"
"TPS2"," 0.0957385"," 0.01633872"," 4.38918e-09","  5.67188","0.9006251"
"SAC1"," 0.1048419"," 0.00978157"," 5.98215e-09","  5.53740","0.8907787"
"OCA1","-0.1088919","-0.01024927"," 7.24009e-09","  5.45451","0.9324096"
"GPA2","-0.0960902","-0.01121244"," 8.35067e-09","  5.39254","0.9262894"
"UBP3","-0.0899140","-0.02590415"," 9.07978e-09","  5.35618","0.8982338"
"CSE2","-0.1002844","-0.01695289"," 9.16995e-09","  5.35189","0.9067629"
"YLH47"," 0.1044510"," 0.00732245"," 9.45605e-09","  5.33855","0.9198296"
"CTK1","-0.1071818","-0.02613670"," 9.93367e-09","  5.31715","0.7486026"
"DOC1","-0.1008845","-0.01786369"," 1.07277e-08","  5.28375","0.8997911"
"IRA1"," 0.0977924"," 0.01377829"," 1.15028e-08","  5.25346","0.9002948"
"RRG9","-0.1095630","-0.02364192"," 1.52475e-08","  5.13106","0.8963587"
"UAF30","-0.0930280","-0.01604943"," 1.66418e-08","  5.09306","0.8688244"
"GPR1","-0.1002052","-0.01611090"," 1.70834e-08","  5.08168","0.9320595"
"TMA23","-0.1000653","-0.01372238"," 1.87721e-08","  5.04075","0.8789376"
"MSH1","-0.1140199","-0.01058547"," 2.52972e-08","  4.91119","0.8435276"
"DIG1"," 0.0980640"," 0.01779765"," 3.66944e-08","  4.74966","0.9203826"
"UBR2","-0.1217562","-0.01315150"," 4.25671e-08","  4.68518","0.7057801"
"IES6","-0.0992589","-0.02588531"," 6.27113e-08","  4.51691","0.8793777"
"KAP120","-0.1023068","-0.01706462"," 6.62991e-08","  4.49275","0.8865981"
"UBP10","-0.0910181","-0.01526683"," 6.83953e-08","  4.47923","0.8561012"
"YIL001W"," 0.0865630"," 0.00625120"," 8.69262e-08","  4.37511","0.8854905"
"YVH1","-0.0952728","-0.02181756"," 9.85812e-08","  4.32046","0.9085902"
"SWC3","-0.0952921","-0.00827956"," 1.27043e-07","  4.21031","0.8623543"
"PAP2"," 0.1033935"," 0.01127295"," 1.39783e-07","  4.16881","0.8723874"
"SIW14","-0.0989868","-0.00913129"," 1.46349e-07","  4.14887","0.8925775"
"PCL8"," 0.0970537"," 0.00741790"," 1.49177e-07","  4.14056","0.9000245"
"PMS1"," 0.0926659"," 0.00492927"," 1.79202e-07","  4.06092","0.9443844"
"RGT2"," 0.0964749"," 0.00635665"," 1.96200e-07","  4.02156","0.9152228"
"AFT1"," 0.0970291"," 0.00809416"," 2.99615e-07","  3.83769","0.9432190"
"STB5"," 0.0903484"," 0.01767467"," 3.08932e-07","  3.82440","0.8692553"
"HEL2","-0.1003539","-0.00684549"," 3.40336e-07","  3.78235","0.7045205"
"IES1","-0.0902147","-0.00709553"," 4.24179e-07","  3.68671","0.9354347"
"CDC40"," 0.0854748"," 0.02293657"," 5.03578e-07","  3.61219","0.9190561"
"PEX5","-0.0932366","-0.00994087"," 5.89294e-07","  3.54393","0.8671699"
"CDH1","-0.0907008","-0.00783647"," 6.03560e-07","  3.53354","0.9156589"
"RPA12","-0.0824476","-0.00984294"," 1.06768e-06","  3.28582","0.9250312"
"LTV1","-0.0771289","-0.01375577"," 1.20055e-06","  3.23488","0.9273840"
"RLF2"," 0.0763301"," 0.00870104"," 1.46514e-06","  3.14838","0.9476316"
"CHD1"," 0.0811099"," 0.00988753"," 1.77357e-06","  3.06541","0.8978826"
