,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-4.47164e-02,-5.04966e-03,2.96590e-02, 0.138736954, 5.38080e-02, 9.25770e-12,-0.036316890,-5.02117e-03,3.68512e-02, 1.39204e-01, 7.47629e-02,5.35163e-02, 0.00000000,8.34775e+00, 0.00000000, 0.0000000,0.90573251,0.09426749
OPI3,-6.57534e-02,-2.18419e-02,2.94963e-03, 0.057369889, 3.69459e-02, 1.54561e-02,-0.054706213,-2.34040e-02,2.15818e-03, 7.73958e-02, 7.80770e-02,1.45589e-01, 0.00000000,0.00000e+00, 0.00000000, 0.0000000,0.78500175,0.21499825
CHO2,-2.86644e-02,-4.83533e-03,3.57003e-01, 0.139782495, 9.32841e-02, 2.43140e-14,-0.014691828,-4.58794e-03,4.03230e-01, 1.74862e-01, 1.26054e-01,4.85048e-03, 0.00000000,1.09284e+01, 0.00000000, 0.0000000,0.85476868,0.14523132
CTK1,-1.07182e-01,-2.61367e-02,9.93367e-09,-0.001326703,-1.16349e-02, 2.94821e-01,-0.100677969,-2.63113e-02,2.58520e-08,-2.26276e-03,-1.85361e-03,9.61737e-01, 5.31714848,0.00000e+00, 4.90176377, 0.0000000,0.74860263,0.25139737
ELP3,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.03312466,0.96687534
NUP133,-1.50381e-01,-2.99228e-02,3.95945e-18, 0.032542011, 2.71727e-04, 9.75260e-01,-0.141744967,-2.93739e-02,1.75489e-16,-6.36851e-04,-3.16046e-04,9.93808e-01,14.71662331,0.00000e+00,13.07000929, 0.0000000,0.91826315,0.08173685
CTF8, 1.06302e-02, 9.51891e-03,4.36145e-02, 0.034396033, 3.40565e-03, 3.07348e-02, 0.044037924, 1.46840e-02,6.60304e-01, 3.77210e-02, 3.57803e-03,2.79600e-02, 0.00000000,0.00000e+00, 0.00000000, 0.0000000,0.06090845,0.93909155
DOA4,-1.51678e-02,-1.07206e-03,7.10667e-01, 0.110134993, 3.60290e-02, 1.40612e-08,-0.006623709,-1.13289e-03,7.05912e-01, 1.13927e-01, 4.47191e-02,7.27266e-02, 0.00000000,5.16624e+00, 0.00000000, 0.0000000,0.85161073,0.14838927
BRE2, 1.65759e-01, 6.36906e-02,5.21156e-20, 0.033149108, 5.20543e-03, 3.44126e-02, 0.211561549, 9.90825e-02,3.85272e-02, 3.46872e-02, 5.09246e-03,4.30985e-02,16.59729020,0.00000e+00, 0.00000000, 0.0000000,0.05543580,0.94456420
SWD1, 1.73879e-03, 3.60494e-03,5.16430e-01, 0.014973980, 2.32232e-03, 3.58894e-01, 0.035297302, 1.43796e-02,7.09271e-01, 1.21887e-02, 1.84571e-03,4.78510e-01, 0.00000000,0.00000e+00, 0.00000000, 0.0000000,0.09255633,0.90744367
SPP1, 8.79793e-03, 7.97295e-04,6.96840e-01,-0.104487247,-2.65553e-02, 9.94995e-09, 0.006081646, 7.44359e-04,7.22776e-01,-1.78259e-01,-5.06140e-02,8.91184e-02, 0.00000000,5.31644e+00, 0.00000000, 0.0000000,0.93702560,0.06297440
SET1,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.04649187,0.95350813
HFI1, 1.40237e-01, 6.61977e-02,1.18551e-07,-0.050959912,-1.07789e-02, 1.98488e-02, 0.077491742, 6.51914e-02,1.80699e-01,-3.50841e-02,-9.68765e-03,4.73050e-02, 4.24035265,0.00000e+00, 0.00000000, 0.0000000,0.16275614,0.83724386
SWD3, 6.41170e-02, 1.06828e-02,1.15500e-04, 0.113174481, 4.06432e-02, 1.20198e-08, 0.065667086, 1.09430e-02,1.27823e-04, 1.14065e-01, 6.27386e-02,2.60931e-01, 1.25167813,5.23436e+00, 1.20765035, 0.0000000,0.92690051,0.07309949
SDC1, 2.10475e-01, 4.76901e-02,6.53090e-14,-0.043917532,-5.73632e-03, 2.26279e-02, 0.220932761, 1.07181e-01,4.74730e-02,-4.35119e-02,-6.56527e-03,1.09781e-02,10.49928491,0.00000e+00, 0.00000000, 0.0000000,0.05985661,0.94014339
BIM1,-3.02695e-04, 9.85888e-05,9.57113e-01,-0.099470538,-8.05147e-03, 1.22688e-01,-0.005192607,-5.64097e-04,7.64155e-01, 5.74252e-02, 1.88018e-02,4.76428e-01, 0.00000000,0.00000e+00, 0.00000000, 0.0000000,0.92292377,0.07707623
