,int,beta,pval,sigma,cor,adj_pval
VPS25,-0.012560838375563,0.00340556052682149,0.358334512321546,0.21915697157995,0.0155374907907912,0
OPI3,0.00470626824216961,-0.00603783682199689,0.562636720528609,0.616506666043105,-0.00979315815281798,0
CHO2,0.0240314857075511,0.0139848825727295,0.0661937872280273,0.449895374807439,0.0310697369265159,0
CTK1,-0.0601282257703517,-0.0219053747778727,0.00215489537436019,0.421787745679856,-0.0518646950231551,0
ELP3,-0.000674986146408631,-0.00276739582266643,0.440053854971749,0.211870480613519,-0.0130606197413189,0
NUP133,-0.00573822145533202,-0.0260606399674051,7.03361484035834e-08,0.285207200789131,-0.0909953276915138,4.30834424151975
CTF8,-0.00168606261954677,0.0036186044735374,0.0877505624052541,0.125259785512436,0.0288767494474056,0
DOA4,0.00708616827902697,0.00613307492666878,0.126766981469305,0.23739203301739,0.0258266003551826,0
BRE2,-0.00898141710930223,0.00971472844633053,0.00216430766188919,0.187136550402214,0.0518427034677071,0
SWD1,-0.00900610642751478,0.00240364681002483,0.431983424469572,0.180813476595318,0.0132923413681488,0
SPP1,-0.00222611395766059,-0.001170610936593,0.638611050720541,0.14734371944124,-0.00794451231944585,0
SET1,-0.0121788947598705,0.00442715213451939,0.154124826389537,0.183613609914728,0.0241042362304726,0
HFI1,-0.0270712269685044,0.0107407445355605,0.140007820726634,0.430172801940884,0.0249606624075094,0
SWD3,-0.00858214308926974,0.0135628360357331,7.76170606010848e-05,0.202665672533228,0.0667728597455122,1.26556563249939
SDC1,-0.0066239180361607,-0.0013242543369841,0.662934870670081,0.179599982886455,-0.00737315404894847,0
BIM1,0.00024600193743151,-0.00329942925726895,0.214153548611577,0.15699402579752,-0.0210116329567805,0
BUD13,-0.00599409506851129,-0.000291675439914909,0.931238116782655,0.199823149380003,-0.00145966636044979,0
BRR1,-0.00814273182381241,-3.01569337720482e-05,0.990185077315354,0.144917865108433,-0.000208096724972604,0
BUD22,-0.0124370604769288,-0.0314598019213264,1.47566488001984e-17,0.21691236116867,-0.1435328666035,13.9865350828126
BUD20,0.00555498483712382,-0.002446103367774,0.382878663667617,0.165701409629981,-0.0147605074048287,0
IBA57,-0.00208484653186499,0.0209135318066838,0.000273963249468743,0.339434542222229,0.0614962429588287,0.717830515533896
CAR2,-0.00788964380238882,0.010497380847888,1.72681742974122e-07,0.118496980687471,0.0882421732355982,3.91827640066908
SRV2,0.02186088305612,-0.0389606778134242,5.93740923927581e-07,0.460427575145592,-0.0843171428838567,3.38192584030484
BUD21,-0.00402539211618187,-0.00514191414346326,0.0807502565756981,0.174016907472641,-0.0295354685361291,0
CCE1,0.00898884431137463,0.00204779957788016,0.579437614373907,0.218423273748181,0.009374960599792,0
CDC40,-0.0166203215597673,0.0300527313374318,7.19912499749457e-08,0.32915295751075,0.0909250377835797,4.29824311002479
SSN3,0.0272990790752296,-0.0517000960309585,3.48306036397585e-13,0.418551141709742,-0.122589902227216,9.61356182309082
CGR1,-0.00237080382157106,-0.00458176828591675,0.0837273359373798,0.156575188341418,-0.029249895430315,0
CHL1,-0.00162092903440755,-0.00493747594120915,0.00292781472238854,0.0980401142361648,-0.0502980476922524,0
CGI121,-0.0079035841183843,-0.00407079026719763,0.170251233918252,0.175448485468734,-0.023195953843613,0
CIN8,-5.06462548004094e-05,0.000517701048168393,0.842859834546154,0.154378272140687,0.00335343912108884,0
CKB1,-0.0195546976691413,-0.0100420301832703,0.00107716824666401,0.181423356294041,-0.0552667660513331,0.12323928168887
CKA2,0.00357256175772376,-0.00303104499182907,0.442120467528288,0.233107547662933,-0.0130016759304597,0
CLB5,0.00517093502324222,0.00425080175823218,0.0943238181966559,0.150167475993441,0.0282957390713323,0
CLB2,-0.00370743133597598,0.00418855441867033,0.0447434607169928,0.123330798151801,0.0339423809805414,0
CKB2,-0.0186481014901058,-0.00864024268999023,0.017192787790008,0.214288297684843,-0.0402879106262051,0
CLA4,-0.00478709670179056,-0.00222703133721208,0.276210185979443,0.120894084178026,-0.0184182177445743,0
CLB1,-0.014232494240722,0.00973765071236237,1.92691113392621e-05,0.134532232577552,0.0721926791550672,1.87066113810712
CLN3,-0.00421448509234258,-0.00762696360444616,0.00110450756127058,0.138092016536168,-0.0551469769600235,0.112354130930659
CLN2,0.000549060818611036,-0.00422020121833364,0.00104889124322276,0.0760686625170246,-0.0553936581850585,0.134792364580157
CSM1,0.0148429632193223,0.00596574217917051,0.0348891910259105,0.167112878931039,0.0356761516321507,0
CTF18,0.00371303495528282,-0.00107557204745339,0.731540910083856,0.185326449058198,-0.00580356413994747,0
CTF19,0.00111622196127367,0.0011136923960552,0.464939715518371,0.090090707575269,0.012360956423144,0
CSM3,0.00398959411291192,-0.000814498502085668,0.639624005711668,0.102830466646885,-0.00792054125078279,0
CTF4,-0.00203608593012583,0.000649065391961601,0.87158865734372,0.237371700252068,0.00273437383142844,0
SSN8,0.0211144473306727,-0.0424079238125487,9.7593969337743e-13,0.350132145606769,-0.120241010186138,9.16609984228701
DCC1,0.010749153677954,-0.000981934913791245,0.724799920658075,0.164879111447335,-0.00595537841091206,0
DBR1,0.000695275030013723,-0.0139868721387027,4.30070017178339e-10,0.132077380850422,-0.105310212253274,6.5219836579799
