,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.905732508610511,-0.0136250041197669,-0.00504965517178124,0.133126863843654,0.0942674913894888,0.00466735378315568,0.0538080390680584,0.578241530394107,Y
OPI3,0.785001748317569,-0.0708413487864544,-0.0218418857018497,0.417769581728415,0.214998251682431,0.280714084896325,0.0369459495688743,1.01485536462841,Y
CHO2,0.854768682803976,-0.0333508134927823,-0.00483533440466704,0.299844844176005,0.145231317196024,0.363403867251122,0.0932840820487182,0.848389455721981,Y
CTK1,0.74860263087508,-0.0540091569881154,-0.0261367034878522,0.261124816283853,0.25139736912492,-0.0784245931219064,-0.0116348595011813,0.709789502408281,Y
ELP3,0.0331246625091812,-0.116592743779097,-0.12042785957966,0.620510541887652,0.966875337490819,0.00302625752853855,0.00334752731548681,0.178983223969179,Y
NUP133,0.918263148579168,-0.0390485693770286,-0.0299228265584787,0.198180264269841,0.0817368514208315,0.368318358674868,0.000271726640759353,0.632439587411063,Y
CTF8,0.0609084540858909,0.032011515688924,0.00951891190085624,0.358620292428289,0.939091545914109,-0.0037958738582197,0.00340564672855157,0.0910187945925174,Y
DOA4,0.851610732446679,-0.0202048859763292,-0.00107206349330874,0.16514266642568,0.148389267553321,0.164202036591546,0.0360290330333395,0.439097622036804,Y
BRE2,0.0554358045645087,-0.155016944992025,0.0636906255883666,0.506150626312619,0.944564195435491,-0.000602172902452167,0.00520543148037592,0.143095015907059,Y
SWD1,0.0925563256643215,-0.0804143412344461,0.00360494171974429,0.365234138392653,0.907443674335679,-0.00172387396820841,0.00232231830046834,0.147779315633602,Y
SPP1,0.937025599516997,0.00893736017330329,0.000797295461524546,0.119459804813474,0.0629744004830027,-0.169272682109122,-0.0265553124442302,0.319221571933768,Y
SET1,0.0464918669533531,0.0621769354019067,0.025011966296242,0.452114215756988,0.953508133046647,-0.0158113374088111,0.00306180044733143,0.158329795109164,Y
HFI1,0.162756144073529,-0.191224708047713,0.0661976913265437,0.859639343926096,0.837243855926471,0.00682171681060605,-0.0107788773403699,0.263123007191773,Y
SWD3,0.92690050594701,-0.0096686228796787,0.010682785894953,0.161668768608475,0.0730994940529903,0.00400591920628224,0.0406431922220364,0.478596524269832,Y
SDC1,0.0598566106943901,-0.125175078334927,0.0476900748463289,0.422894816529536,0.94014338930561,0.00107140751738309,-0.00573631547873956,0.147354603715591,Y
BIM1,0.92292376676519,-0.0146360681333573,9.85887639003922e-05,0.105473988073512,0.0770762332348099,0.177136614437713,-0.00805146905618295,0.390013842156899,Y
BUD13,0.906755808383623,0.00618523577448294,0.00697426778148231,0.153807142647311,0.0932441916163766,-0.121179822541066,-0.0490040508802142,0.423332818298033,Y
BRR1,0.120518372389534,-0.0742043110691267,-0.00145697305718062,0.329204361152231,0.879481627610466,0.000955692781346619,0.00146257549703809,0.0912979460158692,Y
BUD22,0.0509036345476339,-0.130197592868123,-0.133848751458917,0.559727987519857,0.949096365452366,-0.00617690278650668,-0.0241618180808362,0.176616178526839,Y
BUD20,0.0840434673297351,0.150175297247493,0.0277374637090854,0.40309798277994,0.915956532670265,-0.00790420195227474,-0.00796093203308183,0.112924236099107,Y
IBA57,0.128571366641987,0.143018551311769,0.100414299662479,0.712741862796935,0.871428633358013,-0.0237322343626873,0.00382176810084268,0.228172589164241,Y
