,global,local
VPS25,-986.90673510695,899.837032080469
OPI3,-4649.72565634197,-3957.79525472603
CHO2,-3348.83030705545,-2373.86130960153
CTK1,-3360.39011300897,-2923.46198452919
ELP3,307.903995810053,998.100091315831
NUP133,-1469.49599333153,-607.77315785038
CTF8,2690.3311178683,3377.70655725844
DOA4,-643.407692141663,20.2897215192351
BRE2,317.252150205578,1071.51304301915
SWD1,276.791770725713,932.021636678553
SPP1,2020.4257323092,2520.29411448367
SET1,392.019123846111,852.330912075176
HFI1,-3107.55203758291,-2301.87173672706
SWD3,-265.059917724137,448.835634627416
SDC1,773.180079568461,1274.64129099259
BIM1,1475.25716976244,2510.85176239658
BUD13,828.301028448313,1265.75204516028
BRR1,2449.67729513846,3285.90669296838
BUD22,219.010707333241,709.851980750696
BUD20,1521.46721706313,2467.06774708902
IBA57,-2041.53989504009,-931.120851386476
CAR2,1860.74867915797,3658.80395926405
SRV2,-3715.32456537167,-2580.28262519676
BUD21,1241.26671128825,2197.54203038141
CCE1,641.562714780593,1432.97857281273
CDC40,-1414.89375131902,-834.492706563449
SSN3,-3572.27980445235,-1930.32246485533
CGR1,1642.74636743928,2872.33871369699
CHL1,3802.77270839844,4592.24586960336
CGI121,758.28854655797,1311.39990839551
CIN8,1282.25796693505,2239.15359761553
CKB1,592.013951073479,2113.04106302139
CKA2,-260.281460676241,1240.80349062494
CLB5,2028.36058940115,2673.15028261424
CLB2,2932.02777374112,3894.63560814704
CKB2,-31.0442436201531,1284.24704709875
CLA4,3066.65569625694,4036.48048050888
CLB1,2193.78496771789,3647.16092311946
CLN3,2042.88710711978,2563.02221751908
CLN2,4123.37055267239,5549.98002635427
CSM1,623.722160787403,2862.6577471611
CTF18,773.046953763482,1675.33637283443
CTF19,3581.59417075962,4794.90493032012
CSM3,3793.08545158449,4468.43284819302
CTF4,-32.3690451889677,684.273828141349
SSN8,-2848.02489089262,-986.637500428292
DCC1,1241.56114699767,2026.94434956778
DBR1,2160.13926679253,2803.45133336846
DCS1,2036.83741008789,3361.26788376655
DBP3,639.947738381185,1547.45949614398
DDR48,1287.68973511151,4046.79310212744
DHH1,-1040.57293236273,-535.667836984787
DIG1,-1238.77089747223,-95.2935836630381
DEG1,318.514000045874,1231.22633284703
DIG2,5244.41244476157,5878.34236968152
DSS1,3613.17229241063,4515.26378395627
DPB3,2643.90304989472,3334.20486213807
DST1,2296.91237294241,3147.76688359944
DUN1,1336.66855754363,2748.14857742032
EBS1,2925.8093401515,3575.0184409115
EDC1,1904.55300831852,3283.01502506813
EFG1,533.080042249814,1482.6704909981
ELG1,3299.27941869246,4447.51587124509
ELF1,90.1979115456821,541.490235254074
ELM1,776.14652147205,1673.26120506728
ERF2,2882.7279848579,4329.02525371394
ERG2,-433.166051466629,1388.285582771
EST1,3592.15131873791,4337.56498457686
EXO1,2078.11803407722,4056.96735639201
FAB1,1279.46909659933,2683.862792524
FKS1,-440.48769847442,775.366214377114
GEP3,-1827.06619125688,-825.367150136333
FIN1,3211.07375740203,4880.73079458558
FRA2,3124.68660097067,6364.07501644896
GAL80,3023.67898437699,5491.9768974384
FUS3,234.504427567453,1542.06305051643
GCR2,-22.2470987671778,718.589229132944
GPA2,635.981622335007,2224.77464043178
GPR1,-743.585370680904,617.154016444105
GPG1,2615.50158879423,3201.13266251012
GPH1,1821.11408384935,3118.81221436146
GIS4,1818.0661435516,3439.25645459635
GTR1,823.714391956141,2699.64282103922
GSY2,2952.04570410305,3915.23085087881
GSY1,3820.73473064734,4568.49430805765
HAP4,2323.97979926861,3036.40051547721
HCR1,539.104598621854,1249.40031695609
HFM1,1050.46181686987,2146.40336523012
HHT1,4269.70530335215,4908.86478077263
HNT3,2955.45691942012,3942.78004285783
HOG1,2055.49647697513,3804.25519069051
HHF1,3802.38118495927,4289.63960428801
HOS3,2977.21671958545,4291.70018743246
HOM2,151.788675425653,1892.31421708008
HUR1,-671.971939868781,364.024040146827
KKQ8,3103.73165335762,4261.71842006131
INP52,819.463983681984,1883.07121515497
IRC3,-569.066155429818,329.209424784306
IRE1,1190.52269170143,1652.0019397733
IRA2,-1998.00300266941,-1677.79422946453
IPK1,-2003.84029054377,-629.904283524009
IRA1,-427.627342307887,751.817081312896
JJJ1,1606.849023538,2439.44643455346
IST3,1186.59090294304,1767.81513610533
IRS4,2268.77288581618,3700.78851998702
JNM1,2231.25285152531,3182.19302248137
KAR3,-498.014874701609,1228.22107328282
RRD1,2794.58174882864,3537.72509197271
RRP8,2146.71852823989,2934.41758882387
RSA1,-1256.03623260443,-564.709744277689
