,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-1.26348e-01,-7.88186e-02,1.93442e-09,-3.28412e-02,-4.22133e-03,2.55260e-02,-9.86633e-02,-1.07986e-01,4.75015e-02,-0.035572196,-4.56334e-03,2.14859e-02, 5.9079479, 0.0000000,0.0000000,0.0000000,0.1245659,0.8754341
OPI3,-4.94139e-02,-1.70579e-02,5.45587e-04,-1.71225e-01,-1.37778e-01,5.16873e-17,-4.65759e-02,-1.47910e-02,4.22123e-03,-0.132671418,-1.83779e-01,1.52590e-04, 0.4576353,13.4811157,0.0000000,1.0109719,0.7205584,0.2794416
CHO2,-1.50261e-01,-8.89239e-02,9.36091e-10,-5.74012e-02,-1.35171e-02,4.49819e-04,-5.18454e-02,-6.26697e-02,2.34770e-01,-0.055666379,-1.44013e-02,3.90489e-04, 6.2231809, 0.5414613,0.0000000,0.6028907,0.1861791,0.8138209
CTK1,-6.85315e-02,-1.78170e-02,2.00621e-05,-7.05054e-02,-4.82864e-02,7.30775e-05,-6.63991e-02,-1.76447e-02,4.08252e-05,-0.063501224,-6.98114e-02,7.82380e-02, 1.8921219, 1.3307155,1.5835711,0.0000000,0.7084226,0.2915774
ELP3,-6.72515e-02,-3.27354e-02,2.31384e-03,-5.04218e-03,-9.02907e-04,7.10352e-01,-8.87597e-02,-9.99313e-02,3.35025e-01,-0.004578773,-7.65439e-04,7.59780e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.0532010,0.9467990
NUP133,-4.02739e-02,-7.82350e-03,8.50037e-03,-1.84874e-01,-8.14982e-02,1.05216e-15,-3.74866e-02,-7.55661e-03,1.46548e-02,-0.115270525,-9.52830e-02,3.28292e-02, 0.0000000,12.1724171,0.0000000,0.0000000,0.8705246,0.1294754
CTF8, 3.10099e-02, 7.70449e-03,9.55339e-02,-5.02547e-02,-4.05851e-03,1.24820e-03, 7.50194e-02, 3.26304e-02,1.86998e-01,-0.049717574,-4.26984e-03,1.15305e-03, 0.0000000, 0.0982155,0.0000000,0.1326502,0.1290199,0.8709801
DOA4,-2.34053e-01,-7.94639e-02,1.27478e-24,-2.58324e-02,-5.55298e-03,2.42200e-02,-1.10228e-01,-7.45897e-02,1.93394e-02,-0.037313757,-6.18414e-03,1.64551e-02,21.0890646, 0.0000000,0.0000000,0.0000000,0.1774960,0.8225040
BRE2, 6.13865e-03, 1.10840e-04,9.58762e-01,-6.62621e-02,-2.70392e-02,5.74001e-04,-1.50249e-03,-2.20247e-04,9.21456e-01,-0.060408144,-3.90715e-02,3.20011e-01, 0.0000000, 0.4355866,0.0000000,0.0000000,0.8904972,0.1095028
SWD1,-2.96614e-02,-4.68268e-03,5.40275e-01, 1.47465e-02, 2.07207e-03,3.44200e-01,-2.76112e-02,-1.86993e-02,6.32699e-01, 0.021387234, 3.16824e-03,1.61831e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.1216951,0.8783049
SPP1, 1.29095e-01, 2.71714e-02,1.25701e-07, 1.56644e-02, 1.79195e-03,2.85989e-01, 6.97302e-02, 3.02896e-02,3.40371e-01, 0.020705055, 2.39068e-03,1.70038e-01, 4.0951615, 0.0000000,0.0000000,0.0000000,0.0895874,0.9104126
SET1,-8.12060e-03,-1.83046e-03,4.16618e-01,-1.06155e-01,-2.36501e-02,2.07508e-04,-1.51870e-02,-2.30092e-03,3.21912e-01, 0.026502154, 1.49673e-02,6.33537e-01, 0.0000000, 0.8774646,0.0000000,0.0000000,0.8575930,0.1424070
HFI1,-7.07237e-03,-1.28585e-02,3.57413e-01,-2.71250e-02,-5.71508e-03,1.21757e-01,-3.05705e-02,-3.71811e-02,4.65176e-01,-0.018482986,-4.56733e-03,2.41995e-01, 0.0000000, 0.0000000,0.0000000,0.0000000,0.2094737,0.7905263
