,int,beta,pval,sigma,cor,adj_pval
VPS25,0.014717868890438,-0.0121165525394338,0.00617862784081845,0.29933218889713,-0.0404454935820509,0
OPI3,0.155187175993263,-0.0534068264636064,5.96642787083762e-08,0.665771819820049,-0.0799610551250698,4.3798084295225
CHO2,0.115653160339922,-0.0313978393385568,2.28482046093803e-05,0.501213768206362,-0.0625210559050483,1.79667074496326
CTK1,0.0322781235930772,-0.0269628154545028,0.000284922968741955,0.502479863521235,-0.053582408889597,0.700795363446548
ELP3,0.00351060177041249,-0.00233752357162793,0.48329531789693,0.22564604295833,-0.010358693316868,0
NUP133,0.0515568338410881,-0.0194678886653804,7.56201632687077e-05,0.332578791023981,-0.0584361404342503,1.27688521355758
CTF8,0.00853077225988631,-0.00330297835851786,0.095744589681036,0.134157441864789,-0.0246127066314516,0
DOA4,0.044043021400293,-0.0198200985292631,1.4102092187431e-06,0.277712637774455,-0.0711880215498003,3.00623927485772
BRE2,0.00169760351407243,-0.00327397947948742,0.325198773936588,0.225186151262977,-0.0145374548362544,0
SWD1,0.00197838783244913,0.000680612582885106,0.83934118821871,0.2271834150549,0.00299585921976797,0
SPP1,-0.0156970411839001,0.00447806875146265,0.0510345922656398,0.155278108343546,0.0288270367234329,0
SET1,0.0162303215474948,-0.0063339513468118,0.0530674166584508,0.221541483843573,-0.0285786847186816,0
HFI1,-0.0224514271164692,-0.00511042030676043,0.46705702217567,0.475503785458263,-0.0107467602698374,0
SWD3,0.00994695583181146,-0.00469460343202198,0.214115281582359,0.255702401866699,-0.0183565440839238,0
SDC1,-0.00247688079664884,0.00331873557903111,0.270634060953442,0.203857917399277,0.0162774933221955,0
BIM1,0.0223433893826339,-0.00761252354560175,0.00323918021838793,0.17489717630233,-0.0434845377228627,0
BUD13,-0.0123203723663532,0.000538227590664418,0.856500797907843,0.201420221396901,0.00267215310035668,0
BRR1,-0.0088638623640495,-0.000413599632392499,0.843081278558752,0.141391921154305,-0.00292518737622198,0
BUD22,-0.00665587755818137,-0.00126977273980598,0.708784121996015,0.230066439137768,-0.00551907268906717,0
BUD20,0.0218629597362339,-0.0025538937673811,0.318218275655575,0.173142180793872,-0.0147486647973597,0
IBA57,0.061133378245177,-0.0235373997220294,2.40977781986288e-05,0.376803071749639,-0.0623445345399306,1.77354582153656
CAR2,0.00263257826907865,-0.00290556609659319,0.221400935264773,0.160784751643341,-0.0180682045567729,0
SRV2,0.130281851518923,-0.0474148469791531,3.66938331773426e-09,0.542950603028433,-0.0869970063279558,5.59092974207555
BUD21,-0.00519056811942099,0.00495739870294357,0.0684074304984905,0.184060693071389,0.0269237364921624,0
CCE1,0.0406294453632207,-0.0137087039596509,1.00020654569166e-05,0.209798624590985,-0.0652031537581265,2.15543313186264
CDC40,-0.0132144992735948,0.00201663634242171,0.677956315231474,0.328639075753535,0.006136209977961,0
SSN3,0.102637480437915,-0.0276717354840309,0.00037675882980358,0.526262163068508,-0.0525091156778233,0.579459384926482
CGR1,0.016799169590715,-0.00186575127437039,0.454002768276858,0.168619467713229,-0.011064185512414,0
CHL1,0.00703168217508897,-0.0019822070543399,0.202480884872902,0.105238467307902,-0.0188320448126459,0
CGI121,-0.00423120069120233,0.00458906052959882,0.12895505609747,0.204521534896195,0.0224323846960119,0
CIN8,0.0200973755990399,-0.00717825257424119,0.00777119421860799,0.182421402252126,-0.0393194082120153,0
CKB1,-0.0205194037603756,0.00409315842325405,0.191567927916573,0.212079652895792,0.0192965060161384,0
CKA2,0.0246474041965041,-0.00825374549324766,0.0288101750924952,0.255435875013769,-0.0322955420149591,0
CLB5,0.0147098430442571,-0.00415925742640326,0.0694520538987486,0.155009438905579,-0.0268226308690537,0
CLB2,0.00373823096575228,-0.00386230016767302,0.0400450539636909,0.127264155195595,-0.030334721646042,0
CKB2,-0.0223363764625253,0.00210199382921679,0.55825571479536,0.242970844034558,0.00865089464381197,0
CLA4,0.00258601821727543,-0.000689965602424971,0.705562732813997,0.123579290219236,-0.00558309444630822,0
CLB1,-0.0162835210687473,0.00372607829057924,0.0917529927047729,0.149512935904852,0.0249137087263023,0
CLN3,0.00886363664838387,-0.00658757659723789,0.00392981888601263,0.15451878379369,-0.042594161860245,0
CLN2,-0.00224167904942322,0.00238213588394426,0.100471670249816,0.0981267408515265,0.024268963196878,0
CSM1,0.0420845974507593,-0.0125167409141667,5.86622708698016e-05,0.210617092489769,-0.059324226115297,1.38716395335041
CTF18,0.0295643854004496,-0.0115516550688547,0.000127382272001975,0.203863840390025,-0.0565728320490787,1.05041383351908
CTF19,0.010647511581821,-0.00318715592018827,0.0508828729164038,0.110443057378734,-0.0288459023664108,0
CSM3,-0.00190346251508928,0.00151204638022303,0.331949193180796,0.105461197666363,0.0143359930219045,0
CTF4,0.0350503890859353,-0.00849105416691215,0.0181024676192756,0.243041104770891,-0.0349153981095754,0
SSN8,0.078318578842002,-0.0183107286891403,0.00583995861338225,0.449319520213464,-0.0407183354651726,0
DCC1,0.0315998559215385,-0.00743279424985525,0.00629867869276479,0.184048865856299,-0.0403520032539695,0
DBR1,0.0152438486978278,-0.0053631590331023,0.0159993335157861,0.150614852582881,-0.0355858803704514,0
DCS1,0.00372348863974373,-0.00720100185390542,0.00164483108181332,0.154722932464709,-0.0464909459635721,0
DBP3,0.0241749398854823,-0.00341900220569454,0.270304699472686,0.209872583461511,-0.0162886859835722,0
DDR48,-0.00855760978549106,0.000507025107466594,0.850632517387243,0.182205277485284,0.0027827028470442,0
DHH1,0.0247399847775852,-0.00466291982112909,0.297485677819721,0.302858697568304,-0.0153945298237394,0
DIG1,-0.039506761030911,0.00921597091060358,0.04864836200778,0.316246549074178,0.0291293616999235,0
DEG1,0.0102796816572492,-0.00504922848008467,0.129115216902627,0.225124145155161,-0.0224230011567193,0
DIG2,0.0037960797849138,-0.000604600351720835,0.594363498104422,0.0768301994136838,-0.00786906238653735,0
DSS1,-0.000128502737296332,-0.000429791007198611,0.790880883574939,0.109684525288915,-0.00391839875844642,0
