,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.124565948056981,0.0669131964598665,-0.0788186042304346,0.769818979293168,0.875434051943019,0.00618375457155564,-0.00422132550097467,0.129969181322994,Y
OPI3,0.720558403001523,0.0153260844935402,-0.0170579246951962,0.340176285618098,0.279441596998477,0.510519129046022,-0.137778225854767,1.04816619764917,Y
CHO2,0.186179104951207,0.523057750159064,-0.0889238932534619,0.912004016161192,0.813820895048793,0.0213981969916048,-0.0135171132917067,0.264365931182872,Y
CTK1,0.708422599836451,-0.0222930235722586,-0.017816988358522,0.285422126919754,0.291577400163549,0.164462330582476,-0.048286375569501,0.801500644994745,Y
ELP3,0.0532010460616425,-0.0237269156163127,-0.032735402260735,0.686167218196024,0.946798953938358,0.0049472145836043,-0.000902906603708245,0.16499131625163,Y
NUP133,0.87052458228543,-0.00112797739166765,-0.00782350096680197,0.202260130329326,0.12947541771457,0.401746316586921,-0.0814982098617974,0.65648451084436,Y
CTF8,0.129019853512312,0.0699678525083194,0.00770448616611781,0.292283056706783,0.870980146487688,-0.000459482296957499,-0.00405851183453596,0.0857980760054767,Y
DOA4,0.177496026582823,0.263184573244684,-0.0794639090278463,0.4877995715096,0.822503973417177,-0.00417636439200139,-0.00555297681251629,0.168868336337963,Y
BRE2,0.890497211668399,-0.00431010044623332,0.000110839568074224,0.144785995648937,0.109502788331601,0.0490385730633294,-0.0270391574200572,0.537749550172154,Y
SWD1,0.121695053781164,0.0805869836626214,-0.00468267798272907,0.507526372941503,0.878304946218836,-0.00896470558174409,0.00207207182419464,0.148569669175843,Y
SPP1,0.0895874360572551,-0.13367757445683,0.02717144039711,0.349180780264019,0.910412563942745,-0.0040044499767337,0.00179195071305018,0.113569066130132,Y
SET1,0.857593026368326,-0.0117737862972451,-0.00183045751650153,0.153550542198505,0.142406973631674,0.183569784838304,-0.0236501391197744,0.411257056545969,Y
HFI1,0.209473715345543,-0.213096914359335,-0.0128585167914,0.889131401063722,0.790526284654457,0.0279934882515168,-0.00571507855853185,0.253601465598135,Y
SWD3,0.863578340583048,-0.0139248734239985,-0.000147124142612753,0.160371687595552,0.136421659416952,0.159452711843758,-0.0245557948872044,0.538090628551682,Y
SDC1,0.125263616976502,0.0251648599884382,0.00748036920049137,0.439477653907248,0.874736383023498,-0.00639270186853008,0.0030828642163495,0.140413533792471,Y
BIM1,0.151791294471737,0.16670444742138,-0.0206632059576913,0.354047155448875,0.848208705528263,-0.00359681576083195,-0.00449430032809769,0.0957101505012249,Y
BUD13,0.125596350567542,-0.117326506615315,-0.00203729416890565,0.40937573423688,0.874403649432458,0.0027521111584007,0.000370648733931524,0.143198984043228,Y
