"","cor","beta","pval_beta","adjp_beta","ratio"
"MRC1","-0.2431433","-0.02029979","1.89627e-75","71.92901","0.878606"
"CLB5","-0.1599489","-0.01588902","7.74951e-34","30.31763","0.895212"
"ASF1","-0.1430108","-0.02250531","2.26076e-27","23.85265","0.856802"
"CKB1","-0.1355103","-0.01375457","3.13901e-24","20.71012","0.909104"
"CKB2","-0.0988688","-0.01226884","2.95499e-13"," 9.73635","0.909984"
"ELG1","-0.0919924","-0.00635713","3.60220e-13"," 9.65034","0.916500"
"RTR1"," 0.1021218"," 0.01002912","8.48337e-13"," 9.27834","0.895811"
"DUN1","-0.0915714","-0.00810234","3.36045e-12"," 8.68051","0.892086"
"RTT109","-0.0928021","-0.01475722","2.78433e-11"," 7.76219","0.785805"
"CTF8","-0.0849450","-0.00708126","1.14363e-10"," 7.14862","0.896921"
"CTF18","-0.0866951","-0.00914766","1.58303e-10"," 7.00742","0.837309"
"DCC1","-0.0852038","-0.00849246","9.64293e-10"," 6.22270","0.850243"
"HHT1","-0.0817728","-0.00502238","1.03219e-09"," 6.19315","0.915067"
"HOS4","-0.0736924","-0.00559971","9.20907e-09"," 5.24269","0.917952"
"SWI6","-0.0687483","-0.01218793","1.95447e-08"," 4.91588","0.800603"
"NPT1","-0.0706320","-0.00517311","5.04327e-08"," 4.50420","0.923791"
"RNR4","-0.0689500","-0.01249610","1.20419e-07"," 4.12621","0.853154"
