,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-4.85506e-03,-5.84417e-04,7.26732e-01,-5.43206e-02,-3.17433e-02,1.66008e-03,-1.05379e-03,-1.38372e-04,9.36724e-01,-5.12265e-02,-4.77602e-02,2.89773e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8990256,0.1009744
OPI3, 2.37066e-02, 3.91505e-03,3.96356e-01,-8.96987e-02,-7.26313e-02,2.36195e-07, 1.42841e-02, 4.91538e-03,3.04670e-01,-8.28899e-02,-1.11894e-01,1.09683e-02, 0.0000000, 3.8336382, 0.000000, 0.0000000,0.7452931,0.2547069
CHO2,-7.79635e-02,-4.44150e-02,2.44284e-04, 4.90399e-03,-6.90392e-04,8.45948e-01,-2.91977e-02,-3.15253e-02,4.95580e-01,-4.78560e-03,-1.33047e-03,7.21270e-01, 0.8190133, 0.0000000, 0.000000, 0.0000000,0.1527620,0.8472380
CTK1,-3.76120e-02,-1.94369e-02,6.07276e-02, 9.68227e-03, 1.61467e-03,6.44135e-01,-1.86247e-02,-1.94872e-02,5.60529e-01, 4.27560e-03, 1.10864e-03,7.59527e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.2758142,0.7241858
ELP3,-6.55021e-02,-3.02285e-02,7.64104e-05, 2.87233e-03, 4.44741e-05,9.82655e-01,-6.73708e-02,-5.68825e-02,3.59590e-01,-2.10593e-03,-3.43191e-04,8.71306e-01, 1.3237559, 0.0000000, 0.000000, 0.0000000,0.0663619,0.9336381
NUP133,-1.44227e-01,-6.41310e-02,1.69824e-15, 9.95059e-03, 1.06676e-03,6.70491e-01,-9.69347e-02,-6.58644e-02,4.50424e-02, 2.14409e-03, 4.21428e-04,8.71667e-01,11.9769092, 0.0000000, 0.000000, 0.0000000,0.1206309,0.8793691
CTF8,-1.74946e-02,-2.19627e-03,6.02216e-01,-8.49450e-02,-7.08126e-03,1.14363e-10, 3.65290e-02, 1.58387e-02,5.05211e-01,-8.13608e-02,-7.10575e-03,6.00848e-10, 0.0000000, 7.1486225, 0.000000, 6.4281440,0.1030787,0.8969213
DOA4, 2.59534e-02, 3.00647e-03,1.45948e-01,-7.52649e-02,-2.05059e-02,1.32568e-03, 2.36000e-02, 3.81813e-03,7.90969e-02,-3.02663e-02,-1.67039e-02,4.70800e-01, 0.0000000, 0.0844705, 0.000000, 0.0000000,0.8341678,0.1658322
BRE2,-1.20013e-01,-4.45933e-02,3.23051e-11, 1.59311e-03,-3.23520e-04,8.57655e-01,-9.66815e-02,-6.70284e-02,8.42089e-02,-6.92648e-03,-9.83262e-04,5.98329e-01, 7.6976368, 0.0000000, 0.000000, 0.0000000,0.0979508,0.9020492
SWD1,-7.41956e-02,-2.32519e-02,3.32854e-04,-1.51943e-02,-2.41423e-03,2.00442e-01,-7.78515e-02,-5.30829e-02,1.60158e-01,-9.39231e-03,-1.39543e-03,4.75274e-01, 0.6846546, 0.0000000, 0.000000, 0.0000000,0.1056497,0.8943503
