,int,beta,pval,sigma,cor,adj_pval
VPS25,0.00487360042873373,-0.0039087039112526,0.276985360064965,0.28090582573727,-0.0139132948192748,0
OPI3,0.0942030857281083,-0.0170232606329257,0.0426482265235321,0.656011172180843,-0.025940917851551,0
CHO2,0.0727796029548885,-0.0112089925153162,0.0688891982108772,0.481354764184015,-0.0232800327847222,0
CTK1,0.0154655741973015,-0.00534768266161584,0.39332332447488,0.489463432161029,-0.0109249499873817,0
ELP3,0.00326027427102816,-0.00183716961897218,0.50968018794401,0.217700760424334,-0.00843866691504754,0
NUP133,0.0324947051831238,-0.00860067765529618,0.0334928987660425,0.316001130543474,-0.0272071616102611,0
CTF8,0.00800775096423106,-0.00739805714399128,1.7153341948247e-05,0.134351233109729,-0.0549817546929874,1.92117407898411
DOA4,0.0311838624085066,-0.00281740654112124,0.413135562331022,0.2689696648687,-0.0104742368992825,0
BRE2,0.00382900893274113,-0.00485755273325917,0.0736580458642319,0.212148750225725,-0.0228909192094936,0
SWD1,0.0058455516182818,-0.00509254483313846,0.0656193377164085,0.216093778240835,-0.0235598235681565,0
SPP1,-0.00647962363126891,0.00565633394783756,0.00373787523426657,0.15236706591243,0.0370975208904219,0
SET1,0.0107633191930213,-0.0113708014394611,3.85261131053836e-05,0.21568701575424,-0.0526458807613777,1.56976762894583
HFI1,-0.0223667057003213,-0.00352492990602018,0.539010979894942,0.448313437501052,-0.00786240308346408,0
SWD3,0.0109450026192432,-0.00546590865020441,0.0801410417351588,0.244021219251271,-0.0223936999380353,0
SDC1,0.00310427233576176,-0.00242215177817367,0.335877322171383,0.196643695834068,-0.0123165303848153,0
BIM1,0.0135642639833717,-0.00507318675661407,0.0168623216568383,0.165829449743753,-0.0305784912330773,0
BUD13,-0.00924840134963979,0.00584674668615688,0.0220798815601175,0.199527182213827,0.0292904356918169,0
BRR1,-0.00822791829560652,0.00131582902835164,0.468444837285095,0.14179800926761,0.00927920205034003,0
BUD22,-0.00090745389983576,0.0019127144598811,0.500293524433613,0.221711992336716,0.00862670199435688,0
BUD20,0.0138951371412805,-3.47207523855508e-05,0.986906212738091,0.165298707932434,-0.000210048536095019,0
IBA57,0.0350714032856931,-0.0127232176144978,0.00626647759281112,0.363554670840146,-0.0349752988425545,0
CAR2,0.00195041386451193,-0.00285922406959754,0.16435626465769,0.160637305362313,-0.0177964343367822,0
SRV2,0.0824162663033818,-0.0112342897128461,0.0875700349063502,0.513736012835961,-0.0218625992073192,0
BUD21,-0.00193442550995365,0.0023549686582829,0.300181864238402,0.177587794446714,0.0132597042015858,0
CCE1,0.0211095026913618,-0.00583229753477855,0.027737309447023,0.206996068553128,-0.0281647080513155,0
CDC40,-0.0157845370817064,0.00997772848348947,0.0148799938248416,0.320037701692922,0.0311615876651965,0
SSN3,0.0682027602825241,-0.014077769567407,0.0260138745083189,0.494020206297448,-0.0284847805809198,0
CGR1,0.00689059820427032,0.000175515161238711,0.932244887658698,0.161292652492458,0.00108817763617877,0
CHL1,0.00315123494069865,-0.00188690472598679,0.145793415524066,0.10134637852948,-0.0186151473433989,0
CGI121,-0.00085064084773358,0.0032415417196634,0.200576913843841,0.197864652089028,0.0163804235563345,0
CIN8,0.012032253546365,-0.00267419204547766,0.225981913507908,0.172555326975026,-0.015495731210817,0
CKB1,-0.0162683232516606,-0.013538737572789,1.09424278339377e-07,0.198966339542282,-0.0678883809586737,4.11640913316163
CKA2,0.0118097806747521,-0.0040914026742917,0.17608464452028,0.236263195794145,-0.017314543328632,0
CLB5,0.00770642306689011,-0.0170152175777894,4.47535688908059e-19,0.148476719224981,-0.113853385742849,15.5046951502386
CLB2,-5.27768637025211e-06,-0.000741160369338078,0.638712981184799,0.123338488841323,-0.00600904871645127,0
CKB2,-0.0165978137179681,-0.0127571643044433,1.48088261191618e-05,0.229935382962615,-0.0553963239967408,1.98500219045802
CLA4,0.000549480727331651,-0.00177408776988899,0.27102279989066,0.125923158059528,-0.0140872557037611,0
CLB1,-0.00699127714297366,0.00250388252295901,0.169173283415083,0.142280473998664,0.0175954916364894,0
CLN3,0.00440424621821107,-0.00433453161876296,0.023305591615385,0.149265153827202,-0.0290269032589081,0
CLN2,-0.00103845359041825,0.00276707982610067,0.0184660060883105,0.0917375391954083,0.0301492928034845,0
CSM1,0.0296195968040758,-0.00582023689550852,0.0218861793217788,0.198332414197189,-0.029333240362232,0
CTF18,0.0193225831195727,-0.0114090092415321,5.39861959876513e-06,0.195803531735634,-0.0581689760829934,2.42324009726048
CTF19,0.00750015115795682,-0.00248809200612973,0.066961399367551,0.106101665863298,-0.0234436298387379,0
CSM3,0.00289226834206175,-0.00134695856893756,0.314244554737242,0.104570652266713,-0.0128797785278133,0
