,global,local
VPS25,-126.890204186702,839.611724579097
OPI3,-3405.65160869003,-2999.39326611834
CHO2,-2402.13077401359,-1779.66493105082
CTK1,-2085.61533541064,-1764.51443822719
ELP3,294.419128879257,657.312814324565
NUP133,-860.487433012028,-201.467971324352
CTF8,2152.45373551419,2560.42847099656
DOA4,-217.126336935936,193.432716044095
BRE2,523.746361151792,1045.32500797504
SWD1,528.50534533679,945.470334527221
SPP1,1560.91305955096,1831.32407892058
SET1,607.082996882006,928.042256758533
HFI1,-2111.24131333223,-1508.18561633188
SWD3,209.472481497575,658.448347183659
SDC1,789.745514143597,1088.61803424014
BIM1,1167.87720573017,1920.58279425836
BUD13,711.227065155073,999.311512767282
BRR1,1913.56144554117,2378.9720422467
BUD22,247.01592145972,576.934514215736
BUD20,1188.38058761573,1727.7576927274
IBA57,-1261.42402668118,-706.34064968209
CAR2,1728.565601362,2752.75313981998
SRV2,-2518.97481324419,-1622.83756304802
BUD21,915.410634412445,1638.43514512937
CCE1,401.914832144471,800.193836977865
CDC40,-968.696656051613,-720.298365890416
SSN3,-2287.55201398623,-1174.79113463728
CGR1,1398.5740120888,1953.39404065513
CHL1,2927.5726295529,3442.82985379962
CGI121,917.69457787957,1165.74662598645
CIN8,1179.45028208636,1810.75489169904
CKB1,653.266351688095,1758.54140139374
CKA2,-127.93722941366,992.587640821135
CLB5,1493.8748363918,1945.44542402437
CLB2,2089.06812796536,2808.32653208138
CKB2,475.542980638408,1182.02119146099
CLA4,1969.39008209373,3011.16129966874
CLB1,1700.90434093136,2700.88343636585
CLN3,1735.35568373166,1970.55369226751
CLN2,3023.83747104848,4082.1468248931
CSM1,576.130138998038,2138.52036586093
CTF18,683.642185954904,1265.27357203379
CTF19,2796.79524436202,3592.77819109327
CSM3,2807.29925593875,3229.70633165523
CTF4,-37.9440348309894,442.311108284879
SSN8,-1759.62869946821,-434.989914291514
DCC1,1057.73386252108,1581.11474105822
DBR1,1655.54329403816,2132.41928283309
DCS1,1470.47222582285,2519.62083605797
DBP3,467.22197245496,1015.25890697474
DDR48,1073.30870670516,3040.07574994881
DHH1,-669.31501232658,-420.226461535841
DIG1,-647.453995931773,25.1762453145416
DEG1,360.339836931847,820.793265344281
DIG2,3675.68179937318,4150.78085576815
DSS1,2767.29772205167,3389.65255827118
DPB3,1991.74742399245,2490.94917102416
DST1,1686.00784616591,2404.13393896855
DUN1,1173.36516787797,2226.68573705256
EBS1,2515.67533285838,2854.86818882106
EDC1,1520.28314289002,2418.45601485859
EFG1,675.741647585796,1150.39564478866
ELG1,2738.54639300262,3422.52458049452
ELF1,55.3374149422665,379.758205207976
ELM1,606.54927989008,1196.9129339817
ERF2,2539.73917939215,3330.9984358016
ERG2,-140.435033238594,949.830285305194
EST1,2855.73408102057,3302.94304850091
EXO1,1680.75420731652,3016.07207951091
FAB1,1370.3822094253,2125.25455391145
FKS1,-111.824923510865,538.090591653617
GEP3,-1230.92176988117,-738.558171369296
FIN1,2527.49550122619,3527.46839248256
FRA2,3165.50699627623,4814.49970779547
GAL80,3048.44176874699,4130.38979574169
FUS3,625.270422715679,1243.73377163294
GCR2,171.758296750766,684.683959545823
GPA2,634.172054696638,1752.99228177274
GPR1,-445.632202185537,479.097666321779
GPG1,2173.39204432136,2333.66882652681
GPH1,1509.57423453044,2389.86167324351
GIS4,1488.35119477915,2699.22663967274
GTR1,958.272884088808,2054.27557421051
GSY2,2591.51152092911,2884.60022526548
GSY1,3019.23335179018,3326.0350957286
HAP4,1845.33605128782,2178.76502810322
HCR1,575.657436832258,981.117932358573
HFM1,940.99217205912,1481.11474419283
HHT1,3310.67585907147,3769.48786850894
HNT3,2503.81531751701,3031.14263022443
HOG1,1713.12547679592,2925.9031348629
HHF1,2919.27315960628,3343.12360110027
HOS3,2444.90985126011,3203.61458946284
HOM2,532.950431417859,1626.30969161617
HUR1,-311.393228370883,314.512835309926
KKQ8,2368.10742721876,3074.05785038432
INP52,826.960084283482,1425.30252915031
IRC3,-352.440728954488,65.5901580812565
IRE1,650.86150367288,953.107720076729
IRA2,-1357.43850249045,-1174.85377340131
IPK1,-1406.99836341579,-551.226200247756
IRA1,68.7805430597403,763.24728991102
JJJ1,991.041832768019,1420.58305629606
IST3,923.306527046596,1223.52034839593
IRS4,1793.70732200914,2664.52846941303
JNM1,1583.71168347322,2160.90528199996
KAR3,24.5506425685922,898.186061542629
RRD1,2238.86231186483,2637.25115514391
RRP8,1680.35746247152,2242.50311947154
RSA1,-835.123764055137,-424.498331126524
RRP6,-102.045453184476,337.544547214418
RRM3,2079.51253642124,2615.53220806028
RPB9,-1622.89146243735,-1348.3691588563
RNY1,-694.871166234081,-22.1378694541147
RPA49,756.317933653192,1199.61638898662
RPA14,2074.64312793116,2514.09335795507
RPA12,1291.94652543901,1764.33578662657
RNR4,-943.875440065875,-334.782975390185
RMI1,891.984700641823,2101.23073187086
RIM1,-925.471593729158,-511.222694637574
RGP1,-1463.76667751607,-834.712861890578
RGT2,2763.33320565511,3324.96862681075
RIC1,106.067047363187,891.262505613058
RIF1,4273.89325994561,4805.3492085222
REG1,-2429.81709491709,-1527.06743736623
REV3,3726.20471839716,4196.44327053507
RCE1,2269.12127201816,2348.11931599014
RAS2,1792.65782218569,2972.16099995751
RAI1,-653.647463126078,-195.724628595596
RAM1,-3177.54109356677,-2569.06188437495
RAD57,1159.85655342064,1854.68421792432
RAD54,1070.99443349453,1659.66354483519
RAD50,-544.868502469745,212.674574140783
RAD55,2687.22631600202,3282.42915139097
RAD52,-191.521207580706,455.698545231364
RAD27,174.387341268294,780.364858013595
RAD1,1144.37899114463,1792.75336057834
PUS7,1943.36358314373,2517.18750066549
PUF4,2646.71378401813,3187.34999790901
PUS1,620.943844839396,1417.38794509155
PUF6,1104.11651030493,1508.27354452826
PUS9,3324.38949638342,4082.3520674695
PUF3,2259.1845784484,3371.26390881526
PTK2,2690.63865499348,3203.90179618279
PTP3,1872.1951985727,2749.89134919733
PSY2,1760.71826186635,2411.01469056927
PTC1,-1224.48184228052,-701.296804378247
PPH3,1357.02139931328,1924.87013922501
POL32,2315.11935839025,2807.75985654797
POG1,1647.91952321693,2692.49761885641
PMS1,2900.48854310961,4217.75720976239
PLC1,-1355.69326901391,-461.593607250127
PML39,2944.7369933254,3717.7442349436
PIH1,1240.42101506196,1659.3068159287
PIN4,1475.67748435678,2196.99131365278
PIF1,1827.17290162702,2244.33446984336
PIB2,2265.04824896637,2905.89005532187
PHO80,2274.48661495745,3514.8911109697
PFK2,-1573.91379992069,-1038.2127121675
PFK1,484.718506597938,800.895905664522
PHO85,-916.948592078394,-125.683505392861
PFK27,-636.020822130448,-153.8787784875
PHO13,2465.65000643783,4099.23581080708
PET112,3172.78929601405,3840.21369911034
PDE2,270.444472642017,1453.13422110526
PCL8,1280.98530603707,2516.40127831652
PCL6,1287.30458105829,2682.14927758655
PBS2,1464.29594203599,2719.67293800519
PBP1,2061.35289320266,2322.11139134855
PAT1,-614.581243385342,-212.29835583738
PAP2,417.577192461154,1005.5208036192
OPI1,-1532.9929007098,-771.242380165661
OCA6,1770.57550845765,2617.46415698351
OCA4,1771.69032378921,2667.03196546922
OCA5,1992.0158253012,2734.07185384655
OCA2,2149.86990681037,2559.54223494818
OCA1,1563.34049821211,2084.53383143893
NUP60,431.721547951666,802.140405275092
NUP170,216.480862802717,1003.51295726376
NUP188,2144.27981715646,3314.93418193918
NUP120,716.365602454476,1155.81897623426
NTH2,804.757856742933,1801.47497038019
NPR2,2983.9489422002,3685.57956743445
NRP1,2403.08783359357,3333.1650878874
NOP6,2251.23164960716,2729.32658335233
NPT1,1385.14178973519,3187.47020752245
NMD2,-966.256891991749,-54.6021643016203
NPL3,-2068.91520703484,-1671.45700404922
NOP12,1124.92340392501,1745.44774327731
NKP2,1334.49063561879,1525.44977407108
NEW1,1027.47229340317,1787.20465336127
NBP2,509.478752681926,1033.72307358193
NAM7,-945.367028488519,39.3687749359009
MUD2,2080.59139350168,2592.18238673612
NCE102,1986.7245671078,3324.37046392299
MUM2,1601.15492360213,2985.38564183284
MUS81,2940.31400410479,3848.10240087925
MSG5,1805.72924621126,2077.40328762994
MSN5,-155.023271246587,658.789406747436
MSH2,918.021932333427,1768.97164382437
MSH1,1088.35336535432,1523.63647587751
MRT4,941.298607594534,1597.67273292036
MSC1,1514.12632826389,2089.67507420862
MRN1,538.398745383058,1461.89588121987
MRC1,1597.64169165442,2338.99330432307
MMS4,3699.49237339175,4390.55358626911
MRE11,883.654689045801,1470.24139741975
MMS22,-666.703564926179,-89.70533555824
MMS1,1347.83826272645,1786.85913712799
MKS1,792.240394108347,1945.43942378275
MET18,779.796261277686,1226.1727307834
MFT1,1424.41510656389,2227.85635035714
MET13,2666.67852467693,3785.2159685545
MGA2,-954.529995657536,-309.792993214125
MEI5,1625.97594609168,2638.94673177384
SRB8,-1611.84766896256,-437.648668748259
SSN2,-1613.78127512639,-479.189279032706
MDS3,-72.9896560133833,668.574088457194
MCM21,2896.97491521566,3509.64148373794
MAK31,3338.08421930222,4037.9820234297
MCK1,77.4435870629046,408.39702113128
LTV1,418.370138618586,684.052994006686
LOC1,451.680211710958,2005.74246471452
LSM7,498.083416068112,589.424985160537
LSM6,-214.022003242253,-109.558554189491
LOS1,2507.8678600752,3606.62516592783
LSM1,12.7320653137102,298.78642775156
LEA1,822.67901291089,1220.51892038095
KSP1,1839.12196248335,2510.89103917923
LEM3,1713.75029482495,2412.3542623643
GPB1,371.397789048268,1178.19581864783
KIN3,1447.54695634504,1954.28767567056
KIN82,3045.49510260501,3389.45592144938
GPB2,799.86888171021,1954.73560230248
LRP1,894.510923320262,1226.53140524602
KAP123,836.14963769023,1446.08733768461
KAP122,1099.61433844671,1581.72359093158
XRN1,-3127.12319758221,-2893.74795616366
