,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-8.50223e-02,-3.71372e-02,1.04726e-03,-1.27638e-02,-1.31104e-03,5.66609e-01,-7.41688e-02,-6.00391e-02,2.49402e-01,-0.005526776,-7.33190e-04,7.58163e-01, 0.24434707, 0.00000000, 0.0000000, 0.0000000,0.11264463,0.88735537
OPI3,-9.41310e-02,-3.63558e-02,5.59312e-07, 5.69867e-03,-1.76170e-02,3.92349e-01,-8.47365e-02,-3.56231e-02,2.93297e-06, 0.003029594, 4.36319e-03,9.57425e-01, 3.51674715, 0.00000000, 2.7970929, 0.0000000,0.82024676,0.17975324
CHO2,-3.66548e-02,-9.08803e-03,8.36009e-02, 5.73729e-02, 3.87425e-02,2.53308e-02,-3.31029e-02,-1.00929e-02,6.49609e-02, 0.072169772, 7.61084e-02,2.65423e-01, 0.00000000, 0.00000000, 0.0000000, 0.0000000,0.87828281,0.12171719
CTK1,-1.36031e-01,-8.21391e-02,2.80951e-10,-4.78609e-02,-1.40536e-02,2.58188e-03,-1.46378e-01,-1.42484e-01,1.91670e-03,-0.045359021,-1.18708e-02,1.45373e-02, 6.81577113, 0.00000000, 0.0000000, 0.0000000,0.24840581,0.75159419
ELP3,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.03588415,0.96411585
NUP133, 7.38713e-02, 3.33914e-02,5.65031e-03,-9.47111e-02,-1.74786e-02,4.01209e-07, 3.87217e-02, 2.92271e-02,6.05798e-01,-0.083854535,-1.68883e-02,2.27905e-06, 0.00000000, 3.66103035, 0.0000000, 2.9066472,0.09196078,0.90803922
CTF8,-5.87619e-02,-4.17824e-03,3.68081e-01, 1.18360e-02, 1.28590e-03,3.87003e-01, 1.03364e-02, 3.73631e-03,8.82772e-01, 0.014007278, 1.21038e-03,4.32448e-01, 0.00000000, 0.00000000, 0.0000000, 0.0000000,0.12292014,0.87707986
DOA4, 5.37505e-02, 7.75000e-03,7.23996e-03,-7.07490e-02,-2.49336e-02,2.82287e-03, 4.71238e-02, 7.83121e-03,8.97244e-03,-0.080780388,-4.77994e-02,1.81656e-01, 0.00000000, 0.00000000, 0.0000000, 0.0000000,0.84368417,0.15631583
BRE2,-1.51688e-01,-6.73670e-02,2.77143e-11,-4.07551e-02,-6.04201e-03,1.62889e-02,-1.31660e-01,-1.01603e-01,1.55268e-01,-0.045823042,-6.72789e-03,9.18666e-03, 7.82169764, 0.00000000, 0.0000000, 0.0000000,0.06505578,0.93494422
SWD1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.95392364,0.04607636
SPP1,-1.03463e-01,-2.67609e-02,1.15895e-05,-7.67822e-02,-8.76725e-03,2.24579e-05,-8.29573e-02,-4.10470e-02,4.24150e-01,-0.073848011,-8.96141e-03,2.47888e-05, 2.20033626, 1.91303167, 0.0000000, 1.8701458,0.06671922,0.93328078
SET1,-2.91036e-01,-1.15845e-01,5.19572e-44,-7.40722e-02,-1.23448e-02,6.31972e-06,-3.06677e-01,-1.69925e-01,4.80418e-03,-0.080029797,-1.29401e-02,4.66730e-06,40.54875574, 2.46370329, 0.0000000, 2.5953356,0.05735368,0.94264632
HFI1, 1.04973e-01, 7.90550e-02,1.01846e-07,-2.74274e-02,-4.71497e-03,3.00076e-01, 1.31797e-01, 1.35756e-01,2.15317e-02,-0.021799196,-5.77357e-03,2.29146e-01, 4.25645522, 0.00000000, 0.0000000, 0.0000000,0.16246926,0.83753074
