,int,beta,pval,sigma,cor,adj_pval
VPS25,-0.00104254237441148,-0.00557809047847696,0.19763508587767,0.25044008877339,-0.0222676305282091,0
OPI3,0.0636827530896553,-0.0322131425673416,0.00521029841423036,0.66663769992914,-0.0482654963844079,0
CHO2,0.0634434618841176,-0.00175547778316932,0.837135980309457,0.494031269899072,-0.00355335139189305,0
CTK1,-0.0245548883779845,-0.0319089898706391,4.10302008325735e-05,0.449478661894558,-0.0708128966857228,1.54241918151931
ELP3,0.000204703734801421,-0.00284299184076326,0.456450251761784,0.220835524770198,-0.0128727308790255,0
NUP133,0.0150156937617276,-0.0124057871511901,0.0213929983324674,0.311771129930182,-0.0397598631136642,0
CTF8,0.00142804386094148,2.47192303021832e-05,0.991002122556976,0.126800550546307,0.000194945761086749,0
DOA4,0.0159840975037146,0.00328130081776263,0.460657069877139,0.257279727651552,0.0127527886163099,0
BRE2,-0.00398940788313229,-0.0100337865261064,0.00490779729235223,0.206219649759243,-0.0485983302095546,0
SWD1,-0.00522608477022335,-0.0138073926580799,0.000106877775868717,0.205926816348664,-0.0668997860423963,1.12663541671635
SPP1,-0.00357687068775726,-0.00985923118813631,0.000166076954848023,0.151297396948966,-0.0650266600091814,0.93521345114487
SET1,-0.00201304336627262,-0.0188860492248369,5.97631049321642e-08,0.201151393483014,-0.0934786099776421,4.37908967152669
HFI1,-0.0373828468266766,0.00942792671726428,0.228583290312092,0.45293118833027,0.0208108541889962,0
SWD3,-0.00458496689223111,-0.0142223756807326,0.000284811150554744,0.226508613382853,-0.0626661478157234,0.700965836025461
SDC1,-0.00406667495341829,-0.0103570912551684,0.00167090916727591,0.190473946242514,-0.0542951622629339,0
BIM1,0.00383035138530934,0.00346279829357199,0.239085947808717,0.170137440533072,0.0203487326860814,0
BUD13,-0.013529122437843,-0.000575630651348313,0.864401823353477,0.194992434753152,-0.00295205372387924,0
BRR1,-0.0104649677146208,-0.00691655436777907,0.0033211974302532,0.13617595120859,-0.0507259175874346,0
BUD22,-0.00444734304259183,-0.0142966601418391,0.000225410641617161,0.223983553885497,-0.0636994333738862,0.802548409054802
