,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.112644634615223,0.0356794712994417,-0.0371371626717424,0.644539406851487,0.887355365384777,-0.00603016087965939,-0.00131103708640276,0.132538350764424,Y
OPI3,0.820246756255696,-0.0387524705609355,-0.0363558182364094,0.419989053258585,0.179753243744304,0.530963496290765,-0.0176169705903475,1.18323509622554,Y
CHO2,0.878282808953419,-0.0139685767125583,-0.00908802899113459,0.304234812641325,0.121717191046581,0.621012651568775,0.038742459156293,0.989779002308835,Y
CTK1,0.248405808481473,0.0300763204534318,-0.0821391302586047,0.767362419941768,0.751594191518527,-0.0428429079335089,-0.0140536371670818,0.2675528049324,Y
ELP3,0.0358841457764192,-0.129388076589721,-0.0443095716058825,0.70961717379931,0.964115854223581,0.00495210798097631,-0.00142372611735955,0.176428375982125,Y
NUP133,0.0919607797289134,0.412731238979379,0.0333914450710092,0.698970248638975,0.908039220271087,-0.0253104470275385,-0.0174785673338973,0.199038914877372,Y
CTF8,0.122920144586159,0.0521069553436146,-0.00417824161300436,0.274629279260404,0.877079855413841,-0.00573414557191324,0.00128589970955133,0.0856521824132172,Y
DOA4,0.843684167439573,-0.0180125155657309,0.00775000394905295,0.166862745468538,0.156315832560427,0.200075063809708,-0.0249335907414912,0.481879282360134,Y
BRE2,0.0650557840065603,-0.0401923688921238,-0.067366963796186,0.587445702416794,0.93494421599344,-0.00156703760965482,-0.00604201121162676,0.145331168870554,Y
SWD1,0.953923642083597,-0.00713847919905965,-0.00921963298209431,0.157634095976602,0.0460763579164029,0.029790140900069,-0.112405952924751,0.627976799826937,Y
SPP1,0.0667192161822391,-0.16637707382283,-0.0267608640148086,0.336786633131317,0.933280783817761,0.00806108497500122,-0.00876724736511749,0.119839475959338,Y
SET1,0.0573536753978635,0.203520564080387,-0.11584480078479,0.491006103560516,0.942646324602136,-0.0146122791505754,-0.0123448315009068,0.157552024729264,Y
HFI1,0.162469264349199,-0.302099423640977,0.0790550368247917,0.90814092171266,0.837530735650801,0.013606855634901,-0.00471497384256337,0.259987214553947,Y
SWD3,0.0626653902432672,0.132618675985902,-0.119046318874409,0.613107475220861,0.937334609756733,-0.0137597561964171,-0.00722764783518779,0.16572296569279,Y
SDC1,0.0653652234359559,-0.0377929770134372,-0.0886432702969419,0.482177605364607,0.934634776564044,-0.00163231945757136,-0.0049256776100285,0.148335665817355,Y
BIM1,0.0909341945232302,0.196060228592668,0.00180398944381754,0.410192570580921,0.90906580547677,-0.0154026263915812,0.00404590503024119,0.104565027779636,Y
BUD13,0.877210564892447,-2.98888088738328e-05,0.00545785395066491,0.141326023344586,0.122789435107553,-0.106517324100214,-0.0352480317720309,0.393631768090236,Y
BRR1,0.178935683268544,-0.0478802542527022,-0.0237957394049083,0.266282083924502,0.821064316731456,-0.00202653916737306,-0.00240714281538959,0.0815386905604471,Y
BUD22,0.0608595000115734,-0.12969221561374,-0.0855794914029323,0.580963253377782,0.939140499988427,0.00372493993304204,-0.00964475154759636,0.173460644703261,Y
BUD20,0.896214339520062,-0.000877045776905708,0.00342244783537316,0.111178719392064,0.103785660479938,0.140119447238991,-0.0117854319248499,0.38854340680005,Y
IBA57,0.127126709177621,0.235442100720799,-0.061014637767914,0.763125943459424,0.872873290822379,-0.0179756896105421,0.00101468916837136,0.219501721732997,Y
CAR2,0.939588653000841,-0.00958005138503557,0.00258119881533294,0.0845257992680198,0.0604113469991586,0.0925639339669829,0.0126765724210277,0.470833901109574,Y
SRV2,0.85377272584368,-0.0543388673325401,-0.0256528831890103,0.26648332462923,0.14622727415632,0.720216267546065,0.0248097168027493,0.927518129008709,Y
