,global,local
VPS25,-127.317682044185,839.205591885366
OPI3,-3407.50300931331,-3000.35277430357
CHO2,-2402.1045080295,-1779.5392281765
CTK1,-2087.67283358032,-1766.66317753833
ELP3,294.492501748804,657.38046415105
NUP133,-861.943227355356,-202.641833474629
CTF8,2152.76297624784,2560.7108135842
DOA4,-215.912055628223,195.391575256378
BRE2,522.88034919779,1044.3627163591
SWD1,527.453391041543,944.496565066171
SPP1,1561.01907493524,1831.05601765941
SET1,603.544550472163,925.391242403569
HFI1,-2111.13550109772,-1509.21029564078
SWD3,207.281217836263,656.520876471026
SDC1,789.25989203636,1088.34622889214
BIM1,1168.53776449653,1921.26574776553
BUD13,711.315330437817,1000.44732289732
BRR1,1912.68429178598,2378.2510317829
BUD22,246.574495808594,576.362970147828
BUD20,1188.32039702748,1727.23478080322
IBA57,-1261.7621035097,-706.610198825312
CAR2,1729.05745956328,2753.00879686143
SRV2,-2519.75466182974,-1623.47049653002
BUD21,915.539503255348,1638.69788075038
CCE1,401.720097900881,799.6255230444
CDC40,-967.384590841722,-717.699655909863
SSN3,-2287.99971025779,-1175.10995379795
CGR1,1398.55824387361,1953.31057993707
CHL1,2927.47318659449,3443.00093040885
CGI121,917.991340420253,1166.54874392435
CIN8,1179.30036356516,1810.73019944349
CKB1,654.209643300626,1758.88905346929
CKA2,-127.356437534453,993.225522828113
CLB5,1494.94654792872,1946.76222700868
CLB2,2092.77219753827,2811.15094354984
CKB2,475.787918456851,1181.56428113343
CLA4,1969.21998394561,3010.83550387254
CLB1,1700.95179396291,2700.72396398371
CLN3,1735.12437829281,1969.79803665384
CLN2,3023.20366002549,4080.96988237693
CSM1,576.405899964545,2138.68442382537
CTF18,683.295591191755,1264.97317263866
CTF19,2796.92892372047,3592.88638939985
CSM3,2807.88359635351,3230.8657742647
CTF4,-37.3877509264041,443.060610081342
SSN8,-1759.49216066771,-435.592860639496
DCC1,1057.84431749359,1581.46585217846
DBR1,1654.78690930414,2131.93253886125
DCS1,1470.67624725541,2519.80950083989
DBP3,467.272350363967,1015.31404386414
DDR48,1073.3040217698,3040.33303789608
DHH1,-668.748567774534,-419.722760616865
DIG1,-647.574349015066,25.3900662211043
DEG1,360.127046378262,820.456675274751
DIG2,3675.85594588088,4152.08351796212
DSS1,2768.14755471163,3388.99155173205
DPB3,1991.36165461681,2490.42734442823
DST1,1685.83286691872,2404.11120203586
DUN1,1172.99869213909,2226.27996547744
EBS1,2516.55712868382,2856.81330673012
EDC1,1519.56111818378,2417.81612456378
EFG1,675.562789052464,1150.02591598919
ELG1,2737.78415760975,3422.77837487479
ELF1,56.6508355611725,380.246503664118
ELM1,606.648237411214,1197.31387627368
ERF2,2539.77275762594,3329.56933502953
ERG2,-140.902872277811,949.29208019293
EST1,2855.26026737965,3302.32424377655
EXO1,1682.10218306121,3017.16363292992
FAB1,1370.42602735505,2125.43169435692
FKS1,-112.666600829314,536.238035219768
GEP3,-1230.59886510087,-738.923738430672
FIN1,2527.50722099051,3527.71738582876
FRA2,3165.59664979163,4814.58456638064
GAL80,3048.43519114305,4126.69014565072
FUS3,625.203650304826,1242.77969985688
GCR2,168.884604871189,679.800774556921
GPA2,634.592995485681,1753.35902386651
GPR1,-445.645783557101,478.768253627858
GPG1,2173.17855608888,2332.9687781284
GPH1,1509.63860001775,2390.04264344983
GIS4,1488.17978587647,2698.46825166884
GTR1,958.242718895475,2054.84705670886
GSY2,2591.23723427396,2883.604379543
GSY1,3018.94365461793,3324.94975542082
HAP4,1842.18635204939,2176.92576456054
HCR1,575.656206863133,980.686489206275
HFM1,940.472155989519,1480.29416282134
HHT1,3309.94429209637,3767.95513938796
HNT3,2503.78043877867,3032.65863895713
HOG1,1712.85944576768,2924.16031245321
HHF1,2918.83845230388,3342.60190321781
HOS3,2444.91727484696,3204.20074013003
HOM2,531.988807943751,1625.67586642707
HUR1,-312.175558430001,313.659993624272
KKQ8,2367.86963543248,3073.07846941656
INP52,827.13185340998,1425.28883223602
IRC3,-352.222411560394,65.2807105361239
IRE1,649.740093740529,951.755044074673
IRA2,-1358.19609842681,-1175.56997339473
IPK1,-1407.10874017551,-551.760229527394
IRA1,68.6543057189828,763.327600794409
JJJ1,991.229732692885,1421.06799477592
IST3,922.512103817665,1222.66347157002
IRS4,1793.52743592059,2664.52113782444
JNM1,1583.75243622947,2160.79138063253
KAR3,25.9317013331866,899.426099079478
RRD1,2238.91319056875,2637.29076250874
RRP8,1681.06657499836,2242.86148072561
RSA1,-835.130051537118,-424.460069225271
RRP6,-101.869760105465,337.697377273746
RRM3,2079.16841769086,2615.3321859113
RPB9,-1623.89585210668,-1349.11790563602
RNY1,-695.569694695944,-23.0919225480632
RPA49,755.831187789898,1199.10016455396
RPA14,2074.69298934153,2514.30975005451
RPA12,1290.80528457733,1763.33845454023
RNR4,-943.263914173453,-334.705651257825
RMI1,892.052104500129,2101.22231806702
RIM1,-926.075236318992,-512.742535259092
RGP1,-1463.84682108358,-834.882847164565
RGT2,2752.0952010771,3315.53103919416
RIC1,105.673675377988,890.626596502112
RIF1,4273.77887348642,4805.07938645287
REG1,-2429.25312415363,-1528.28987111937
REV3,3725.59244931619,4195.58397217727
RCE1,2264.2011780453,2343.80466656915
RAS2,1792.27275414923,2971.68971917267
RAI1,-653.54393654901,-195.716230204993
RAM1,-3178.19846225762,-2569.43955159225
RAD57,1160.35608181424,1854.56436158249
RAD54,1071.02845511894,1659.06754205501
RAD50,-544.434004863204,213.226852144954
RAD55,2687.26052166294,3282.46198754133
RAD52,-190.420371917002,457.103925398999
RAD27,176.745195696159,782.521737042415
RAD1,1144.32288091829,1792.06149375267
PUS7,1942.94827202484,2516.36772048519
PUF4,2646.31268335053,3187.82641297508
PUS1,621.232590401381,1417.75862440817
PUF6,1103.8212653366,1508.14851477123
PUS9,3323.40156211202,4081.29303684496
PUF3,2258.6908341337,3371.06715646457
PTK2,2690.82126395967,3203.84904191921
PTP3,1870.70217605524,2747.84967344681
PSY2,1758.86926314017,2408.92101133016
PTC1,-1225.29944176171,-702.368075532288
PPH3,1353.9731864123,1922.04353057567
POL32,2315.09243186576,2807.67694686228
POG1,1648.21667863055,2692.99152406652
PMS1,2901.67977419524,4218.84969487729
PLC1,-1355.83535522495,-462.339235365
PML39,2944.00887658309,3716.00586647565
PIH1,1239.43278419703,1657.69698629487
PIN4,1475.25669831758,2195.90793695334
PIF1,1828.22414130751,2245.09481838989
PIB2,2265.15908343656,2906.02905631173
PHO80,2274.21506233477,3514.56283181745
PFK2,-1573.93030267424,-1038.9331183993
PFK1,483.226598849947,798.251448226673
PHO85,-920.211210348924,-129.178697925354
PFK27,-635.816956726132,-153.706914249038
PHO13,2465.06881992803,4098.37935692148
PET112,3172.99822879924,3839.99799520812
PDE2,270.374036288323,1452.7726305912
PCL8,1280.94524489896,2515.67643989153
PCL6,1286.27192690139,2681.49376173691
PBS2,1464.33652602595,2719.76058743179
PBP1,2061.38129169171,2322.1519475747
PAT1,-613.478809411506,-211.354402553109
PAP2,417.029196260938,1004.43454886837
OPI1,-1532.82820450211,-771.175457659213
OCA6,1770.14890979001,2617.45172618793
OCA4,1771.47326759284,2666.90726788344
OCA5,1991.63892574216,2734.01468541024
OCA2,2148.88924074193,2558.65165744631
OCA1,1563.28353443305,2084.17433707478
NUP60,430.855300175632,801.491110317389
NUP170,215.870105351131,1002.68731893712
NUP188,2144.32855934927,3314.59437367772
NUP120,715.350986365409,1154.96134006387
NTH2,804.529748230402,1801.31858012348
NPR2,2982.27840280198,3682.8820639023
NRP1,2403.89661598141,3333.78332707911
NOP6,2250.86100535571,2729.03766918666
NPT1,1385.35753987645,3187.47599309462
NMD2,-966.382741147985,-53.9974042554593
NPL3,-2068.92731409686,-1671.27188890184
NOP12,1125.26259715008,1745.35811929795
NKP2,1334.66322945239,1525.62726849528
NEW1,1027.50016339567,1787.22888899634
NBP2,509.401981858826,1033.02555351346
NAM7,-945.374142731942,39.9826355928956
MUD2,2081.18808951259,2592.34705230759
NCE102,1986.75482424205,3324.53403946507
MUM2,1601.1715388252,2984.81029745842
MUS81,2940.29584963195,3848.00641482916
MSG5,1805.68365239636,2077.52938967332
MSN5,-154.865731970828,658.951640096837
MSH2,917.788200853343,1768.92303437987
MSH1,1089.17411793193,1524.2455634734
MRT4,941.154910087046,1597.7380630604
MSC1,1514.12640471983,2089.72304816092
MRN1,538.568754985971,1463.55205515089
MRC1,1597.56446102201,2338.96636598673
MMS4,3699.97920620627,4391.38306646833
MRE11,883.05993813722,1469.88132908893
MMS22,-666.401673572634,-89.3160975714875
MMS1,1348.59863749533,1785.50396339992
MKS1,792.262585961245,1945.25851304376
MET18,779.682273727703,1225.93859200973
MFT1,1423.87990517641,2227.76122798971
MET13,2664.45332362451,3783.95611594075
MGA2,-953.846517409716,-309.221435348795
MEI5,1625.97485267344,2639.27992700541
SRB8,-1612.00738350948,-436.816383637095
SSN2,-1613.78152020387,-478.994520390254
MDS3,-73.2410603176884,668.41493716927
MCM21,2897.03757674537,3509.79832505569
MAK31,3336.98629016653,4036.95856103893
MCK1,77.7322737984628,408.706932709177
LTV1,418.285459152102,683.875223242577
LOC1,451.118316181253,2004.6130812609
LSM7,497.2401845213,587.488558137167
LSM6,-213.091684797835,-109.904121149898
LOS1,2507.85010495761,3606.53631383236
LSM1,13.54159116953,300.415996579423
LEA1,822.824668357836,1220.08625319099
KSP1,1839.3864453442,2511.15203239665
LEM3,1712.51341794788,2411.04201059709
GPB1,371.342181764704,1177.42028412468
KIN3,1446.79772463713,1952.67683520957
KIN82,3040.1162504275,3384.05423417054
GPB2,798.207719832282,1952.97116307948
LRP1,894.548620140663,1226.5837875488
KAP123,835.580666773644,1445.52834795224
KAP122,1098.80961305591,1581.09396490556
XRN1,-3127.15053575109,-2893.89856167046
YVH1,-937.131028813673,-688.54175443135
ZWF1,690.444895280582,1564.0804644269
YPT7,2601.80553262359,2977.09897681391
YTA7,-1081.8702283273,-342.952748719587
YPT6,-1458.9730222389,-856.694891808824
YPR153W,2056.64991848249,3174.82120934258
YPK1,-1029.59178304431,-313.651528409229
SWM2,1826.81927410839,2045.38577753422
RRG9,-1468.59287845488,-801.424264848521
HER2,3373.96491893101,4161.25062147697
YLH47,1703.61688516935,2978.14731747296
YKR023W,428.463110003955,1214.6471231091
YIL001W,3354.04479498204,3635.20355823924
YHR033W,2449.45567192594,3635.22738780123
YGR122W,1619.7099928799,2832.34430928717
VHR2,2617.18851754363,4169.33710429973
YCK3,1870.97715647937,3276.72482666335
YBR285W,589.984195430824,1268.26642256571
YBP2,2260.01247660604,3030.64503021288
VPS4,937.713428383151,1443.91592360885
VPS15,-1831.11940057899,-1013.99170410283
VPS1,359.614706277456,906.303076756797
VHR1,1667.31427427986,4555.74208389722
VAM3,2574.02281230432,3091.95966019097
URN1,1114.38930595487,1667.26692790701
UPF3,-1271.24033713989,-591.261499161326
VAC8,411.338557579985,1167.10331757054
URA7,2169.66178701583,2845.91354997124
UAF30,-75.0205624502484,401.995416854543
TSR2,785.609603015699,1014.41135072916
TRM10,276.476161549764,959.650685267743
TUB3,-457.210877889268,524.338239151308
TSL1,-821.630709266968,-571.117148766549
TRM1,3130.62299996043,3637.82810434259
TPS2,-304.745244837903,385.498293790865
TPK3,2119.79826134526,2753.37689284603
TMA22,1813.79452245047,2010.18951993376
TOP3,518.553154401694,1530.55716161692
TMA23,493.08462703467,881.317239672443
THR4,730.003797541181,1840.39599682222
TLC1,-2482.89869548117,-1919.06725018877
THP2,1790.10421285687,2486.15637371521
THR1,577.425293829761,1962.06318226265
TIP41,2269.62427508343,2755.78081202405
TIF2,2554.2117039506,2765.24199631142
TGS1,743.229438056951,1066.75151657991
THP1,-1640.72538150323,-1318.74738653692
TCO89,-74.5576137502212,567.821340075596
SXM1,1410.99364175596,2199.4552724576
SYC1,1072.53603574611,1850.92056642986
SWI6,-692.144972191897,-249.381847201206
SUB1,1996.22566771568,2522.26571472541
STE7,1016.38011544655,1996.84267525109
STM1,1107.37922931436,1977.76456819916
STE50,2732.17804148363,3819.21182396298
STE20,2874.65631766507,3950.63080195304
STE11,1493.77702207173,2676.8961176182
STE14,2010.98498197201,2746.09684543543
SSK2,1914.3772569262,2805.46281196397
SSK1,2433.46024040961,3412.54275257175
SSF1,1230.49306652463,1790.56155477438
SRO9,346.137553783496,475.66759411012
SPT4,-131.986486083805,404.611700719469
SPT23,2205.58614492218,3140.64721098397
SPT21,-940.85821563687,-314.779234158658
SNF4,1915.34120567947,2348.41960443964
SNT309,-285.804562679538,-0.409036258737533
SNF1,1372.0870584127,1969.7395008399
SMI1,1435.54018909508,2269.99223457826
SLX9,1578.35074123077,2258.34588384965
SKI3,1413.16546003488,1858.81933476203
SLT2,2565.90015800692,3597.25734060509
SKY1,782.180746257166,1572.28024191761
SIW14,1486.55057396331,2083.56167027085
SIT4,-940.911989510697,-447.972117770839
SIS2,-1198.9831410148,-808.619446487387
SHR5,1745.3915230365,2480.22694006691
SGS1,732.900500693819,1552.98087747925
SER2,1927.58491025437,3143.13982172791
SEH1,8.51807987124523,801.693723335901
SET4,1001.3694708252,1784.98041854934
SAT4,1703.6967832047,2874.23747590086
SAP190,1660.37185460995,2462.56501041545
SBP1,1340.82352973183,1950.12841604893
SCS2,1665.01158493769,2570.7950499091
SAP155,692.817363045242,1668.44935982717
SCP160,2230.66725439298,2364.88146645785
SAM4,324.965874641354,1081.29130518239
RTT103,453.963431835675,1344.12951076714
SAM1,1283.81432788705,3941.3956231982
SAC1,1115.27649576245,1942.46480286403
