"","cor","beta","pval_beta","adjp_beta","ratio"
"LSM7"," 0.2034983"," 0.03158511","1.05982e-25","22.23917","0.883306"
"BMH1","-0.1416995","-0.01870903","1.65545e-15","12.04549","0.936424"
"SIR3"," 0.1356602"," 0.01390178","8.79337e-15","11.32025","0.936966"
"LSM1"," 0.1423027"," 0.02546193","2.03106e-14","10.95668","0.949240"
"UBR2","-0.1533237","-0.01638153","2.15310e-14","10.93134","0.669081"
"ATG10"," 0.1409947"," 0.01113076","1.09597e-13","10.22460","0.869799"
"LSM6"," 0.1380641"," 0.02477496","4.84467e-12"," 8.57914","0.866445"
"SET2","-0.1299734","-0.01650177","1.37311e-11"," 8.12670","0.886873"
"KDX1"," 0.1398172"," 0.00822830","2.64541e-11"," 7.84191","0.816407"
"PAT1"," 0.1195201"," 0.02464638","9.01065e-11"," 7.30964","0.946813"
"SSN3","-0.1163201","-0.02747861","1.90485e-10"," 6.98454","0.899764"
"RCE1","-0.1199037","-0.01077889","2.08586e-10"," 6.94512","0.795913"
"SRO9","-0.1121431","-0.01935605","2.78544e-10"," 6.81951","0.890082"
"MUD2","-0.1079704","-0.00924461","3.70924e-10"," 6.69512","0.893013"
"SRB8","-0.1076581","-0.02087531","1.64852e-09"," 6.04731","0.905171"
"NPL6","-0.1133347","-0.02385259","1.70277e-09"," 6.03325","0.776059"
"SIR4"," 0.1055018"," 0.01113363","2.26282e-09"," 5.90975","0.948211"
"RCY1","-0.1062472","-0.02083681","6.94637e-09"," 5.42264","0.857634"
"EUG1"," 0.1059905"," 0.00970853","1.03650e-08"," 5.24883","0.924204"
"MEI5"," 0.1070735"," 0.00756889","1.04664e-08"," 5.24461","0.877860"
"TIP41","-0.1025467","-0.00892386","1.18683e-08"," 5.19001","0.946372"
"SRB5"," 0.1054240"," 0.01907231","1.23157e-08"," 5.17394","0.919051"
"GAT2"," 0.1000912"," 0.00495499","1.29364e-08"," 5.15259","0.934585"
"GRR1","-0.1123902","-0.02788183","1.78842e-08"," 5.01193","0.838604"
"VPS27","-0.1067819","-0.01209032","2.06996e-08"," 4.94844","0.924228"
"RAD5"," 0.0989629"," 0.01336291","2.11777e-08"," 4.93852","0.940014"
"SWA2","-0.1053178","-0.02458925","2.19321e-08"," 4.92332","0.805459"
"THP1","-0.1076761","-0.02516817","5.25430e-08"," 4.54389","0.843967"
"KIN3"," 0.0930830"," 0.01075746","6.81549e-08"," 4.43090","0.942568"
"TEC1"," 0.0934121"," 0.00639727","7.40477e-08"," 4.39489","0.935636"
"UBP14"," 0.0941628"," 0.00719752","7.59332e-08"," 4.38397","0.943912"
"CLB5"," 0.0953545"," 0.01015328","7.98466e-08"," 4.36214","0.914636"
"SRV2","-0.1008393","-0.02490169","8.33121e-08"," 4.34369","0.853605"
"CLB2"," 0.0949533"," 0.00761171","1.45896e-07"," 4.10036","0.925464"
"NOP6","-0.0980493","-0.00780258","1.46830e-07"," 4.09759","0.910034"
"URE2","-0.0913251","-0.01018877","1.61720e-07"," 4.05564","0.918632"
"IOC2"," 0.0903986"," 0.00876343","2.56087e-07"," 3.85601","0.935782"
"CMK2","-0.0820193","-0.00694211","2.80603e-07"," 3.81631","0.926877"
"SAC3","-0.0933500","-0.01713619","2.81837e-07"," 3.81440","0.899343"
"OPI3","-0.0949748","-0.03592350","8.75260e-07"," 3.32226","0.821744"
"RAM1","-0.0924920","-0.03205335","1.20408e-06"," 3.18375","0.870975"
