,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-0.061870632,-2.54155e-02,2.37295e-02,-0.009055566,-8.15592e-04,7.21742e-01,-5.15789e-02,-4.09301e-02,4.23466e-01,-0.001888764,-2.50943e-04,9.16200e-01, 0.00000000, 0.00000000, 0.00000000, 0.0000000,0.11264970,0.88735030
OPI3, 0.058202689, 3.45020e-02,8.92957e-02,-0.094974758,-3.59235e-02,8.75260e-07, 7.06898e-02, 1.00897e-01,2.14551e-01,-0.087960843,-3.71374e-02,1.19510e-06, 0.00000000, 3.32226409, 0.00000000, 3.1869982,0.17825596,0.82174404
CHO2, 0.091102012, 7.01612e-02,4.44709e-05,-0.032862256,-7.80271e-03,1.37910e-01, 1.18796e-01, 1.26076e-01,6.56003e-02,-0.029112964,-8.86287e-03,1.04649e-01, 1.61632476, 0.00000000, 0.00000000, 0.0000000,0.12159476,0.87840524
CTK1,-0.127267470,-7.56503e-02,5.92208e-09,-0.034782740,-1.05446e-02,2.37349e-02,-1.32827e-01,-1.29514e-01,4.86190e-03,-0.035134228,-9.18453e-03,5.84736e-02, 5.49192707, 0.00000000, 0.00000000, 0.0000000,0.24900449,0.75099551
ELP3,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.03600760,0.96399240
NUP133,-0.089656815,-1.59351e-02,3.61736e-06, 0.127079383, 7.08535e-02,7.93074e-09,-8.30185e-02,-1.66670e-02,2.89415e-06, 0.153622187, 1.19621e-01,3.84052e-02, 2.70600883, 5.36508750, 2.80288030, 0.0000000,0.90769595,0.09230405
CTF8, 0.013720072, 8.70179e-03,5.10800e-02, 0.010765927, 1.28268e-03,3.90547e-01, 9.25883e-02, 2.95919e-02,1.83472e-01, 0.005869854, 5.10950e-04,7.42272e-01, 0.00000000, 0.00000000, 0.00000000, 0.0000000,0.12349286,0.87650714
DOA4, 0.071211867, 1.07835e-02,1.82969e-04,-0.044581051,-1.29032e-02,1.26289e-01, 5.98419e-02, 9.98195e-03,8.96634e-04,-0.012763737,-7.44871e-03,8.34024e-01, 1.00202336, 0.00000000, 0.31178571, 0.0000000,0.84429466,0.15570534
BRE2,-0.032324083,-4.86601e-03,5.28869e-02,-0.155505516,-6.70517e-02,5.86684e-11,-3.98903e-02,-5.85985e-03,2.33617e-02,-0.115753503,-8.80037e-02,2.11950e-01, 0.00000000, 7.49599685, 0.00000000, 0.0000000,0.93501131,0.06498869
SWD1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.04603948,0.95396052
SPP1,-0.074188401,-8.51649e-03,3.86346e-05,-0.133307722,-3.00902e-02,8.17832e-07,-7.04288e-02,-8.52142e-03,5.79566e-05,-0.087971811,-5.15518e-02,3.96584e-01, 1.67742434, 3.35173688, 1.50129838, 0.0000000,0.93352064,0.06647936
