,int,beta,pval,sigma,cor,adj_pval
VPS25,-0.00104254237441148,-0.0038860515186666,0.369469701095854,0.250472057846387,-0.0155130433550945,0
OPI3,0.0636827530896553,-0.023367932262518,0.0427585161990407,0.667006333750027,-0.0350125681705794,0
CHO2,0.0634434618841176,0.00262870178152448,0.758226962987103,0.494027395259899,0.00532088826404145,0
CTK1,-0.0245548883779845,-0.0277451015775965,0.000363471600813403,0.44975488932477,-0.0615723349286285,0.59505234053615
ELP3,0.000204703734801422,-0.00319679145577468,0.402373623583152,0.22083068656218,-0.0144746936999677,0
NUP133,0.0150156937617276,-0.00832832398007082,0.122499063369628,0.311906684815292,-0.0266918186954461,0
CTF8,0.00142804386094148,0.00172326292867137,0.431736720162601,0.126788842548411,0.0135903423802306,0
DOA4,0.0159840975037145,0.0076648537777922,0.0847669530784499,0.257186460009229,0.0297894845464848,0
BRE2,-0.00398940788313228,-0.00887003139879927,0.0129029081463519,0.206272982627053,-0.0429617187655315,0
SWD1,-0.00522608477022334,-0.0128060735318015,0.000327038675154645,0.205991510175077,-0.0620481795901826,0.640923709474615
SPP1,-0.00357687068775726,-0.00993245462616763,0.000148396982430331,0.151292607579661,-0.0655096059426625,0.984097754356999
SET1,-0.00201304336627261,-0.0164648409477729,2.33272064650073e-06,0.201364035935035,-0.0814945691911406,2.78766009101022
HFI1,-0.0373828468266766,0.0100920107583152,0.197451945583802,0.452916878117067,0.0222767285601072,0
SWD3,-0.0045849668922311,-0.0116229253444403,0.0030313932327612,0.226656867341504,-0.0512125381888587,0
SDC1,-0.00406667495341829,-0.00983596201479514,0.00283704149465152,0.190501567940287,-0.0515632372495368,0
BIM1,0.00383035138530933,0.00483814718020345,0.099964690578139,0.170103885831656,0.0284308109567431,0
BUD13,-0.013529122437843,0.0015282324031336,0.650268012040536,0.194987295656232,0.00783735915739754,0
BRR1,-0.0104649677146208,-0.00617432824568143,0.00877016717435921,0.136211622421148,-0.0452824410962843,0
BUD22,-0.00444734304259182,-0.0138263326268828,0.000360944563921905,0.224013078699614,-0.0616038672832303,0.598082318834972
BUD20,0.0136312386586927,0.00292508144199279,0.317029641788697,0.169102039510169,0.0172951428598268,0
IBA57,0.0137445310019169,-0.000657523747067857,0.913815998883961,0.351457435972493,-0.00187084559630987,0
CAR2,-0.0034065646442788,0.00406370824657802,0.10237530505645,0.143888698063807,0.028230768912758,0
SRV2,0.0588947470300604,-0.01460132507814,0.0988593441375223,0.511690989694458,-0.0285238244992622,0
BUD21,-0.00382558923819796,-0.00426380736010119,0.178835989455322,0.183452130295266,-0.0232357955089812,0
CCE1,0.0168985145183671,-0.000169608499616791,0.963408818364638,0.213872167526938,-0.0007930365518992,0
CDC40,-0.0307313486402496,0.0111388611406992,0.045362123456175,0.321883116740537,0.0345845960986734,0
SSN3,0.0582408219534181,-0.0191250686014787,0.0205490279207414,0.477478755313153,-0.0400221899202098,0
CGR1,0.00466929645849685,8.11514720432256e-05,0.976417862589664,0.15881277797038,0.00051098823712828,0
CHL1,0.00115744392350993,0.000466223314281907,0.788635291875716,0.100604522700458,0.00463416848017544,0
CGI121,-0.00210174155905135,-0.0109013156251154,0.000588081890975827,0.183317872265543,-0.0593618687612034,0.386085018037724
CIN8,0.00517604663735592,0.000669436132694225,0.819340104544824,0.169558104602082,0.0039480915220868,0
CKB1,-0.0210992700339406,0.00744451344546805,0.0299662034439745,0.198340642621423,0.0375075676258648,0
CKA2,0.0106956057116637,0.00562940789663875,0.193605439165958,0.250474956390301,0.0224692589850683,0
CLB5,0.000637026844812174,0.0111668147728384,2.90336928281838e-05,0.154307102982893,0.0721787158278527,1.69262054650375
CLB2,-0.00490421936498475,0.00901610251332497,5.44264171642633e-05,0.12908048027419,0.0696789211560415,1.41971307816073
CKB2,-0.0204666058083696,0.00256081531504887,0.478869418641148,0.209194008022861,0.0122404245281905,0
CLA4,0.00121788957098788,-0.00110126632987915,0.634315744851194,0.13393148434544,-0.00822233179986467,0
CLB1,-0.0123468267012585,-0.00123169343708123,0.623396591735938,0.145101330106668,-0.00848819968712563,0
CLN3,0.000475637290785909,-0.0077859336501385,0.00172659224668027,0.143628270830812,-0.0541294471931733,0
CLN2,-0.00121411043006845,0.00155451843183701,0.357713639978106,0.0977694758465287,0.015897824559547,0
CSM1,0.0248511782800694,0.00362206189834011,0.302032252115125,0.203002420510543,0.0178396172776971,0
CTF18,0.0116930518918435,-0.00023780754623597,0.94422149576137,0.19662551974775,-0.00120944307033076,0
CTF19,0.00343362198785607,0.00137850108932369,0.445869011305124,0.104603528720295,0.0131771979447414,0
CSM3,0.00241050935517707,0.00249493376653551,0.166328746087903,0.104261926652833,0.0239226324382449,0
CTF4,0.00540010640319797,0.004880577128955,0.246954054580842,0.243835690159113,0.0200118356621362,0
SSN8,0.0429954841255575,-0.0123416614104991,0.0800392227675394,0.407772374130278,-0.0302522029008206,0
DCC1,0.0140635722141232,0.00151535791731725,0.618076197708312,0.175820226032175,0.00861847167160551,0
DBR1,0.00568291737520781,-0.00457553160296378,0.0720561469403103,0.147115354581818,-0.0310866274571176,0
DCS1,-0.00743313199131105,0.0018892192757659,0.48198194593394,0.155429432925471,0.0121539382792969,0
DBP3,0.00923714647321018,0.00135395760536281,0.708807175786359,0.209726606574232,0.00645568730398407,0
DDR48,-0.00913111225309406,-0.000111401024921682,0.970626043573412,0.175010472490998,-0.000636539064018262,0
DHH1,0.0127363507901526,0.00820762186972222,0.106887681225022,0.294422787846055,0.0278661669031454,0
DIG1,-0.028410491494837,-0.00948060047486315,0.0609172548977007,0.292567157492447,-0.0323878688212197,0
DEG1,0.000702246215885045,-0.00391667463002406,0.295452387294906,0.216544925096465,-0.0180841648776117,0
DIG2,-0.000457084435179159,-0.00122860822553803,0.377066288612093,0.0804577876191706,-0.0152684412996149,0
DSS1,-0.000759278294443122,0.00477723404487531,0.00884448968973198,0.105506367363543,0.0452327621995341,0
DPB3,0.00586031792805791,-0.000998502491860355,0.664188756084326,0.13304892674535,-0.00750456541669937,0
DST1,-0.00320797954854194,-0.00193072362760362,0.443533866850074,0.145757865114758,-0.0132449406193422,0
DUN1,0.00693824670107105,-0.00151731661068931,0.605374932666052,0.16987745526459,-0.00893147409121128,0
EBS1,-0.00752271908372918,0.00479515498770244,0.0147763668888792,0.113737748899627,0.0421223309395168,0
EDC1,-0.00634102462750191,-0.00491833931447795,0.0633134742953382,0.153177130127243,-0.0320922968131649,0
EFG1,0.00523797129197045,-0.00560526890325366,0.099973321262787,0.197080050342262,-0.0284300879288931,0
ELG1,0.00101929775533324,-0.00119040071759316,0.517772138160249,0.106467280465428,-0.0111802077763042,0
ELF1,-0.0148359521104031,0.0228751878247674,2.56704171826472e-08,0.237084115443975,0.0960395330273896,4.74608989759108
ELM1,0.00357750831981905,0.00154898681025428,0.656025478271822,0.201177508188916,0.00769937410632487,0
ERF2,0.0118351343337966,0.00064719835755484,0.740294698037912,0.112952033045939,0.00572975728028765,0
ERG2,0.0195541270147683,-0.00362624666115962,0.404234297737992,0.251490159198686,-0.0144175412960209,0
EST1,1.37103133107709e-05,-0.00252152182758699,0.155967176468618,0.102797367609405,-0.0245216746389281,0
EXO1,-0.0054799884519146,0.0049862971660515,0.0481320395741119,0.145920325402071,0.0341514349946341,0
FAB1,0.00707493344131978,0.000833536474560627,0.763352655556572,0.160152453423817,0.00520457331386621,0
FKS1,0.0300441612996507,-0.0182917849939362,2.26026111992265e-05,0.249378695305346,-0.0731529069338969,1.80136420971278
GEP3,0.0422495651454099,0.00557200739528104,0.354626821293177,0.348202210079778,0.0160001687420665,0
FIN1,0.00876869704168617,-0.000309524690827321,0.874500312721788,0.113366472403503,-0.0027302916866701,0
FRA2,-0.00113989836694984,-0.000693982968314957,0.668323385589615,0.0936996410485077,-0.00740626033217814,0
GAL80,-0.0040996754641723,0.000281725860276982,0.866619597412509,0.0970356436303075,0.00290331122019186,0
FUS3,-0.000762777799830094,0.00425726056835392,0.218380893228424,0.200065949666189,0.0212744699526,0
GCR2,0.00305787677566435,-0.0165811814838177,2.93739267179318e-05,0.22927046446602,-0.0721330931178659,1.68756081719564
GPA2,0.0195065401088465,0.00775756723661382,0.0245415413991779,0.19950582502307,0.0388545513236992,0
GPR1,0.0172944646046776,0.000780505505460933,0.869794460037692,0.275448053231954,0.00283357374612962,0
GPG1,-0.000378364673912215,-0.00514678132744101,0.0181935280166431,0.126018285944496,-0.040807523719964,0
GPH1,-0.0138759834200821,-0.00634147824531009,0.0169946234060988,0.153631640933056,-0.0412420435132432,0
GIS4,0.00301878405657331,-0.00482568973201749,0.0710691738666676,0.154619200635488,-0.0311949689198328,0
GTR1,0.0018428595626811,-0.000385761862563581,0.901944580690335,0.181127776245021,-0.0021297726702394,0
GSY2,0.00730047670043296,-0.00365803175263022,0.057174129976012,0.111229554538924,-0.0328694577867462,0
GSY1,0.00579283401133772,-0.00421542912036874,0.0127782299377838,0.0978939200107605,-0.043021326373694,0
HAP4,-0.000766050790311731,-0.0091629503405955,0.000141054910912265,0.139109329675334,-0.0657262689132457,1.00613461327396
HCR1,-0.00580427183389788,-0.00383033153557108,0.275195543230849,0.203047868868188,-0.0188608243616055,0
HFM1,0.00573515603953718,-0.00120883945463184,0.70095320756185,0.18209143625094,-0.00663849351014656,0
HHT1,-0.00135326296047477,-0.00431652195373582,0.00542362425584103,0.089746824376015,-0.0480411195571626,0
HNT3,-0.0021670153013843,0.00333620653607921,0.0910223891942844,0.114172495837717,0.0292082879408749,0
HOG1,-0.0102387555186993,0.00146559690394176,0.557627049255846,0.144586326208572,0.0101359627454432,0
HHF1,0.00133365510530965,-0.0030960392020194,0.0758546977679469,0.100864246248387,-0.0306806605775803,0
HOS3,-0.00302079946056225,0.000281903583521038,0.888386485187902,0.11619696979046,0.00242607663872282,0
HOM2,0.0252412140335548,-0.00431417993739223,0.225104240994384,0.205712732913591,-0.0209672559379479,0
HUR1,0.0299236144686749,-0.00399403268272607,0.382732511585954,0.264686286825054,-0.0150879673082386,0
KKQ8,-0.0034596683169549,0.00245142640304203,0.233039971126809,0.118901203952443,0.0206129582207374,0
INP52,-0.0282500590091893,-0.0027234319691714,0.402943053665111,0.188359427587119,-0.0144571863304187,0
IRC3,0.023227366731418,0.0033726475615449,0.466415402719369,0.26787036624288,0.0125895981677169,0
IRE1,-0.00454482962330068,0.00758326461402415,0.0272431934809916,0.198605523227218,0.0381547435395921,0
IRA2,-0.0639404363948702,-0.0169917914110404,0.0066091793956565,0.361724717629241,-0.0469226308843311,0
IPK1,0.0391863874800583,-7.3799144373491e-05,0.990719830960667,0.367046529107477,-0.000201062091667904,0
IRA1,-0.0260063738938632,-0.0121434327524766,0.00296159236653576,0.236235880692335,-0.0513360663484783,0
JJJ1,0.0132408711812445,0.00265248518976727,0.392277359322594,0.179352459676178,0.0147876152047497,0
IST3,0.0001209549874476,-0.00255421756878934,0.419623577537686,0.183070581244589,-0.0139507341081864,0
IRS4,-0.00454723509720382,-0.00121668331204807,0.618023719304866,0.141145257498271,-0.00861975905416827,0
JNM1,0.00912934771544014,0.000770161668849363,0.766858643055677,0.150269095363863,0.00512514933253478,0
KAR3,0.011345245034456,0.0143822749033529,0.000512525392783956,0.239268804408809,0.0600009794671302,0.445807437116261
RRD1,-0.00398524523700449,0.00104300565973253,0.62535452355024,0.1235688987187,0.00844038037089463,0
RRP8,0.00220394973382501,-0.0114071096077502,6.36224736842899e-06,0.145965455181915,-0.0779118242423536,2.35191227349505
RSA1,-0.0361728603242417,-0.0095450882556635,0.0744038708518043,0.309419429314127,-0.0308337128504888,0
RRP6,-0.00124942451483965,-0.0048373352419462,0.260316008892449,0.248576017928534,-0.0194565010567493,0
RRM3,-0.00428056341665334,-0.00236849952437838,0.290475173411374,0.129605877021779,-0.0182715798331291,0
RPB9,-0.0429851723376142,-0.00210380648416923,0.755961790024383,0.391592013536609,-0.00537236728750266,0
RNY1,0.034970627937862,-0.0046804529483371,0.361645003819026,0.296790198084804,-0.0157682803258936,0
RPA49,-0.0115728159685446,-0.00515150740888384,0.121495798982205,0.19241261882457,-0.0267636401237544,0
RPA14,-0.00672782131122277,-0.000717523682558178,0.749094928472959,0.129779191311934,-0.00552871927342341,0
RPA12,-0.00388885778846102,-0.00774576842962472,0.00632177399694842,0.164005617164212,-0.0471760927105791,0
RNR4,0.0125601530460407,0.00613283745111887,0.266972971211659,0.319573129902942,0.0191871840196544,0
RMI1,0.0154602009737933,0.00123597560468983,0.698742411245637,0.184743249473869,0.00669008447387287,0
RIM1,0.0213922094175823,-0.00234459445824626,0.669674169815936,0.317937128945425,-0.00737419601503773,0
RGP1,0.0384798264478914,-0.000315744303805487,0.960977164194612,0.373317931608605,-0.000845778260670598,0
RGT2,-0.00166170081903106,0.0117290254993502,1.76171203429844e-10,0.106013292098348,0.109966329689239,6.90958790322925
RIC1,0.0284455787001881,-0.00403652901296065,0.317615985643723,0.233638942403911,-0.0172742038641689,0
RIF1,-0.000609235626481633,-0.00333013105508654,0.00422805573009107,0.0673023341381112,-0.0494197119450654,0
REG1,0.0574228994149047,-0.0152633702024838,0.076321040022452,0.498048497092346,-0.030631971917822,0
REV3,-0.00147634198755001,0.00538063334382142,8.78049096036585e-05,0.0792717258865967,0.067720001268644,1.21200402413222
RCE1,-0.00308916177266468,-0.0100057349710126,2.45446624259307e-06,0.122639355323272,-0.0813164687327306,2.76556576082978
RAS2,0.00337737604408718,-0.00043692245522858,0.857932291793201,0.141198146587287,-0.00309437746868479,0
RAI1,0.0182885952990003,0.00235321096401823,0.642317244500375,0.293089123080085,0.00802873574213278,0
RAM1,0.0613232045697404,-0.0140089863637074,0.193283150142985,0.622865113774189,-0.0224855175622919,0
RAD57,0.0196390379331595,0.00350769891990106,0.234100666726861,0.170519961503025,0.0205662550198877,0
RAD54,0.00997741415681369,0.00110632956932663,0.714782740891962,0.175129428395886,0.0063170850546778,0
RAD50,0.0356015671568556,0.00550895535299098,0.261334782969123,0.283694195867839,0.0194149794342343,0
RAD55,0.00503905492515946,0.000828767612356378,0.657359680566043,0.108085642391105,0.00766746842606267,0
RAD52,0.0159512266254106,0.0106398667713149,0.0159322299911851,0.255236257742991,0.04165017217799,0
RAD27,0.00396954005808838,0.0155098731128411,8.92458629067793e-05,0.228732964332038,0.0676524228557655,1.20493473121687
RAD1,-0.0194230517141959,0.00145126649429667,0.624146414480714,0.171338276124267,0.00846987882741239,0
PUS7,-0.00952367328379338,0.00381680796337437,0.10196885793491,0.134986260891136,0.0282642327663601,0
PUF4,0.00284469182093968,0.00113519248081314,0.548392137516321,0.109415305378538,0.0103745210459252,0
PUS1,-0.0189433059521917,-0.00467884143855057,0.17666451557546,0.200303317560691,-0.0233524114989771,0
PUF6,0.0176814488051478,-0.00204871352459176,0.494374070622874,0.173422960641346,-0.0118125683969017,0
PUS9,0.00377282144216751,-0.0051247134570936,0.000920163056278964,0.0893869187465062,-0.0572378143510988,0.19165803150927
PUF3,0.00925758454429051,0.00947597786522793,8.35614670658759e-06,0.122841308529648,0.0769114999529546,2.2335167680894
PTK2,0.00407134547970289,-0.00314027499644557,0.0925395205120678,0.107970784047774,-0.0290721946234385,0
PTP3,-0.00822624082541386,-0.00454563053006089,0.0566556552510273,0.137929880045906,-0.0329382148596322,0
