,global,local
VPS25,85.6534573997756,1043.05564492395
OPI3,-3541.27406371569,-3216.0760134129
CHO2,-2467.75551449661,-1914.05727581268
CTK1,-2091.1655222785,-1792.27533703621
ELP3,207.14615399667,673.857156463712
NUP133,-860.596018778512,-149.249534954607
CTF8,2307.77194104787,2842.54112317466
DOA4,-74.0488986251273,316.49891851345
BRE2,859.294912720009,1278.88870971271
SWD1,996.628887313184,1161.58968887997
SPP1,1722.74215677725,1990.28611402131
SET1,944.023517010111,1102.35956680058
HFI1,-2229.81074204335,-1642.15099660134
SWD3,570.425011856006,818.909844601919
SDC1,1057.6190966319,1279.61303341817
BIM1,1416.16625300493,2143.20346480337
BUD13,637.893016428963,923.543462519264
BRR1,1793.76248491096,2392.5428724573
BUD22,313.284388056233,621.334833240014
BUD20,1261.33249591798,1880.6493759307
IBA57,-1319.57518314688,-850.500570171431
CAR2,2417.05276148017,3094.7634426734
SRV2,-2502.24672043919,-1619.15389692777
BUD21,1114.12792117204,1824.36050061249
CCE1,268.038878970549,655.280800906765
CDC40,-1177.87455325799,-953.840931841091
SSN3,-2178.92056740405,-1162.82874448369
CGR1,1105.2037489476,2000.75690410792
CHL1,3137.26367066897,3726.65818708991
CGI121,866.801336213141,1286.07856289529
CIN8,1479.32371463672,2088.37242528669
CKB1,953.830261311631,2081.76020711909
CKA2,-74.1122286196274,1106.18477549509
CLB5,1599.30193417927,2016.8825457855
CLB2,2411.05629702109,3151.43532356162
CKB2,368.641445241571,1397.51172768498
CLA4,2466.08426878742,3362.45248421735
CLB1,2005.6522247226,3005.12466841672
CLN3,1967.42677360831,2201.16089665993
CLN2,4145.90059387133,4543.77581162485
CSM1,1046.88182253565,2322.39032113848
CTF18,829.793366787572,1405.45537879661
CTF19,3361.27102560243,3945.1820011015
CSM3,3083.69006996896,3494.95708070684
CTF4,-35.0997156185544,420.491687836444
SSN8,-1545.18113829823,-385.648210312643
DCC1,1249.32645920494,1778.99451272256
DBR1,2108.41751593172,2344.24828539203
DCS1,1888.70554993777,2722.90550841485
DBP3,441.768256756827,1045.72061983075
DDR48,-Inf,3438.15912964718
DHH1,-760.837232478799,-449.956217822024
DIG1,-773.346322755292,24.5185790683315
DEG1,319.588472953571,897.022117788287
DIG2,3961.58753712948,4413.71481533947
DSS1,3065.76821275804,3564.73065505306
DPB3,2103.86086404975,2632.09351061294
DST1,1970.77839459865,2689.53968810183
DUN1,1491.84964980447,2501.5668111356
EBS1,2666.96262232987,3192.86944778733
EDC1,2226.80162463986,2780.37495823797
EFG1,537.505508928372,1191.35018422201
ELG1,3280.35490724874,3741.27599955373
ELF1,2.47622021497649,309.475496621835
ELM1,891.589061114697,1413.91198456702
ERF2,2712.18413346571,3522.24857541814
ERG2,101.903393951953,1033.6809392093
EST1,3105.51505637032,3555.81552693613
EXO1,2745.040715388,3370.95545990445
FAB1,1456.45455854602,2458.94438290704
FKS1,-73.6256728397087,546.271008157203
GEP3,-1427.09355830078,-960.56684680167
FIN1,3095.34311262169,3763.50235380169
FRA2,3436.07724175445,5206.80403449733
GAL80,4423.825585686,4571.1586963901
FUS3,785.095998523722,1385.5647408465
GCR2,76.9075479105861,719.100033428159
GPA2,734.572912522885,1802.14443859603
GPR1,-224.25199816858,556.600490394878
GPG1,2275.63087249783,2447.38733941535
GPH1,1709.52595803581,2613.686009007
GIS4,2307.33379340961,3090.01421279201
GTR1,785.301170218028,2115.52174716452
GSY2,2419.7591270846,3035.06882245173
GSY1,3213.88955254783,3510.17032934409
HAP4,2227.44876069753,2414.80349978559
HCR1,495.003609955809,1057.98527103304
HFM1,1003.63328032521,1526.96413979652
HHT1,3852.76186050009,4154.32924681054
HNT3,2865.63545333633,3358.77915406296
HOG1,1820.39122863039,3193.26824376174
HHF1,3417.11681417108,3720.70178487222
HOS3,2521.77409564196,3482.0571109995
HOM2,808.196071097581,1914.26410400393
HUR1,-305.205914199297,389.688410907363
KKQ8,2505.7201948781,3260.3905614241
INP52,718.678078272084,1538.21404485351
IRC3,-468.465958266438,-52.6282857565084
IRE1,598.19477066609,890.083936461042
IRA2,-1493.63280341268,-1278.18144734783
IPK1,-1515.39347772472,-669.483556056667
IRA1,-59.5104552526541,854.207346194531
JJJ1,859.34957776713,1288.17962557071
IST3,838.565781622499,1110.34041561808
IRS4,2384.56049902059,3049.84118647632
JNM1,1667.41574954563,2252.88894496432
KAR3,-160.366478787166,954.185843657384
RRD1,2420.89626022692,2843.54936379321
RRP8,1915.84702468545,2464.08642530315
RSA1,-1044.50914794127,-536.7022248793
RRP6,91.4954298401495,482.860418170245
RRM3,2451.72895009566,2873.10567717729
RPB9,-1678.11760124939,-1393.31621890117
RNY1,-612.02242351692,-18.3607949564427
RPA49,776.251624272311,1275.31954088992
