"","cor","beta","pval_beta","adjp_beta","ratio"
"KAR3"," 0.4195358"," 0.23100381","6.27268e-140","136.48654","0.0609043"
"RPS0B","-0.5088136","-0.14175870"," 1.05909e-97"," 94.25906","0.1290611"
"SYC1"," 0.3717279"," 0.10656998"," 2.12722e-80"," 76.95618","0.1312804"
"RAD6"," 0.4248195"," 0.14282977"," 3.00890e-73"," 69.80559","0.2226777"
"MGA2"," 0.3090405"," 0.14489291"," 1.42882e-72"," 69.12902","0.1266072"
"RCE1"," 0.3271745"," 0.05629961"," 9.36704e-69"," 65.31239","0.1704926"
"UAF30","-0.2679012","-0.09885265"," 1.66470e-52"," 49.06266","0.1322026"
"DAL81"," 0.3296566"," 0.08402481"," 3.31465e-49"," 45.76356","0.1707049"
"SFP1","-0.2897348","-0.16727734"," 1.74628e-48"," 45.04188","0.2902641"
"NPL6"," 0.2984798"," 0.13484991"," 2.26280e-46"," 42.92935","0.1991693"
"MRN1"," 0.1958647"," 0.02332020"," 3.97148e-30"," 26.68504","0.9176550"
"YDR306C","-0.1758316","-0.01404122"," 2.26205e-25"," 21.92949","0.9383167"
"PDE2"," 0.1720408"," 0.02061319"," 4.81132e-24"," 20.60173","0.9229296"
"YPR153W"," 0.1675474"," 0.01115457"," 5.29034e-23"," 19.56051","0.8876278"
"UPF3"," 0.1647364"," 0.02848677"," 2.24764e-22"," 18.93227","0.7987392"
"AZF1"," 0.1622748"," 0.01488964"," 3.97538e-21"," 17.68462","0.9231930"
"CAC2"," 0.1559289"," 0.02295137"," 1.10773e-20"," 17.23956","0.8954712"
"MEI5"," 0.1545728"," 0.01296867"," 5.06123e-20"," 16.57974","0.9229067"
"ATG23"," 0.1569666"," 0.01213089"," 1.07040e-19"," 16.25445","0.9079028"
"CLB1"," 0.1525791"," 0.01286025"," 3.61710e-19"," 15.72564","0.9329849"
"NUP60","-0.1568124","-0.02487886"," 4.95605e-19"," 15.58886","0.9263521"
"RAM1","-0.1534844","-0.06070571"," 3.38264e-18"," 14.75474","0.8970952"
"CAF40","-0.1514218","-0.01969084"," 4.52656e-18"," 14.62823","0.9380243"
"SSN3","-0.1437146","-0.03781579"," 7.96153e-18"," 14.38300","0.9075199"
"MUM2"," 0.1449708"," 0.01126826"," 1.00909e-17"," 14.28007","0.9376433"
"FKH1"," 0.1436816"," 0.01081984"," 1.65552e-17"," 14.06506","0.9063922"
"YBR285W"," 0.1386580"," 0.01916661"," 1.85862e-17"," 14.01481","0.9272914"
"DDR48"," 0.1420697"," 0.01041438"," 2.71320e-17"," 13.85051","0.9389833"
"YLR352W","-0.1419981","-0.01351670"," 7.84412e-17"," 13.38945","0.9463767"
"PUS1"," 0.1376636"," 0.01771241"," 9.39001e-17"," 13.31133","0.9261669"
"ELP4"," 0.1399796"," 0.02320581"," 1.22756e-16"," 13.19495","0.9091539"
"RAD1"," 0.1426452"," 0.01589816"," 1.51957e-16"," 13.10228","0.9299571"
"NUP133","-0.1413226","-0.02866195"," 3.00002e-16"," 12.80687","0.9263246"
"SET4"," 0.1345040"," 0.01451883"," 5.74247e-16"," 12.52490","0.8979460"
"HOS3"," 0.1367013"," 0.01019576"," 7.42401e-16"," 12.41336","0.9358987"
"MED1","-0.1353115","-0.02035275"," 7.45173e-16"," 12.41174","0.9297020"
"MDS3"," 0.1361508"," 0.01978288"," 1.57713e-15"," 12.08613","0.8872413"
"YJL206C"," 0.1351832"," 0.01026384"," 1.96188e-15"," 11.99132","0.9085645"
"SAM4"," 0.1333360"," 0.01950937"," 2.35836e-15"," 11.91139","0.9310537"
"SAC3","-0.1354383","-0.02633359"," 2.83203e-15"," 11.83190","0.8774953"
"ELC1","-0.1273750","-0.01006692"," 1.51032e-14"," 11.10493","0.9360404"
