,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25, 1.88404e-01, 7.94802e-02,2.59902e-22,-0.036922956,-4.37515e-03, 6.32299e-02, 0.187973354, 1.04364e-01,7.84362e-03,-2.98522e-02,-4.25609e-03,8.09810e-02,1.88692e+01,  0.0000000,0.00000e+00, 0.0000000,0.08969925,0.91030075
OPI3,-4.59325e-02,-1.55195e-02,3.75041e-02, 0.108695666, 8.38164e-02, 2.85414e-07,-0.032029770,-1.44533e-02,6.54380e-02, 1.34412e-01, 1.36060e-01,1.82724e-02,0.00000e+00,  3.8285214,0.00000e+00, 0.0000000,0.82196652,0.17803348
CHO2, 2.15496e-01, 1.50956e-01,1.04851e-31,-0.027618784,-5.40974e-03, 3.02502e-01, 0.237446803, 1.78106e-01,8.14671e-05,-1.96708e-02,-6.24871e-03,2.55244e-01,2.82634e+01,  0.0000000,1.37301e+00, 0.0000000,0.13497591,0.86502409
CTK1,-1.27518e-01,-3.03737e-02,2.45296e-11, 0.091147885, 3.52488e-02, 9.97109e-04,-0.116415244,-3.08870e-02,6.88099e-11, 8.97401e-02, 6.94239e-02,4.57605e-02,7.89431e+00,  0.2852542,7.44635e+00, 0.0000000,0.73872930,0.26127070
ELP3,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.02086483,0.97913517
NUP133, 1.80256e-01, 6.29690e-02,1.16735e-12,-0.141322633,-2.86619e-02, 3.00002e-16, 0.129113988, 6.87118e-02,1.07045e-01,-1.29512e-01,-2.73579e-02,2.04721e-14,9.21680e+00, 12.8068732,0.00000e+00,10.9728333,0.07367536,0.92632464
CTF8, 6.39442e-02, 2.08884e-02,8.44286e-07, 0.022362329, 2.51803e-03, 1.08858e-01, 0.102970414, 2.95674e-02,2.73479e-01, 2.84119e-02, 2.72789e-03,9.27451e-02,3.35751e+00,  0.0000000,0.00000e+00, 0.0000000,0.06474300,0.93525700
DOA4, 4.27824e-03, 1.26603e-03,6.60836e-01, 0.126223297, 3.89193e-02, 4.09100e-10, 0.012969597, 2.25737e-03,4.53744e-01, 9.42542e-02, 3.52187e-02,1.16894e-01,0.00000e+00,  6.6721676,0.00000e+00, 0.0000000,0.84801622,0.15198378
BRE2, 3.72050e-02, 5.71798e-03,1.89177e-02, 0.137265833, 5.19339e-02, 1.48086e-18, 0.041409818, 6.11879e-03,1.43687e-02, 1.90536e-01, 7.36337e-02,3.47770e-02,0.00000e+00, 15.1134840,0.00000e+00, 0.0000000,0.93111049,0.06888951
SWD1,-8.31621e-02,-5.99182e-03,2.44421e-01, 0.027715706, 4.80213e-03, 5.80559e-02, 0.002904982, 1.03662e-03,9.75310e-01, 2.92818e-02, 4.52799e-03,8.32141e-02,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.09240823,0.90759177
SPP1,-1.48588e-01,-2.74152e-02,9.13200e-11, 0.017880702, 1.93919e-03, 3.39137e-01,-0.161790450,-4.04167e-02,9.12898e-02, 1.83808e-02, 2.26345e-03,2.76502e-01,7.32343e+00,  0.0000000,0.00000e+00, 0.0000000,0.07087667,0.92912333
SET1, 1.83391e-02, 3.21628e-03,2.33136e-01, 0.097891069, 2.17649e-02, 3.77347e-05, 0.015205122, 2.49761e-03,3.65171e-01, 1.05607e-01, 3.96936e-02,3.91384e-01,0.00000e+00,  1.7072555,0.00000e+00, 0.0000000,0.94289021,0.05710979
HFI1, 5.82839e-02, 2.58591e-02,3.30325e-02, 0.003478674, 2.80005e-03, 5.57793e-01,-0.010023633,-8.38410e-03,8.65972e-01, 1.93087e-02, 5.56674e-03,2.65244e-01,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.14850138,0.85149862
SWD3, 7.28094e-02, 1.26199e-02,5.72794e-06, 0.046963960, 2.26397e-02, 1.90982e-04, 0.073281379, 1.24060e-02,1.43099e-05, 7.26119e-02, 3.22118e-02,4.34566e-01,2.52600e+00,  1.0030034,2.12836e+00, 0.0000000,0.91801746,0.08198254
SDC1, 6.99595e-02, 1.77669e-02,1.65860e-03,-0.008125227,-6.33650e-04, 7.98507e-01, 0.036653063, 1.64205e-02,7.22934e-01,-1.56530e-03,-2.34704e-04,9.26023e-01,6.42560e-02,  0.0000000,0.00000e+00, 0.0000000,0.06733894,0.93266106
BIM1,-1.00920e-02,-7.64944e-04,6.79973e-01, 0.037521509, 2.28938e-02, 7.97287e-07,-0.013212876,-1.47196e-03,4.38113e-01, 1.78257e-01, 5.09308e-02,1.96674e-02,0.00000e+00,  3.3823819,0.00000e+00, 0.0000000,0.92065086,0.07934914
BUD13,-2.42579e-01,-5.74546e-02,3.14567e-23, 0.058028197, 7.20270e-03, 5.83496e-03,-0.196075075,-8.34330e-02,1.32493e-02, 4.48459e-02, 7.07222e-03,8.35136e-03,1.97863e+01,  0.0000000,0.00000e+00, 0.0000000,0.10338862,0.89661138
BRR1,-1.13476e-01,-2.03711e-02,7.21940e-06, 0.013023194, 9.25877e-04, 5.56435e-01,-0.071351403,-2.28145e-02,2.58167e-01, 8.53183e-03, 8.07818e-04,6.20832e-01,2.42550e+00,  0.0000000,0.00000e+00, 0.0000000,0.12707499,0.87292501
BUD22,-9.38944e-02,-1.88145e-02,3.07774e-10,-0.383676241,-1.52418e-01, 1.51714e-94,-0.107652764,-1.95661e-02,1.49317e-10,-4.19719e-01,-2.26080e-01,2.54172e-05,6.79576e+00, 91.1029706,7.10989e+00, 1.8788694,0.94084601,0.05915399
