,int,beta,pval,sigma,cor,adj_pval
VPS25,-0.00874939155840311,0.00849160968130908,0.0302533297343823,0.235538954007024,0.0360284211699045,0
OPI3,0.0216467543627443,0.00714938008759727,0.503196994375213,0.642020987086651,0.011135051647942,0
CHO2,0.0383142408794045,0.0254530866077314,0.00135143943774792,0.477146199898785,0.0532686810162565,0.0247262358852894
CTK1,-0.0540551657153939,-0.00919052619156266,0.198815449234168,0.429966059227709,-0.0213701225483763,0
ELP3,0.0024765310222585,0.00444569975578895,0.24063356205215,0.227758749994008,0.019515619408736,0
NUP133,0.00106599180290408,-0.0137092178406451,0.00709395720397375,0.305970287560581,-0.0447608088009712,0
CTF8,-0.000603489810493502,0.00426230348636958,0.0443827971840904,0.12742427816466,0.0334309994849223,0
DOA4,0.0120701381652357,0.0101998376370049,0.0127756470752834,0.246171777215679,0.0413983018866447,0
BRE2,-0.00840927578195468,0.0106540431251599,0.000764536736159612,0.190182843411668,0.0559323054818558,0.272124466058503
SWD1,-0.00980348902394774,0.00303594032963066,0.318863965341705,0.183097155269117,0.0165787560957639,0
SPP1,-0.00411588472354965,-0.00144709309962091,0.561387034603962,0.14979486200379,-0.0096600481474164,0
SET1,-0.0107637409633583,0.00554728912424656,0.0726894241025975,0.185779565337971,0.0298462202223814,0
HFI1,-0.0275549160032237,0.0128513677288531,0.083803884131257,0.446767276356818,0.0287533461926621,0
SWD3,-0.00808974934315068,0.0140879003646225,4.0111312481438e-05,0.205994700836977,0.0682302500024655,1.55225595149929
SDC1,-0.00693845430927674,0.00131287917093655,0.661086048424378,0.180035637397693,0.00729213550781497,0
BIM1,0.0035065283411385,0.000757070074402141,0.780123484306254,0.163045041441311,0.00464326855003994,0
BUD13,-0.00748561634605583,-0.00314664690890708,0.349478640656313,0.202187890431739,-0.0155610996399189,0
BRR1,-0.00805145942292286,-0.00384035485138926,0.116035140074806,0.146882305620766,-0.0261368642694152,0
BUD22,-0.0145510100483605,-0.0311427063410652,3.64081792360958e-17,0.221172442945949,-0.139431899666727,13.5943238637353
BUD20,0.0085987670523644,0.00175486060138462,0.535290714081279,0.170176089611856,0.0103114797661244,0
IBA57,0.00436323412208124,0.0226847626943598,8.78185847034088e-05,0.347367391077743,0.0651660040131485,1.21193639058015
CAR2,-0.00610931935228246,0.00966999812549781,2.6630244630596e-06,0.123631971540044,0.0779778382320009,2.73014766828365
SRV2,0.0322362858862462,-0.0198386495513647,0.0133269841858898,0.481717962503907,-0.0411482419139516,0
BUD21,-0.0058562972929743,-0.00899628171877658,0.00229192204025267,0.177244776796389,-0.0506910055271185,0
CCE1,0.013495641484091,0.00545372092495642,0.143241916668998,0.223956493640584,0.024344480987006,0
CDC40,-0.0160789174733774,0.0211078093807804,0.00014739582200585,0.334021945803619,0.063067083223559,0.987037650809444
SSN3,0.0328993980193745,-0.0321921594237915,1.14620343240004e-05,0.44052539988766,-0.0728823939211797,2.09626111960025
CGR1,-0.00154932275231794,-0.00465375533167341,0.115400740758114,0.17768263022473,-0.026182412620193,0
CHL1,-0.000171638740880058,-0.00253060985856754,0.133225001821985,0.101310582830571,-0.0249709426846118,0
CGI121,-0.00807038428158419,-0.00232122084209534,0.462167390317477,0.189788562893654,-0.0122296476370988,0
CIN8,0.00270547739855766,0.00237548998740926,0.372762421058923,0.160222777666389,0.0148245398096959,0
CKB1,-0.0195765137317907,-0.00734162883493654,0.0172486710636416,0.18527654485621,-0.0395941744953091,0
CKA2,0.00737164729034002,0.00346014454375517,0.398116991475824,0.246176087471079,0.0140541790172887,0
CLB5,0.00697124839996625,0.00502506022296499,0.0513377475212777,0.154995264239672,0.0324037085731468,0
CLB2,-0.00238771840734808,0.0053132704153897,0.0099284202828845,0.123837105516462,0.0428658811483862,0
CKB2,-0.0191642832136632,-0.00747817450045426,0.0390637726242734,0.217813239024187,-0.034312748701494,0
CLA4,-0.00454664704541927,-0.00395537570959789,0.0512727459788428,0.121967343367372,-0.0324127534643455,0
CLB1,-0.0145959493077454,0.00850830215286756,0.000224974792677946,0.13852488692211,0.0613052194980571,0.803388963983622
CLN3,-0.00364671658594194,-0.00574287285994007,0.0136934537160678,0.139996619176022,-0.0409870397766658,0
