,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.0896992468116311,0.0375565853803294,0.0794802327384933,0.646499613680013,0.910300753188369,-0.0126736845966387,-0.00437514598374868,0.136163973680524,Y
OPI3,0.821966522725111,-0.0634411015693013,-0.0155195402323905,0.433445880206667,0.178033477274889,0.414897216910153,0.0838163938378316,1.11780686586075,Y
CHO2,0.134975908006234,0.465730112070102,0.150955582130864,0.923846514194581,0.865024091993766,-0.0284713905643685,-0.00540974212103686,0.304085638078172,Y
CTK1,0.738729299923475,-0.0541848411298642,-0.0303736731739396,0.260989404526135,0.261270700076525,-0.0556959578224886,0.0352487767176645,0.714978059053892,Y
ELP3,0.0208648298653817,0.00943643372773702,0.0323498553689401,0.94735188448444,0.979135170134618,0.00233944085914677,0.00282568043687396,0.183828639065565,Y
NUP133,0.0736753565395646,0.456178780580767,0.0629689790982955,0.71437371887762,0.926324643460435,-0.0356698689777493,-0.0286619468678768,0.202880577409418,Y
CTF8,0.0647430039741482,0.0507417406227445,0.0208883584614358,0.357682572577923,0.935256996025852,-0.00392665527068478,0.00251803065559473,0.0910291296017082,Y
DOA4,0.848016216039882,-0.018551289695172,0.00126603072895787,0.165382216621141,0.151983783960118,0.182545654603337,0.038919309704593,0.458230008366223,Y
BRE2,0.931110491478669,0.00059477595347959,0.005717982867034,0.141441152258913,0.0688895085213312,-0.135541017882438,0.0519339419752837,0.484687899471465,Y
SWD1,0.0924082279042922,-0.0900976499710387,-0.00599181568355049,0.371349612907009,0.907591772095708,-0.00158415551972917,0.00480212797552475,0.148803191505009,Y
SPP1,0.0708766703022995,-0.17201105647287,-0.0274152141033932,0.31241115004351,0.929123329697701,0.00873141571988751,0.00193919061941099,0.119507467453778,Y
SET1,0.942890206786906,-0.0150779500404524,0.00321628140573897,0.15782164063144,0.0571097932130938,0.058913184653981,0.0217648728231086,0.432462932098068,Y
HFI1,0.148501379143639,-0.215729204227698,0.02585910995427,0.940290940311276,0.851498620856361,0.00578769524680208,0.00280004766407827,0.269498408914466,Y
SWD3,0.918017461816109,-0.00882209915661997,0.012619922174126,0.161667125481665,0.0819825381838909,-0.000970881170930732,0.022639706708131,0.473887656810321,Y
SDC1,0.0673389356311594,-0.123176302157654,0.0177668519564965,0.410004406638747,0.932661064368841,0.0014757067897218,-0.000633649645757195,0.14670800895114,Y
BIM1,0.92065085810383,-0.0138293248575914,-0.000764944303085133,0.106196368275662,0.0793491418961704,0.207826974631956,0.0228937732106023,0.398768183728184,Y
BUD13,0.103388618979882,-0.121151839776887,-0.0574546052472236,0.415163115403673,0.896611381020118,0.00600665212794785,0.00720269753121084,0.152869637093745,Y
BRR1,0.127074988338066,-0.0701493678282905,-0.0203710932715386,0.327237466134634,0.872925011661934,0.00127554405822826,0.000925877447428678,0.0914649492716614,Y
BUD22,0.940846012576317,-0.00588447814499844,-0.0188144730273947,0.176039621672745,0.0591539874236834,-0.151435045607822,-0.152417775817426,0.53712237943954,Y
BUD20,0.0937010802852263,0.156983270315304,0.0344610027002276,0.399076843544887,0.906298919714774,-0.00704151998097713,-0.00630877059991176,0.11237273669855,Y
IBA57,0.133815279825135,0.160284409180438,0.0788463788156179,0.728151203444705,0.866184720174865,-0.01999693625174,0.00917055936231223,0.228244290255014,Y
CAR2,0.922669252064418,-0.0106437703542327,0.0104849985372743,0.0814584434298741,0.0773307479355821,0.0480206081441963,0.0038467173044364,0.339403457536117,Y
SRV2,0.871796850833175,-0.0690263003257834,-0.0325792503796094,0.269448564664767,0.128203149166825,0.720317157541501,0.0251219339451581,0.876284214905477,Y
BUD21,0.954387101957308,-0.00260225598765131,-0.00643986791506797,0.123608285560743,0.0456128980426924,-0.0703869036791921,-0.0268099487342163,0.602712068265423,Y
CCE1,0.84359764932613,-0.0111602910195264,0.000380173688749159,0.149760335675473,0.15640235067387,0.145588384686891,0.0181764672451697,0.422364568142059,Y
CDC40,0.0902052490397811,-0.198261603222563,0.0194242084329511,0.705432082385338,0.909794750960219,0.00198370322048995,0.0213245086694253,0.263896852608717,Y
SSN3,0.907519927750976,-0.0318414222760988,-0.0378157912871343,0.250575059829088,0.092480072249024,0.668674911267176,-0.00119340029193003,1.01722173126168,Y
CGR1,0.0399247584483445,0.12578182066128,0.00833374198939927,0.659693843630206,0.960075241551656,-0.00682127470417369,-0.00540174741805207,0.118608427228801,Y
CHL1,0.922146789499416,-0.00982016306902739,-0.00181660204031762,0.0695004647033712,0.0778532105005844,0.114539922935573,0.00146863108975705,0.245776159222662,Y
CGI121,0.052023564373382,0.0124802127113303,0.0378846512361353,0.550232287747467,0.947976435626618,-0.00933020024921691,-0.00757799912072284,0.145330370976816,Y
CIN8,0.112698321845505,0.151542829744719,0.032202176503056,0.345870993973446,0.887301678154495,-0.0156974763190069,-0.00188347197327945,0.102468394556358,Y
CKB1,0.0758551421779466,-0.22096267494994,-0.0138087466576017,0.524390224998839,0.924144857822053,-0.0029409410050947,-0.00403041700711293,0.104476170475724,Y
CKA2,0.90355235466193,-0.0171382657761464,-0.00657931874715572,0.12959365352607,0.0964476453380696,0.237280803402753,0.0565100410022683,0.63788016367916,Y
CLB5,0.905263720822862,-0.0105972100255036,-2.39922459557741e-05,0.111618817535073,0.0947362791771385,0.178063944136802,0.0451268975752187,0.31717006139883,Y
CLB2,0.064240380056489,0.0246409008805973,0.0301958876488917,0.372291974616303,0.935759619943511,-0.00381210480388831,0.00197042527796834,0.0820904276623211,Y
CKB2,0.933775784221727,-0.00254496518892779,-0.00349531138103299,0.130236054913581,0.0662242157782726,-0.251244056133524,-0.0240886234960427,0.646370932161102,Y
CLA4,0.969024474230857,-0.00441775113707327,-0.00186857355207612,0.0832706483058372,0.0309755257691427,-0.0203663663958659,-0.0324549771760845,0.511089941990608,Y
CLB1,0.0670150919542373,-0.217513671565826,-0.0163494013432846,0.377092666865456,0.932984908045763,0.000136005966401139,0.0128602499110554,0.0838320540044378,Y
CLN3,0.767900689177501,-0.0158322920912155,-0.00555006684020219,0.093343364624874,0.232099310822499,0.0367423154122191,-0.00412923054033843,0.231242572655268,Y
CLN2,0.890548887654729,-0.00485234037201658,-0.000736527244176691,0.054394935145826,0.109451112345271,0.0382073099799205,-0.0285437234443698,0.163778480940154,Y
CSM1,0.0704722490724604,0.366729743689812,0.0603540269185163,0.446228815921195,0.92952775092754,-0.00678539569837308,0.00559522336236899,0.0988115952983865,Y
CTF18,0.12372767286908,0.23304207408328,0.0175103276959966,0.362380730431987,0.87627232713092,-0.0245425039316016,9.13320936627214e-06,0.123282717801806,Y
CTF19,0.925856759485184,-0.00877892118394551,-0.000206459206166021,0.0663502837060538,0.0741432405148162,0.148322079466726,0.0210248637221132,0.209307647031587,Y
CSM3,0.993608310040328,0.00524188773387283,-0.00388260560701954,0.088317542763779,0.00639168995967153,-0.249961539798814,0.0894512903140843,0.581206388122776,Y
CTF4,0.13162889645697,0.239516486668451,0.0405282979417935,0.456415897039932,0.86837110354303,-0.0332043070837364,-0.0031520553142346,0.163333126040137,Y
SSN8,0.91287576616055,-0.0246723440074611,-0.0257141786331539,0.201446777710496,0.0871242338394505,0.550100051492294,-0.0132178475980204,0.917669925828903,Y
DCC1,0.911231063507828,-0.00787575914953302,-0.000804115017939659,0.118194768257295,0.0887689364921717,0.238568058811466,0.0193866474238388,0.359723215508783,Y
DBR1,0.878353664004396,-0.0101437550777069,-0.00450094634580164,0.102214862705827,0.121646335995604,0.088414402368872,-0.0349178146457968,0.252640988934999,Y
DCS1,0.0930558182067479,0.0366214489064487,0.00392642964066826,0.38146031258686,0.906944181793252,-0.0115338307206058,-0.000816618411912282,0.0861349419088208,Y
DBP3,0.926525462681812,-0.0138839712868115,-0.00897095453501393,0.146883417817449,0.0734745373181882,0.214833169313119,0.0173590224041445,0.545570565179887,Y
DDR48,0.061016682213853,-0.121268427845838,0.0216502078813717,0.545309097186882,0.938983317786147,-0.00215875249002318,0.0104143795337192,0.0714249406157294,Y
DHH1,0.0667655271736524,0.170606770397066,-0.0664105404207034,0.733363466983428,0.933234472826348,0.00280341880987997,-0.00726616200567789,0.232745912270694,Y
