,global,local
VPS25,86.3601478175607,1042.42145455247
OPI3,-3538.99065212169,-3214.40925073042
CHO2,-2461.21177693394,-1910.03167744712
CTK1,-2091.30679699307,-1793.82689047713
ELP3,207.405945073572,674.145952093187
NUP133,-861.764463740734,-151.256270735109
CTF8,2309.13439926893,2843.77209291276
DOA4,-71.3630970753287,318.814286236638
BRE2,858.574730262632,1279.05934226951
SWD1,996.210960118205,1161.08075549099
SPP1,1724.27533690373,1991.14335115393
SET1,945.004883971969,1103.43047289998
HFI1,-2230.80339984472,-1641.43153985401
SWD3,570.095687283097,818.554825515506
SDC1,1057.74003912941,1281.42106223973
BIM1,1416.94642799586,2143.72479514389
BUD13,637.770844601892,922.650963166591
BRR1,1792.53524591209,2391.86019446904
BUD22,315.420963615855,626.687104638671
BUD20,1261.60483710078,1879.17093693612
IBA57,-1313.28090020115,-844.683235377245
CAR2,2425.14639983185,3099.94312676465
SRV2,-2503.2959976792,-1619.3406426026
BUD21,1113.44383230192,1824.38260732641
CCE1,269.991125967077,658.295418935151
CDC40,-1171.29192671839,-946.063842819281
SSN3,-2176.54979446635,-1151.64151521288
CGR1,1104.34658440784,1999.40621549305
CHL1,3136.42552544659,3726.48972528841
CGI121,867.901355138768,1288.77337903131
CIN8,1481.20014191066,2089.46976460546
CKB1,955.974777577586,2085.29478714725
CKA2,-73.9585477697524,1105.95740246205
CLB5,1601.19960828035,2018.00399121279
CLB2,2411.95292319648,3152.43484609653
CKB2,370.316004030413,1399.92883653854
CLA4,2464.42897579574,3361.3859465403
CLB1,2005.91433624328,3004.46533852419
CLN3,1967.12954810006,2201.10206137999
CLN2,4142.95464446228,4541.49809837462
CSM1,1050.801988823,2327.71696036765
CTF18,831.497584444707,1407.64979552849
CTF19,3364.00941412944,3946.56143124919
CSM3,3083.78809919001,3495.96830618277
CTF4,-32.8161750505017,421.685357170501
SSN8,-1542.09583407421,-373.422378681395
DCC1,1250.91733732331,1780.41785178837
DBR1,2108.06858171743,2345.44798833678
DCS1,1888.68461471492,2722.82338043454
