"","cor","beta","pval_beta","adjp_beta","ratio"
"KAR3"," 0.4303678"," 0.24713612","5.30922e-133","129.55564","0.0599993"
"RCE1"," 0.3916453"," 0.06075539"," 1.43975e-81"," 78.12238","0.1693319"
"RPS0B","-0.4819468","-0.11479633"," 5.52651e-81"," 77.53822","0.1565575"
"SYC1"," 0.3757784"," 0.10237170"," 3.74686e-75"," 71.70700","0.1316194"
"DAL81"," 0.3767040"," 0.09324680"," 3.26883e-58"," 54.76628","0.1702014"
"NPL6"," 0.3417200"," 0.15554312"," 1.63655e-55"," 52.06674","0.1966187"
"UAF30","-0.2960448","-0.10643082"," 1.05426e-52"," 49.25772","0.1313119"
"SFP1","-0.3077943","-0.17555204"," 4.36302e-50"," 46.64088","0.2794258"
"RAD6"," 0.3181113"," 0.10430237"," 2.12731e-35"," 31.95284","0.2097927"
"UPF3"," 0.2114789"," 0.03547644"," 7.54397e-35"," 31.40307","0.7947430"
"MRN1"," 0.2084061"," 0.02463111"," 8.17865e-35"," 31.36799","0.9184505"
"ITT1"," 0.2195179"," 0.03588667"," 4.12079e-32"," 28.66569","0.3762036"
"YDR306C","-0.1925469","-0.01481682"," 2.25422e-29"," 25.92767","0.9352867"
"PDE2"," 0.1840687"," 0.02208477"," 2.34957e-28"," 24.90968","0.9253354"
"YPR153W"," 0.1807257"," 0.01215393"," 1.82508e-27"," 24.01939","0.8901507"
"CAC2"," 0.1755246"," 0.02621300"," 2.18716e-27"," 23.94079","0.9015175"
"SER2"," 0.1659333"," 0.01258325"," 3.93363e-24"," 20.68588","0.9393189"
"SSN3","-0.1626284","-0.04220430"," 9.59755e-23"," 19.29851","0.9078512"
"MEI5"," 0.1656345"," 0.01373825"," 1.13015e-22"," 19.22753","0.9223218"
"ELP4"," 0.1602655"," 0.02654279"," 1.58969e-21"," 18.07936","0.9107121"
"SAM4"," 0.1576582"," 0.02244548"," 1.00898e-20"," 17.27678","0.9320581"
"DDR48"," 0.1563701"," 0.01133728"," 1.52252e-20"," 17.09811","0.9388356"
"MUM2"," 0.1553883"," 0.01201148"," 3.16004e-20"," 16.78098","0.9378268"
"FKH1"," 0.1539376"," 0.01140594"," 8.62583e-20"," 16.34487","0.9067427"
"AZF1"," 0.1520043"," 0.01416379"," 1.45271e-19"," 16.11849","0.9245525"
"SSN8","-0.1509333","-0.03117798"," 1.52438e-19"," 16.09757","0.9135288"
"RAD1"," 0.1540842"," 0.01718700"," 1.59783e-19"," 16.07714","0.9306975"
"ATG23"," 0.1520812"," 0.01180253"," 5.45213e-19"," 15.54410","0.9094984"
"RAM1","-0.1572075","-0.06123208"," 6.00969e-19"," 15.50182","0.8952951"
"SRB8","-0.1480364","-0.03043077"," 7.19024e-19"," 15.42393","0.9088610"
"YBR285W"," 0.1438397"," 0.01972341"," 1.10297e-18"," 15.23811","0.9270714"
"SET4"," 0.1450067"," 0.01563745"," 1.32823e-18"," 15.15739","0.8983729"
"PUS1"," 0.1470243"," 0.01846135"," 2.02881e-18"," 14.97343","0.9242458"
"CLB1"," 0.1483040"," 0.01241198"," 3.72613e-18"," 14.70941","0.9331758"
"YJL206C"," 0.1463502"," 0.01106536"," 4.35636e-18"," 14.64155","0.9092677"
"IRA2"," 0.1451931"," 0.03946076"," 4.52072e-18"," 14.62546","0.8326218"
"ELP6"," 0.1478132"," 0.03120887"," 1.60903e-17"," 14.07410","0.9161144"
"LCB5"," 0.1408041"," 0.01478385"," 1.13143e-16"," 13.22704","0.9495782"
"GPB2"," 0.1322357"," 0.01372606"," 4.93376e-16"," 12.58749","0.9077588"
"SFL1"," 0.1393989"," 0.01822467"," 6.43048e-16"," 12.47243","0.9376063"
"ATG32"," 0.1385375"," 0.01107396"," 7.35105e-16"," 12.41432","0.9133952"
"MED1","-0.1337880","-0.02016162"," 8.11215e-16"," 12.37153","0.9293707"
"UTP30"," 0.1354035"," 0.01545668"," 1.18154e-15"," 12.20822","0.9184019"
"MMS1"," 0.1315260"," 0.01547955"," 2.15100e-15"," 11.94803","0.9063413"
"CAR2"," 0.1375014"," 0.01099119"," 2.27896e-15"," 11.92293","0.9224976"
"VPS71","-0.1413192","-0.01444042"," 4.21559e-15"," 11.65581","0.8842762"
"YLR352W","-0.1317973","-0.01254875"," 4.74738e-15"," 11.60421","0.9458100"
"YKR023W"," 0.1320947"," 0.01603362"," 5.19324e-15"," 11.56523","0.8758331"
"NCE102"," 0.1273475"," 0.00872621"," 7.07714e-15"," 11.43081","0.9203435"
"URM1"," 0.1340362"," 0.02777367"," 7.23661e-15"," 11.42113","0.9205965"
"SAC3","-0.1335139","-0.02511216"," 8.20931e-15"," 11.36636","0.8765592"
"YHR003C"," 0.1276661"," 0.02034021"," 8.90017e-15"," 11.33127","0.8755276"
"INP52"," 0.1311945"," 0.01676038"," 9.31505e-15"," 11.31148","0.9325167"
"MDS3"," 0.1313450"," 0.01894240"," 1.06834e-14"," 11.25196","0.8866492"
"SKO1"," 0.1281690"," 0.01192341"," 1.31216e-14"," 11.16268","0.8924404"
"HOS3"," 0.1291386"," 0.00958291"," 2.25356e-14"," 10.92780","0.9344054"
"ELC1","-0.1299067","-0.00981813"," 2.61912e-14"," 10.86251","0.9338177"
"CAF40","-0.1308169","-0.01704849"," 3.38139e-14"," 10.75157","0.9376735"
"SOH1"," 0.1215415"," 0.02161994"," 4.68191e-14"," 10.61025","0.9214774"
"NUP133","-0.1293998","-0.02603216"," 5.26307e-14"," 10.55943","0.9256713"
"UBA4"," 0.1284305"," 0.02001519"," 1.58753e-13"," 10.07995","0.9044245"
"NAM7"," 0.1216616"," 0.01581336"," 2.38834e-13","  9.90257","0.7951699"
"EXO1"," 0.1199368"," 0.00903949"," 4.78166e-13","  9.60109","0.9028010"
"ULS1"," 0.1283634"," 0.01028520"," 5.14118e-13","  9.56961","0.9485797"
"DUN1","-0.1246678","-0.01155653"," 6.82291e-13","  9.44670","0.9220245"
"VPS16"," 0.1195307"," 0.02862642"," 1.10020e-12","  9.23920","0.9042829"
"BUD22","-0.1114114","-0.02098534"," 1.41620e-12","  9.12954","0.9410996"
