,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-2.02052e-02,-2.04483e-03, 3.80202e-01, 0.189144128, 8.33862e-02, 9.91377e-22,-0.012494405,-1.76067e-03,4.65446e-01, 0.175902763, 1.03621e-01,1.22767e-02,  0.0000000,1.82844e+01, 0.0000000, 0.0000000,0.91044617,0.08955383
OPI3,-3.35219e-02,-8.14497e-03, 2.71017e-01, 0.162702504, 1.26244e-01, 1.96500e-14,-0.016480428,-7.31424e-03,3.43927e-01, 0.163634931, 1.76084e-01,3.48187e-03,  0.0000000,1.09873e+01, 0.0000000, 0.0000000,0.81810900,0.18189100
CHO2, 2.63694e-01, 1.84717e-01, 1.09143e-44,-0.000765130, 3.38232e-03, 5.16249e-01, 0.275715181, 2.23951e-01,4.80716e-06, 0.011929666, 3.75177e-03,4.90039e-01, 41.2426726,0.00000e+00, 2.5987803, 0.0000000,0.13578694,0.86421306
CTK1, 8.66001e-02, 3.29383e-02, 2.93434e-03,-0.112649884,-2.62973e-02, 4.16702e-09, 0.078352987, 6.49140e-02,8.00609e-02,-0.097750541,-2.53621e-02,4.54288e-08,  0.0000000,5.66084e+00, 0.0000000, 4.6233379,0.26218921,0.73781079
ELP3,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.97920448,0.02079552
NUP133,-1.29400e-01,-2.60322e-02, 5.26307e-14, 0.209375343, 8.10596e-02, 5.19402e-17,-0.122597045,-2.57377e-02,4.69020e-13, 0.134797864, 7.50922e-02,9.02528e-02, 10.5594297,1.35652e+01, 9.6094775, 0.0000000,0.92567128,0.07432872
CTF8, 1.08740e-01, 3.23283e-02, 8.78016e-12, 0.027092421, 2.92373e-03, 5.86119e-02, 0.137548645, 4.61298e-02,1.42673e-01, 0.034298396, 3.24510e-03,4.24000e-02,  8.3371664,0.00000e+00, 0.0000000, 0.0000000,0.06497201,0.93502799
DOA4, 8.02893e-03, 2.45517e-03, 3.86376e-01, 0.173719602, 5.43094e-02, 1.69433e-16, 0.015858545, 2.70027e-03,3.59694e-01, 0.133046050, 5.59208e-02,2.62686e-02,  0.0000000,1.30517e+01, 0.0000000, 0.0000000,0.84660159,0.15339841
BRE2, 3.43470e-02, 5.25539e-03, 2.80479e-02, 0.155982658, 6.49912e-02, 1.52127e-21, 0.039619101, 5.74867e-03,1.91823e-02, 0.218754357, 1.04661e-01,1.50635e-02,  0.0000000,1.80985e+01, 0.0000000, 0.0000000,0.93135671,0.06864329
SWD1,-8.01922e-02,-9.64913e-03, 8.40523e-02, 0.018560649, 2.93027e-03, 2.40302e-01,-0.005902256,-2.46295e-03,9.48555e-01, 0.013477741, 2.04972e-03,4.25721e-01,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.09522390,0.90477610
SPP1,-1.86277e-01,-3.87803e-02, 6.49732e-18,-0.002108377,-7.12352e-04, 7.23203e-01,-0.198245850,-5.59304e-02,3.70008e-02,-0.003121922,-3.81181e-04,8.53395e-01, 14.4679347,0.00000e+00, 0.0000000, 0.0000000,0.07206699,0.92793301
SET1, 2.88742e-02, 4.78430e-03, 7.11673e-02, 0.125873815, 3.11208e-02, 7.36732e-07, 0.026996208, 4.37420e-03,1.07839e-01, 0.131323307, 6.59927e-02,2.85758e-01,  0.0000000,3.41336e+00, 0.0000000, 0.0000000,0.94305845,0.05694155
HFI1, 8.92042e-02, 4.68659e-02, 4.10023e-04,-0.033143270,-6.73176e-03, 1.46317e-01, 0.034681254, 3.19426e-02,5.52289e-01,-0.017687938,-4.95774e-03,3.08194e-01,  0.6678603,0.00000e+00, 0.0000000, 0.0000000,0.15021162,0.84978838
SWD3, 7.79411e-02, 3.40521e-02, 8.85740e-07, 0.065951406, 1.13022e-02, 3.34915e-05, 0.084455724, 4.75778e-02,3.61131e-01, 0.071610584, 1.19038e-02,2.24260e-05,  3.3333626,1.75573e+00, 0.0000000, 1.9299173,0.08345415,0.91654585
SDC1,-4.07600e-02,-5.28140e-03, 3.18522e-02, 0.144693931, 3.32763e-02, 5.68900e-08,-0.034262145,-5.13358e-03,4.20312e-02, 0.142809111, 6.66708e-02,1.67404e-01,  0.0000000,4.52563e+00, 0.0000000, 0.0000000,0.93254477,0.06745523
