,int,beta,pval,sigma,cor,adj_pval
VPS25,-0.00874939155840311,0.00968411310253023,0.0134628962266424,0.235492938839194,0.0410880055265517,0
OPI3,0.0216467543627443,0.0239001548226969,0.0251743299773313,0.641615807235767,0.0372241306356367,0
CHO2,0.0383142408794045,0.0383425256613783,1.35089617738197e-06,0.476283745703775,0.080243932702181,3.02490085148894
CTK1,-0.0540551657153939,-0.0083680130315062,0.242035280996504,0.429982853399282,-0.0194575871111566,0
ELP3,0.0024765310222585,0.00521684000498823,0.16851532633604,0.227742391805992,0.0229007512081867,0
NUP133,0.00106599180290408,-0.0112888454111361,0.0266437535122549,0.306069144954192,-0.036858255292543,0
CTF8,-0.000603489810493502,0.00551316156263998,0.00929643700782543,0.127376288791827,0.0432419939007903,0
DOA4,0.0120701381652357,0.013927228743853,0.000671035709926473,0.245989050335301,0.0565267448856846,0.32877719199687
BRE2,-0.00840927578195468,0.00995501436815179,0.00166537394522824,0.190220714571231,0.0522624977367332,0
SWD1,-0.00980348902394774,0.00121195245062921,0.690704423152257,0.183118312499284,0.00661826712552328,0
SPP1,-0.00411588472354965,-0.00459440499501792,0.0651352158880386,0.149731380157651,-0.0306698812068347,0
SET1,-0.0107637409633583,0.00703534551998909,0.0228141914720772,0.185729166334229,0.0378524477500815,0
HFI1,-0.0275549160032237,0.00745450634213114,0.315959676508966,0.446889905022464,0.016678536173972,0
SWD3,-0.00808974934315069,0.0138109055442155,5.67563135372501e-05,0.20601345732172,0.0668887139781745,1.4015086450521
SDC1,-0.00693845430927674,-0.00197260499065847,0.510069351566596,0.180029617603499,-0.0109564560194923,0
BIM1,0.0035065283411385,0.00346968423981288,0.200709965843915,0.16300987695527,0.0212802965723019,0
BUD13,-0.00748561634605583,-0.00267201803245287,0.426924816540517,0.202194719870823,-0.0132139194661346,0
BRR1,-0.00805145942292286,-0.000321044602875168,0.895488377434646,0.146932150873182,-0.00218498017357457,0
BUD22,-0.0145510100483605,-0.0320565943645667,4.18382731117692e-18,0.221041834128001,-0.143523552518086,14.5339490736701
BUD20,0.0085987670523644,0.00272768502927562,0.335215558487873,0.17016327672472,0.0160277511305136,0
IBA57,0.00436323412208124,0.0305585745947683,1.23726658607397e-07,0.346763429965435,0.08778492512835,4.06305953983366
CAR2,-0.00610931935228246,0.0127185247165261,6.31589375076228e-10,0.123355633757281,0.102560833003669,6.35508800878345
SRV2,0.0322362858862462,-0.0160903114656535,0.0447489927533995,0.481857727230638,-0.0333736440550204,0
BUD21,-0.0058562972929743,-0.00830947843277612,0.00485557035966932,0.177278302548677,-0.0468211012427708,0
CCE1,0.013495641484091,0.00915734761442661,0.0139490708136078,0.223835647519292,0.0408768394933213,0
CDC40,-0.0160789174733774,0.0291701785236705,1.52190338694403e-07,0.333414607628683,0.0871562767794134,3.97313574070863
SSN3,0.0328993980193745,-0.0359244520953013,9.68825020771516e-07,0.440236750869577,-0.0813322285884703,3.16927747793158
CGR1,-0.00154932275231794,-0.00258656293435336,0.381608739575691,0.1777247428313,-0.0145522171211749,0
CHL1,-0.000171638740880058,-0.00128301720959908,0.446553355755428,0.101334061630659,-0.0126602483175359,0
CGI121,-0.00807038428158419,-0.00522401782949197,0.0979163596323314,0.189730852285952,-0.0275234032652136,0
CIN8,0.00270547739855766,0.00568020189954851,0.0330208889002529,0.16013967885004,0.0354480042573464,0
CKB1,-0.0195765137317907,-0.00972526402482477,0.00160242303421749,0.185166727106823,-0.0524493691344711,0
CKA2,0.00737164729034002,0.00413789951342241,0.312245044984051,0.246165628044308,0.0168070379089069,0
CLB5,0.00697124839996625,0.0071025418924256,0.0058694731304387,0.154913966657744,0.0458001869428201,0
CLB2,-0.00238771840734808,0.00598599400883189,0.00367115260565102,0.123806411065537,0.0482932144756497,0
CKB2,-0.0191642832136632,-0.00999158010186845,0.00582100557301155,0.21771242159127,-0.0458452229411649,0
CLA4,-0.00454664704541927,-0.00142230574575673,0.48346215982444,0.122023173583808,-0.0116552380539399,0
CLB1,-0.0145959493077453,0.00867018721035741,0.000170244551902671,0.138514848864825,0.0624716565620634,0.924449601563566
CLN3,-0.00364671658594194,-0.00545520260408208,0.0192000796674738,0.14000812381412,-0.0389339293375226,0
CLN2,0.000113042102024551,-0.00486868538330963,0.000138115066075196,0.0767186830930191,-0.0633341281626289,1.01528176872829
CSM1,0.019566771983984,0.0152639921875093,3.80318791599116e-07,0.180375277892264,0.0843221441408772,3.57537503976785
CTF18,0.00718230767938179,0.00605552102568205,0.0575453047853574,0.191650065206991,0.0315809989426701,0
CTF19,0.0028621307548178,0.00440041067049468,0.00545615232102155,0.0951545087340471,0.0461955289766258,0
CSM3,0.00333293878951148,-0.00209037050616054,0.221648395780373,0.102819537211775,-0.0203262793429963,0
CTF4,0.00244738040944151,0.00943935725891156,0.0197608263378534,0.243381427015346,0.0387550765947028,0
SSN8,0.0253508331601167,-0.0302841085626343,8.63491206799524e-07,0.369408752350569,-0.0817058423602976,3.21926490488459
DCC1,0.0139156643110879,0.00515396498427866,0.0694976559926374,0.170666818183558,0.0301852257629783,0
DBR1,0.00193677693834338,-0.00988386638385294,1.0484325748185e-05,0.134657527437889,-0.073203100421347,2.13498231823295
DCS1,-0.00708471521610911,-0.000171136317432148,0.942672911425261,0.143077764854795,-0.00119610615378282,0
DBP3,0.00304541803988484,-0.00196818623501845,0.579397218499017,0.213483002199793,-0.00921901310496798,0
DDR48,-0.00933411707029333,0.0122873140145692,1.67046502733549e-06,0.153987336550874,0.0795414910315493,2.93268543652453
DHH1,0.0140482306404343,-0.00720216160550503,0.146118977939123,0.297882577349569,-0.0241707907629527,0
DIG1,-0.0363818214806357,0.00271188634753094,0.585213923965188,0.298720671133199,0.00907796100119484,0
DEG1,-0.00420704248931656,0.0243446966647303,3.6117809691156e-11,0.220448120984846,0.109765481604672,7.5978014189331
DIG2,0.00162652735734144,0.00312168203812782,0.0199731692558255,0.0806271780378708,0.0386885039485291,0
DSS1,0.000745635870460596,-0.00415903090421507,0.0155245733680334,0.103286145694296,-0.0402344686914086,0
DPB3,0.00731703471954353,0.00262834344225522,0.241131249750004,0.134795876599324,0.0194949875631068,0
DST1,-0.000434318151735964,-0.00669331634156829,0.00404761047930434,0.139915530348382,-0.0477836207257117,0
DUN1,0.00146722809946227,-0.00556189211812949,0.0362955014699989,0.159669145461105,-0.0348127421654033,0
EBS1,-0.01387979054749,0.00230037936425726,0.230728562690632,0.115384670207945,0.0199326507775909,0
EDC1,-0.0122417807841422,-0.000793682231571716,0.714255640765028,0.130320179384478,-0.00609013520735868,0
EFG1,-0.00155826310586978,-0.0118384079189359,0.000631113941314713,0.208070193883009,-0.0568043532144177,0.355415050403142
ELG1,-0.00111014828560852,-5.50085007611244e-05,0.972908760840428,0.0973826546297111,-0.000564869505707157,0
ELF1,-0.000735384064406972,0.0189008068556084,2.46195122530115e-06,0.240824535634676,0.0782431190088443,2.7642433795552
ELM1,-0.00559015714314514,0.00572251493574866,0.0679145058547828,0.188413308113583,0.030358138726097,0
ERF2,0.0111359642552032,0.00270770401794969,0.153041935030404,0.113912559702365,0.0237633093644455,0
ERG2,0.0148825990399463,0.0150481656955302,0.000114288641968729,0.234256138396951,0.0641059534036899,1.09751975199907
EST1,-0.00136788357817174,-0.00490351848026854,0.00396580180734102,0.10227254188837,-0.0478905875575389,0
EXO1,-0.00575901598908847,0.0107622266771838,1.02107954666269e-08,0.112719403040205,0.0950457927045855,5.14646324736726
FAB1,0.000930059770030114,0.00882407951245112,0.000996308977901194,0.161051700341761,0.0547082978485592,0.157128780420884
FKS1,0.0171403656187569,-0.0091292213586715,0.0260853044524166,0.246598793413857,-0.0369952008371917,0
