,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.91044616811891,-0.0126663399027484,-0.00204483155466865,0.136225808287882,0.0895538318810899,0.0337378584699412,0.0833862043836119,0.647235924969776,Y
OPI3,0.818108998168175,-0.0638087078144234,-0.00814497457747945,0.431858928772769,0.181891001831825,0.403939332542332,0.126244287209842,1.1073279686959,Y
CHO2,0.1357869396397,0.460432417942384,0.184717447599316,0.914851557084603,0.8642130603603,-0.0285084993376053,0.00338231903355355,0.303897331115858,Y
CTK1,0.262189205230955,-0.0555916631624987,0.0329382555016096,0.714666101743941,0.737810794769045,-0.0542040080030603,-0.0262972914964641,0.260794938680039,Y
ELP3,0.97920447749758,0.00235386245083712,0.00347543625093297,0.183853233882185,0.0207955225024202,0.00616449864206479,0.0483526571848301,0.947711038629181,Y
NUP133,0.925671280878806,-0.0358427559921735,-0.026032162871608,0.202803244788347,0.0743287191211944,0.452804632608783,0.0810596273933722,0.710728990815647,Y
CTF8,0.064972012280493,0.0507416744468675,0.0323283085297313,0.356139119357919,0.935027987719507,-0.00391275709979989,0.00292372817783311,0.0909835737075606,Y
DOA4,0.846601589961063,-0.0185493254425804,0.00245517196791434,0.165112753681553,0.153398410038937,0.179608762799602,0.0543094067109788,0.455452923089004,Y
BRE2,0.931356708624418,0.000588239907145265,0.0052553879666779,0.141465266959711,0.0686432913755816,-0.137818198885888,0.0649911930177285,0.48448395805492,Y
SWD1,0.0952239015250321,-0.0880152091410488,-0.00964912590773616,0.368726242664061,0.904776098474968,-0.00152838575268982,0.00293026780284361,0.148344658926863,Y
SPP1,0.0720669944956142,-0.169528354143126,-0.0387803421692042,0.310114982393995,0.927933005504386,0.00878439090732866,-0.000712351757505003,0.119341421529765,Y
SET1,0.943058454850525,-0.0150562319639402,0.00478429587282909,0.157806661584228,0.0569415451494746,0.058612369248783,0.0311207590444559,0.432450968219361,Y
HFI1,0.150211624908591,-0.213345243487076,0.0468658671282028,0.935436463480007,0.849788375091409,0.00615264359160851,-0.00673176471957885,0.268783293795236,Y
SWD3,0.0834541452477673,-0.00182215286275902,0.0340521229588841,0.470851453559587,0.916545854752233,-0.00885822136391585,0.0113021631624685,0.161387731359083,Y
SDC1,0.932544766776333,0.00143386028010592,-0.00528140357504582,0.146605376349601,0.067455233223667,-0.122250922878043,0.0332763401582474,0.408861882243613,Y
BIM1,0.079368219811178,0.207926752292689,0.026054391425895,0.398118937167458,0.920631780188822,-0.0139342668987313,0.0018472264240148,0.106199696317287,Y
BUD13,0.101088447490605,-0.123550090617922,-0.0578372628258866,0.418037619172405,0.898911552509395,0.00611419550976888,0.00634602269362011,0.153316773600545,Y
BRR1,0.873426519303639,0.00137012341150678,0.00183016865148951,0.0915014086383181,0.126573480696361,-0.0723112482349096,-0.00359699936248078,0.328488149093013,Y
BUD22,0.058900403606065,-0.144480114410984,-0.156331312832746,0.543084813516872,0.941099596393935,-0.00609623259271341,-0.0209853444249546,0.175541508221214,Y
BUD20,0.0929320783224758,0.157175655466655,0.0380128238471254,0.400008740652541,0.907067921677524,-0.00702797406313357,-0.00450271028792158,0.112602099898913,Y
IBA57,0.134349344322659,0.157532529653927,0.112626093578359,0.722203786348339,0.865650655677341,-0.01989326831463,0.0129637517216806,0.227946866865008,Y
CAR2,0.0775023572918185,0.0457497226589618,0.0236091987884776,0.338061894599498,0.922497642708182,-0.0105373051785871,0.0109911945032348,0.0813607907867411,Y
SRV2,0.871422118536398,-0.0692516218484937,-0.0309687046917107,0.269317809494671,0.128577881463602,0.718537009327526,0.0401808243601482,0.874937589613026,Y
BUD21,0.954378679843902,-0.00261296041746528,-0.00632214637769804,0.123596242011909,0.0456213201560983,-0.0701031778627287,-0.0284283790293227,0.603056715620938,Y
CCE1,0.161354863223481,0.138744234305591,0.0478907262771908,0.416889493352017,0.838645136776519,-0.0109885929020385,-0.00144928978634402,0.148797732472914,Y
CDC40,0.0907157251614715,-0.204766252155824,0.0456458676144578,0.701233982887505,0.909284274838528,0.00267570133386205,0.0277576655327801,0.263147770296213,Y
SSN3,0.0921487665770946,0.67236052876911,-0.00537268684506264,1.01743643457812,0.907851233422905,-0.0320700882046927,-0.0422043034675712,0.249749986219377,Y
CGR1,0.959933182504348,-0.00683270439640958,-0.00392810060173599,0.118611998827081,0.0400668174956517,0.126504712006272,0.0234633495646931,0.658251287177675,Y
CHL1,0.922316646863465,-0.00984075824639086,-0.0013522150915897,0.0695163039390922,0.077683353136535,0.115527610939403,0.00735268621637321,0.245692367215228,Y
CGI121,0.948588036508317,-0.00951507788344536,-0.00980447953818417,0.145368253157726,0.0514119634916831,0.0120764797961644,0.0446282847886846,0.552343953186654,Y
CIN8,0.113821577491968,0.150931980687001,0.039060810053976,0.343938624688129,0.886178422508032,-0.0158750046172254,0.00124863118295063,0.102284118044263,Y
CKB1,0.0756776818693527,-0.221299318995805,-0.00661113135758565,0.525329024352827,0.924322318130647,-0.00306291161449663,-0.00675923361617693,0.104379094468739,Y
CKA2,0.903654637318803,-0.0172585327920778,-0.00619559294106423,0.12965465724407,0.0963453626811969,0.235795737388653,0.0594706239571558,0.637800513453571,Y
