,global,local
VPS25,-976.144405883981,936.787730082228
OPI3,-4699.63797332759,-3994.36533698648
CHO2,-3375.9029855512,-2383.5139142848
CTK1,-3399.80359936112,-2952.67134374586
ELP3,327.378553337636,1021.09503878255
NUP133,-1473.4987982201,-602.645396382546
CTF8,2557.41344812264,3400.1736125463
DOA4,-642.353104482753,32.333882562325
BRE2,345.108952470606,1110.87660505542
SWD1,302.495720317022,966.890201944126
SPP1,2055.12593062358,2567.26941966636
SET1,418.747541867141,887.587071371227
HFI1,-3132.52716622113,-2313.01880704774
SWD3,-250.064956019067,476.149367943336
SDC1,807.456358987794,1318.6164153523
BIM1,1518.39912857329,2568.35783902431
BUD13,855.194244750038,1296.5201302078
BRR1,2496.08534992277,3343.16434583502
BUD22,234.54238153997,729.765550243102
BUD20,1561.33267101775,2518.09116468104
IBA57,-2051.73328839564,-930.352595249689
CAR2,1911.52626902267,3723.80147746613
SRV2,-3749.97367064467,-2600.54089474296
BUD21,1261.98738893062,2223.73484099036
CCE1,662.314207576306,1469.43358700897
CDC40,-1419.03688048157,-832.996817191498
SSN3,-3602.40029370114,-1940.46271530032
CGR1,1689.90312635676,2932.16127865999
CHL1,3873.83835602005,4668.8031645348
CGI121,783.154585718788,1339.24829506584
CIN8,1320.97766298728,2290.3506281646
CKB1,626.833462094818,2168.02294519193
CKA2,-236.34039889782,1288.06929745863
CLB5,2077.52941127801,2728.6189158811
CLB2,2986.46798101863,3955.79047133779
CKB2,-6.22939427008954,1327.50263940864
CLA4,2694.35333968364,4051.37241181942
CLB1,2248.66918453681,3719.25802489607
CLN3,2086.51857850901,2609.83736439485
CLN2,4194.88255378564,5633.3620333825
CSM1,655.633569115889,2915.18969261487
CTF18,805.830574233475,1721.98840278662
CTF19,3651.89655330661,4879.00936064116
CSM3,3868.19318721186,4551.7124015939
CTF4,-77.2603445054077,682.026918559944
SSN8,-2863.88589397558,-982.218173365551
DCC1,1280.5207686829,2075.86537132099
DBR1,2202.93673743282,2847.79611646691
DCS1,2088.09917410902,3429.2484922782
DBP3,667.559443421421,1581.75260745896
DDR48,1334.28351448802,4128.59934801891
DHH1,-1037.95218120661,-527.236137823603
DIG1,-1234.49087130836,-78.9934976800794
DEG1,340.78844796114,1264.4755096564
DIG2,5335.39466359769,5973.88407409153
DSS1,3679.95669622107,4591.97579743823
DPB3,2703.14191283942,3400.95192865544
DST1,2340.86558016638,3196.49724118655
DUN1,1360.04599404467,2796.99470134752
EBS1,2991.09094787085,3650.80192587729
EDC1,1959.09545017232,3357.47763749188
EFG1,553.093125899958,1509.15865846945
ELG1,3353.88665092608,4514.03372791096
ELF1,104.755991704594,560.440013019213
ELM1,807.649677486974,1717.75826086687
ERF2,2943.0180297245,4393.13221083158
ERG2,-411.976554923052,1437.97250657794
EST1,3647.69034370422,4416.70612510732
EXO1,2133.59852815673,4130.30443829732
FAB1,1316.13780944279,2728.94274962281
FKS1,-425.755758595616,809.94944233718
GEP3,-1835.66881775875,-816.897319817867
FIN1,3280.11124697196,4960.55731771622
FRA2,3184.2245933676,6467.70031534588
GAL80,3093.51489796224,5582.91930488985
FUS3,260.83840157329,1577.70358024191
GCR2,-6.25763577332841,741.111245467455
GPA2,670.161015725191,2280.05469191141
GPR1,-733.730805397094,644.345755053773
GPG1,2660.26363685403,3245.26523142094
GPH1,1869.08385547232,3185.56695385823
GIS4,1865.80949679009,3500.02160563158
GTR1,861.330896318255,2761.53328480695
GSY2,3008.64760863846,3973.08642180272
GSY1,3889.17931641843,4639.05439411884
HAP4,2370.1824667819,3085.4718103485
HCR1,565.3255970453,1283.03932976238
HFM1,1087.20092929164,2195.68291518651
HHT1,4354.6597394348,5002.83980578111
HNT3,3016.3037298367,4008.29496563851
HOG1,2108.87444768957,3872.71515298863
HHF1,3874.13873954177,4366.30727640964
HOS3,3041.47260937139,4366.52547540429
HOM2,177.219289254589,1937.74139009302
HUR1,-659.623111256636,387.98170914778
KKQ8,3170.1905313182,4347.41756605757
INP52,841.060067560737,1925.21994166207
IRC3,-560.670521719046,350.687775714987
IRE1,1218.099656368,1680.57465420048
IRA2,-2048.47669097511,-1708.09477306234
IPK1,-2007.75073779782,-612.68010525401
IRA1,-442.104505000079,776.463510691129
JJJ1,1648.05046993033,2490.38184929305
IST3,1224.47833644912,1812.59723057267
IRS4,2325.6269643063,3768.95019532622
JNM1,2285.22269899665,3248.27606599226
KAR3,-481.805845772915,1262.78787308205
RRD1,2855.58358823846,3609.3477774006
RRP8,2191.13935737102,2984.43083521806
RSA1,-1259.58394934423,-560.383624501995
RRP6,-735.622038414229,47.3210953896124
RRM3,2618.67782592243,3422.45481313874
RPB9,-2642.58634900018,-2104.44744232435
RNY1,-1123.06016968014,41.7204705858722
RPA49,1085.63189286046,1656.65375875355
RPA14,2517.170536577,3471.1465991657
RPA12,1591.48519059821,2240.10053123047
RNR4,-1104.4936752802,-338.438265134443
RMI1,987.938391642805,2631.89799111067
RIM1,-1310.96763811302,-506.41511942617
RGP1,-1981.81176765748,-768.204261475384
RGT2,3274.70220791969,4310.59342239546
RIC1,110.045067639856,1553.86729834241
RIF1,5368.16788089266,6520.04275830233
REG1,-3793.08720531545,-2376.3523947872
REV3,4979.58252084312,5865.81934953832
RCE1,3062.51340218699,3451.64584368247
RAS2,2410.14378709894,3873.95569236599
RAI1,-998.357111349648,-225.057284701472
RAM1,-4576.42613259863,-3567.69669624805
RAD57,1728.18654906893,2834.08910765151
RAD54,1657.75734050663,2557.23437702044
RAD50,-789.291200064613,401.673459925787
RAD55,3570.99643082469,4438.5543157853
RAD52,-210.677164781607,793.608225901645
RAD27,-62.4374204905813,842.345553204278
RAD1,1385.41958678038,2404.85420579183
PUS7,2653.64683497064,3629.64897201951
PUF4,3837.45499149783,4499.51885762847
PUS1,667.05470527041,2090.27823643576
PUF6,1167.97116524859,2208.26493205627
PUS9,4916.07567817696,5949.43235081001
PUF3,2937.73611122273,4695.55399059004
PTK2,3298.77938529421,4224.19826992648
PTP3,2741.18870574732,4071.60473450957
PSY2,2248.37647566446,3284.62459089008
PTC1,-2203.41538625398,-1198.40986911174
PPH3,1705.29759173347,2547.64571792778
POL32,3099.27579585399,3784.03124590675
POG1,1837.88704234512,3765.34926462416
PMS1,4216.33370275723,5816.65921895426
PLC1,-2092.18608998364,-711.462670894329
PML39,3719.40638843312,4900.21861814209
PIH1,1605.81119943235,2285.93819217434
PIN4,2055.42814987777,3024.58074252209
PIF1,2620.09983155219,3247.15267905452
PIB2,2854.24730530138,4133.98841305289
PHO80,3169.87685855162,4633.99563396961
PFK2,-2289.2535276906,-1330.48336457799
PFK1,451.717016000611,1433.22879608342
PHO85,-1484.64386888019,-374.668912197613
PFK27,-1376.97400851314,-519.738625861481
PHO13,2873.99589842685,5467.43822504759
PET112,3777.8894795809,5059.87996034399
PDE2,75.0016141460942,1629.68959262245
PCL8,1753.46308171485,3545.63116840655
PCL6,1854.1457880407,3618.89853070138
PBS2,1637.31578168458,3417.67293089108
PBP1,2623.24497441032,3295.2459929041
PAT1,-954.321007233002,-405.02232943761
PAP2,158.22358834805,1171.19463370888
OPI1,-2150.36574059378,-908.780588750672
OCA6,2372.79305109544,3420.24402584183
OCA4,2449.42038181198,3499.56389492558
OCA5,2678.72286741938,3609.86622363514
OCA2,2368.22787763749,3315.80610732056
OCA1,2075.17922567669,2778.57320099049
NUP60,530.490660889048,1128.65065494671
NUP170,-160.760351172413,1065.19508364441
NUP188,2921.50702262996,4486.74051557561
NUP120,659.937484485585,1346.07928644857
NTH2,951.780143158294,2547.65793844546
NPR2,3668.25710697947,4952.07811184849
NRP1,3523.63258488289,4702.79704094033
NOP6,2423.54114517483,3644.52379786692
NPT1,800.116436415445,3715.66091122057
NMD2,-2175.55933267535,-712.714309144221
NPL3,-3100.15725378409,-2430.47743288202
NOP12,1498.70714651931,2438.15266977483
NKP2,1713.69386122703,2062.01574915158
NEW1,1520.55106642993,2534.22224721146
NBP2,313.687226914189,1382.71478180001
NAM7,-2125.97179019363,-622.327797532111
MUD2,2956.61443493557,3659.82384128946
NCE102,2119.66842381138,4534.90553807896
MUM2,2180.88086086041,4166.62017783531
MUS81,4029.03259104816,5367.61720081078
MSG5,2465.17582815518,2977.05203932807
MSN5,-665.317075664202,628.688090515134
MSH2,831.050144065171,2341.72113657468
MSH1,1415.45866007011,2058.70933958373
MRT4,1064.47774499654,2121.63445978178
MSC1,2090.62213412261,2920.65030482729
MRN1,462.609210528228,1986.97913148948
MRC1,2245.36796371644,3115.31328253777
MMS4,5110.56920385638,6030.25831104564
MRE11,1059.96641018214,1895.47524863879
MMS22,-991.160201296963,-96.1974040939504
MMS1,1877.13038269497,2459.15365765596
MKS1,728.310841526667,2587.31152090708
