"","cor","beta","pval_beta","adjp_beta","ratio"
"VPS8","-0.1008506","-0.01623200","7.39778e-11","7.32472","0.825271"
"PTC1","-0.0960927","-0.01804892","2.42181e-10","6.80968","0.792404"
"PFK2","-0.0988744","-0.01991372","5.02549e-10","6.49264","0.834517"
"TLC1","-0.1004389","-0.02267139","6.80872e-10","6.36075","0.754661"
"SIS2","-0.0955599","-0.01508268","8.40106e-10","6.26949","0.760992"
"RIM1","-0.0968007","-0.01757668","8.87830e-10","6.24549","0.865301"
"CST6","-0.0947013","-0.02064301","3.43126e-09","5.65837","0.804354"
"TSL1","-0.0889278","-0.01617908","4.20713e-09","5.56983","0.799484"
"ACO1","-0.0895679","-0.02181588","4.26634e-09","5.56376","0.806200"
"SRV2","-0.0904801","-0.02216072","7.37569e-09","5.32602","0.799782"
"PHO85","-0.0886452","-0.01658900","9.42961e-09","5.21933","0.904174"
"RNR4","-0.0894909","-0.01455322","1.34035e-08","5.06660","0.815522"
"MMS22","-0.0902054","-0.01250227","2.28760e-08","4.83444","0.777271"
"HSE1","-0.0861414","-0.01598779","2.43094e-08","4.80805","0.819878"
"GEP3","-0.0876141","-0.01469213","3.84182e-08","4.60928","0.806393"
"REG1","-0.0821684","-0.01986121","7.56603e-08","4.31495","0.833919"
"IRC3","-0.0827450","-0.01123601","8.51966e-08","4.26340","0.801719"
"URC2","-0.0792466","-0.00768107","1.96409e-07","3.90066","0.894023"
"SLX5","-0.0785506","-0.01841653","2.62666e-07","3.77442","0.832614"
"PFK27","-0.0775522","-0.01316147","3.37096e-07","3.66607","0.811697"
"SLX8","-0.0739084","-0.01725426","5.13208e-07","3.48353","0.909990"
"RAM1","-0.0798226","-0.02424306","6.66463e-07","3.37004","0.813636"
"CCE1","-0.0755534","-0.00829397","6.71706e-07","3.36664","0.797462"
