,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-9.53382e-02,-6.05338e-02,2.22585e-06,-0.046638806,-5.93234e-03,1.52920e-03,-0.072147488,-7.86088e-02,1.45743e-01,-5.06903e-02,-6.48096e-03,9.59126e-04, 2.8463237, 0.00935705,0.0000000,0.2119445,0.1241270,0.8758730
OPI3,-1.57021e-01,-1.34326e-01,1.97478e-16,-0.055853554,-1.90738e-02,8.24768e-05,-0.128026437,-1.72600e-01,2.17240e-04,-5.43330e-02,-1.71438e-02,7.82087e-04,12.8983008, 1.27748809,0.8568795,0.3005651,0.2813001,0.7186999
CHO2,-1.31226e-01,-8.08357e-02,2.73684e-08,-0.065467602,-1.54041e-02,4.88788e-05,-0.039344654,-4.69313e-02,3.65092e-01,-6.11520e-02,-1.57768e-02,8.62873e-05, 4.7565712, 1.50469925,0.0000000,1.2578733,0.1861807,0.8138193
CTK1,-5.10595e-02,-1.31121e-02,1.45890e-03,-0.055949886,-3.81541e-02,1.92461e-03,-0.045075035,-1.19247e-02,5.02648e-03,-5.93034e-02,-6.60325e-02,9.85634e-02, 0.0297936, 0.00000000,0.0000000,0.0000000,0.7111792,0.2888208
ELP3, 7.34596e-03, 9.67352e-04,6.88960e-01,-0.100145851,-4.57713e-02,1.99843e-05, 0.006769869, 1.13040e-03,6.48766e-01,-1.25387e-01,-1.51061e-01,1.72390e-01, 0.0000000, 1.89313067,0.0000000,0.0000000,0.9480819,0.0519181
NUP133,-3.26719e-02,-6.33949e-03,3.10583e-02,-0.164642027,-7.00001e-02,1.44404e-11,-0.031033218,-6.24644e-03,4.17675e-02,-9.09991e-02,-7.53763e-02,9.14877e-02, 0.0000000, 8.03424052,0.0000000,0.0000000,0.8719040,0.1280960
CTF8,-3.67604e-02,-3.20782e-03,1.23815e-02,-0.068903711,-1.68001e-02,1.49493e-03,-0.038069823,-3.39211e-03,1.16589e-02,-4.37300e-02,-2.17140e-02,4.82640e-01, 0.0000000, 0.01919820,0.0000000,0.0000000,0.8941018,0.1058982
DOA4,-3.34548e-02,-6.51754e-03,7.40611e-03,-0.218527705,-8.29916e-02,4.51165e-27,-0.042669706,-7.06773e-03,5.74849e-03,-1.12185e-01,-7.07800e-02,1.59620e-02, 0.0000000,23.53948472,0.0000000,0.0000000,0.8215358,0.1784642
BRE2, 5.37251e-03, 7.34010e-05,9.72227e-01,-0.020760611,-9.85326e-03,2.27751e-01,-0.001374315,-1.98762e-04,9.27616e-01,-1.90542e-02,-1.38547e-02,7.52215e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.8913663,0.1086337
SWD1, 1.29408e-02, 1.00994e-02,1.95223e-01, 0.016352607, 2.18283e-03,3.11281e-01, 0.030486870, 2.27003e-02,5.96466e-01, 1.82907e-02, 2.68644e-03,2.28042e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1219086,0.8780914
SPP1, 1.09161e-01, 2.23922e-02,3.36506e-05, 0.022051283, 2.49763e-03,1.32206e-01, 0.035642361, 1.73806e-02,6.26325e-01, 2.50160e-02, 2.87424e-03,9.48317e-02, 1.6668270, 0.00000000,0.0000000,0.0000000,0.0879769,0.9120231
SET1,-4.33407e-02,-2.93554e-03,6.48132e-01,-0.014416791,-2.26212e-03,3.08381e-01, 0.092653993, 5.36240e-02,9.49036e-02,-1.80587e-02,-2.72605e-03,2.35186e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1418358,0.8581642
