,int,beta,pval,sigma,cor,adj_pval
VPS25,0.0145119705904467,-0.0119627607660293,0.00618481200931819,0.297724448765533,-0.040148249994466,0
OPI3,0.152673105891657,-0.0527042601559191,6.35688168757704e-08,0.663210168785648,-0.0792186655248722,4.35227869571054
CHO2,0.113704837831259,-0.0308368778058546,2.55974528146394e-05,0.498875473382711,-0.0616950254330571,1.747326073145
CTK1,0.0313705221156957,-0.02024823757301,0.00593472310868372,0.501446807418065,-0.040346752454701,0
ELP3,0.00336165458878682,-0.00111430089664513,0.735596243533131,0.224928050069612,-0.00495397182663951,0
NUP133,0.0506767594285172,-0.0163196965002484,0.000792682356892879,0.331341422161669,-0.0491937813571978,0.25642363225158
CTF8,0.00785163192574727,-0.00477625604686524,0.0193991611038468,0.139226209910085,-0.0342855557268254,0
DOA4,0.0430748530008049,-0.0203618446142636,5.66753390675806e-07,0.277097623097236,-0.0732849752407301,3.40212869722482
BRE2,0.0014342639120198,-0.00132127131962767,0.687726361874311,0.224071851122592,-0.00589653873548,0
SWD1,0.00194386193180296,0.00235755875349012,0.47731145103712,0.226135159526729,0.010424874431512,0
SPP1,-0.0152207376869069,0.00462507568768581,0.0421448711009836,0.155111168438972,0.0298045654765012,0
SET1,0.0159248943528331,-0.0041814871973053,0.196270624948953,0.220550590114806,-0.0189559042596776,0
HFI1,-0.0222802782908716,-0.00209133294161907,0.763329516884083,0.473431089774542,-0.00441735361826794,0
SWD3,0.00999194629685092,-0.00196000739645351,0.599861748852987,0.254675117762669,-0.00769588081687503,0
SDC1,-0.00270682729142719,0.00292147820136408,0.326283304417599,0.202859947525529,0.0143999607812317,0
BIM1,0.0218333703924343,-0.00665030226935837,0.00924288984451546,0.174093414873889,-0.0381717796788905,0
BUD13,-0.012266175224657,0.000368096023002482,0.900551589739687,0.200787554641576,0.00183325806773241,0
BRR1,-0.0086084949834556,0.000622794765334556,0.763473024013944,0.141075004394029,0.00441459278539027,0
BUD22,-0.00677960747242138,0.0018518484655541,0.58224763314089,0.2294647989252,0.00807003153447339,0
BUD20,0.0214418535411754,-0.00239528390548618,0.343886084711407,0.172493062167019,-0.0138849236575209,0
IBA57,0.0604562594057433,-0.0211862200221274,0.000120196362273085,0.375225651348188,-0.0563728235654898,1.07563150025343
CAR2,0.00276588916502866,-0.0030906029624115,0.187917697445327,0.159977049749117,-0.0193154354518535,0
SRV2,0.128808050215036,-0.0476666431176943,1.99876122918256e-09,0.540675414005825,-0.0878206634661781,5.85476190759593
BUD21,-0.00507863419363024,0.00576712384870227,0.0326478142942337,0.183965123409791,0.0313336135620763,0
CCE1,0.0400190411280117,-0.0131766979208334,1.80849677673166e-05,0.209293151337416,-0.0628336896485874,1.89820508519533
CDC40,-0.0134011175660769,-0.00144185445620024,0.764086005234407,0.327482484425957,-0.00440280182840272,0
SSN3,0.101951416102574,-0.0258430180122275,0.000776110976168466,0.523782272839124,-0.049279292285639,0.265598998754346
CGR1,0.0165709453126427,-0.00194608516550582,0.42918552098614,0.16778803873603,-0.011597693704582,0
CHL1,0.00675153310747639,-0.00100857314310579,0.512201474336639,0.104892602540044,-0.00961484888994193,0
CGI121,-0.00436205219593226,0.00507048950684223,0.0901424024144346,0.203923136142326,0.0248570265470142,0
CIN8,0.0198425317398217,-0.00600308227162053,0.024313904609867,0.181645572348136,-0.033030294204357,0
CKB1,-0.0201583061708133,0.00395987106879075,0.20062157202949,0.210896568431129,0.0187730566348925,0
CKA2,0.024266371354438,-0.00799444871369998,0.0319085560391149,0.253924386650538,-0.0314679879715413,0
CLB5,0.0146622968137419,-0.00381101163147845,0.0924480530547609,0.154365487555124,-0.0246807158744374,0
CLB2,0.00340274957704389,-0.00532399666229832,0.00427138003504529,0.126952167353895,-0.0419001994590863,0
CKB2,-0.0216183489805745,0.0029594919521791,0.403859309880424,0.241661902041688,0.0122454968189255,0
CLA4,0.00170688380316326,-0.00477213931860998,0.0161486436412916,0.135185004789794,-0.0352788292545656,0
CLB1,-0.0159133805071628,0.00328847242755284,0.131963669561545,0.148786280543303,0.0220965905181922,0
CLN3,0.00834031678645834,-0.0052695039120726,0.0197666612721049,0.154067299446061,-0.034182623118114,0
CLN2,-0.0020560682784184,0.00165263327911115,0.249863899531496,0.097893522207881,0.0168795420964401,0
CSM1,0.0415322372004689,-0.0116486845132727,0.000153385993293395,0.209594122939217,-0.055491706794122,0.969737121180608
CTF18,0.029162302973704,-0.00874551014903862,0.00332167261452921,0.202930901340199,-0.0430560354315594,0
CTF19,0.0103381670232101,-0.00288952200896067,0.0734650846929289,0.110021596714825,-0.0262541726024688,0
CSM3,-0.0016065201347707,0.00213593433166421,0.165678186237763,0.10502004846436,0.0203341432133098,0
CTF4,0.0339798107348366,-0.00997802353538718,0.00559415009432064,0.245382547024026,-0.0406295581681463,0
SSN8,0.0773436170801796,-0.0191924749151807,0.0034291751448106,0.446849399894299,-0.0429110940531772,0
DCC1,0.0312769087998041,-0.00567044009330184,0.0349466547571088,0.183233200741151,-0.0309317675819248,0
DBR1,0.0145994449113459,-0.00446020997406664,0.0430771341228191,0.15025712118319,-0.0296707818035128,0
DCS1,0.00369179159193499,-0.00706788976763149,0.00176887332774946,0.154014927601813,-0.0458426933071873,0
DBP3,0.0236181397910905,-0.00387034001774554,0.207000540048323,0.209057149427262,-0.0185101391338892,0
DDR48,-0.00842155589855884,-6.22663213213823e-05,0.981304604504719,0.181126429834195,-0.000343772676903463,0
DHH1,0.0245009809245633,-0.00270159842270746,0.54162278649859,0.301709080642923,-0.00895395695975905,0
DIG1,-0.038848782546555,0.0104347035502677,0.0238642404529393,0.314737425204665,0.0331354732562165,0
DEG1,0.0100323262966048,-0.00331213507266037,0.31412759185802,0.224280186986548,-0.0147662350638045,0
DIG2,0.00374950651623038,-0.000557444702947724,0.619840967913861,0.0765968689478692,-0.00727745074849641,0
DSS1,-0.000246793568184941,-0.00200319675340672,0.211842797515698,0.109359535279214,-0.0183144594073746,0
DPB3,0.0128554240866176,-0.00151559191647439,0.443891146260696,0.134929689448452,-0.0112317483427769,0
