,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.124126996951018,0.0690939555514415,-0.0605337791520517,0.767903259514602,0.875873003048983,0.00607844895345519,-0.00593233854370836,0.129431099809774,Y
OPI3,0.281300090599606,0.504289873799466,-0.134325556645164,1.04359390900951,0.718699909400394,0.0134513118057378,-0.0190738106529314,0.33715144390331,Y
CHO2,0.186180699734939,0.517826167740879,-0.0808356613437454,0.910013345048421,0.813819300265061,0.0204286331819549,-0.0154041117354129,0.262731262294965,Y
CTK1,0.711179208627278,-0.0221642008023963,-0.0131121411736439,0.285221154271152,0.288820791372722,0.162962722949676,-0.0381541342094023,0.803286358161867,Y
ELP3,0.948081865042507,0.00471390067847315,0.000967352168348579,0.165220148328361,0.051918134957493,-0.0237203857649938,-0.0457713113413673,0.687952317263216,Y
NUP133,0.871903974035106,-0.00145795030861874,-0.00633948659675306,0.202202582612375,0.128096025964894,0.402002948821988,-0.0700000927317251,0.656824837622828,Y
CTF8,0.894101801340818,0.000389054656407556,-0.00320782100825102,0.0880486807277698,0.105898198659182,0.0702823226867639,-0.0168001192145811,0.336111690220627,Y
DOA4,0.821535769764897,-0.00518565668084958,-0.00651754478782721,0.168157626556554,0.178464230235103,0.262044713997353,-0.0829915690069139,0.485705950615482,Y
BRE2,0.891366320093835,-0.00442761837005163,7.34010102888014e-05,0.144252825258681,0.108633679906165,0.0488715304307225,-0.00985325516806384,0.537278553301914,Y
SWD1,0.121908571268897,0.0809166667525649,0.0100993826482631,0.504791587782135,0.878091428731103,-0.0089499904203601,0.002182832841487,0.147871626517412,Y
SPP1,0.0879769040458743,-0.13056499873035,0.0223921729268015,0.353288573512378,0.912023095954126,-0.00400673562640767,0.0024976297611367,0.113468519461015,Y
SET1,0.14183579737091,0.182647841994751,-0.00293553764530415,0.411431399499723,0.85816420262909,-0.0116381763794071,-0.00226211650899878,0.152775007932023,Y
HFI1,0.207936117109309,-0.212565439402313,-0.00952058008489592,0.887869414340846,0.792063882890691,0.0276218801149697,-0.00204920621375508,0.252937759754246,Y
SWD3,0.135805436284282,0.159950647310835,-0.0109378299901065,0.537325314632554,0.864194563715718,-0.0137010928271574,0.00110220792004531,0.159754203262438,Y
SDC1,0.873502869343131,-0.00639537323499709,0.000722716382527647,0.139371557069112,0.126497130656869,0.0241140281486157,0.0225131475641746,0.43588588087571,Y
BIM1,0.849194170120041,-0.00394187316002466,-0.00438665361176156,0.0954733316828574,0.150805829879959,0.166642385483885,-0.01655286125332,0.3531389533255,Y
BUD13,0.125999987936761,-0.114771752319513,0.00450405350444683,0.407869867864064,0.874000012063239,0.00252490278085746,-0.000486989825434552,0.142814876216965,Y
