,global,local
VPS25,-975.711691908742,937.002173286921
OPI3,-4698.6461184015,-3993.71055704093
CHO2,-3375.77698828367,-2383.76473027362
CTK1,-3399.280875491,-2951.97703242005
ELP3,327.351180822499,1021.10269623188
NUP133,-1473.31533708055,-602.703981347313
CTF8,2556.44804841285,3399.17319014889
DOA4,-642.433393530143,31.932955629167
BRE2,345.083001278993,1110.84770682306
SWD1,302.63648637136,967.091093525662
SPP1,2055.48374367765,2567.57571894369
SET1,418.612007902311,887.454722078111
HFI1,-3132.56214616891,-2313.11787736703
SWD3,-250.109820535561,476.130588810254
SDC1,807.748229766364,1318.88975844435
BIM1,1517.91703853488,2567.448363338
BUD13,855.214282055379,1296.50804603043
BRR1,2496.06180623415,3343.24997117026
BUD22,234.47873284962,729.75348105612
BUD20,1561.49882056185,2518.34976954435
IBA57,-2050.70175630082,-929.762675798121
CAR2,1911.8587780411,3724.06276818868
SRV2,-3750.23538122528,-2601.87920976647
BUD21,1261.66701433508,2223.43414049541
CCE1,663.199574804295,1469.88143734277
CDC40,-1419.07487170677,-833.004246104202
SSN3,-3602.08429705803,-1940.41561668463
CGR1,1689.74919985787,2932.05692926189
CHL1,3873.84353654246,4668.8357547532
CGI121,783.257019294514,1339.36319534997
CIN8,1320.85575766953,2290.34781687444
CKB1,627.095060900013,2168.35208722702
CKA2,-236.240277974114,1288.31107755818
CLB5,2076.85402227354,2727.97697978463
CLB2,2985.89761423788,3955.2132257362
CKB2,-6.13211762295653,1327.44205731614
CLA4,2693.41724848013,4050.27330951988
CLB1,2248.84552719906,3719.32913633517
CLN3,2085.92933282348,2609.12932956857
CLN2,4195.35691219943,5634.02921388383
CSM1,655.958813715225,2915.07316896529
CTF18,805.313203109102,1721.35198628967
CTF19,3651.96764990498,4879.00252148343
CSM3,3868.61194552263,4552.13672198164
CTF4,-77.9310147795926,681.380288553394
SSN8,-2863.8924615124,-982.380561116966
DCC1,1280.6457710951,2076.05772220499
DBR1,2203.03551794746,2847.89974937547
DCS1,2088.5473250427,3429.64482595103
DBP3,667.562238452662,1581.77447640242
DDR48,1334.28339451786,4128.59563382772
DHH1,-1037.86738741731,-527.183925299584
DIG1,-1234.5576366997,-78.9975860784383
DEG1,340.79547736656,1264.46954935993
DIG2,5335.47490087908,5973.96275463622
DSS1,3679.78756685058,4591.43454148807
DPB3,2703.08842069674,3400.99544669711
DST1,2341.04720831419,3196.83684793814
DUN1,1361.17686890965,2797.34954973251
EBS1,2991.75154323709,3651.08293187026
EDC1,1959.14682235333,3357.49546966371
EFG1,552.935100812777,1509.05249652774
ELG1,3353.90534782489,4514.05379884928
ELF1,104.391890963698,560.036990639604
ELM1,808.198809576615,1717.93684799
ERF2,2943.10801683806,4393.16134321175
ERG2,-411.83112787309,1437.96073733066
EST1,3647.61252383423,4417.05474874942
EXO1,2133.62614835242,4130.5179125189
FAB1,1316.20550699445,2728.74207076844
FKS1,-425.690085702628,809.980576126845
GEP3,-1834.62001103976,-815.816972760997
FIN1,3280.11028470145,4960.55539330446
FRA2,3184.68968729421,6468.1623390034
GAL80,3093.50119278073,5582.8897626369
FUS3,260.949319085027,1577.77568366251
GCR2,-6.20364285644496,741.152904059937
GPA2,670.154165028935,2279.89468101979
GPR1,-733.833355639211,643.46846664474
GPG1,2660.64940000079,3245.46205555877
GPH1,1868.93372648965,3185.07480122973
GIS4,1865.92889937756,3500.12255596075
GTR1,860.894519075495,2761.12897859859
GSY2,3008.64424168219,3973.08031557398
GSY1,3889.1785599205,4639.00422924414
HAP4,2371.58333283743,3086.72393151683
HCR1,565.554656710423,1283.29583990089
HFM1,1088.58392157595,2196.82255364189
HHT1,4354.69140305571,5002.92007449526
HNT3,3017.13757442792,4009.04645927208
HOG1,2108.96021803988,3872.92860179609
HHF1,3874.09109010043,4366.27971324007
HOS3,3041.59970983642,4366.95901118814
HOM2,177.445760138245,1938.69308422591
HUR1,-659.945860807531,387.480363821246
KKQ8,3170.22286786355,4347.24407132941
INP52,841.345786758509,1925.33445666532
IRC3,-559.655267949814,351.580558621617
IRE1,1218.23321703176,1680.47140454199
IRA2,-2048.47695500099,-1708.0979748739
IPK1,-2007.97450458895,-613.209788844657
IRA1,-442.094897314652,776.418724874523
JJJ1,1648.0626412985,2490.35115855729
IST3,1224.47610053065,1812.58763376539
IRS4,2325.74185749564,3768.91437791441
JNM1,2285.28396666425,3248.16127055336
KAR3,-481.899240230616,1262.47621668397
RRD1,2855.80264794767,3609.62428723029
RRP8,2190.83459755712,2983.79909678431
RSA1,-1259.69489111336,-560.473717288658
RRP6,-735.662906651029,47.1130827522411
RRM3,2618.9237242617,3422.89637428846
RPB9,-2642.33337719584,-2104.30521330667
RNY1,-1122.82303600991,41.2903583151086
RPA49,1085.62135929912,1656.59082803165
RPA14,2517.1675712278,3471.20849432328
RPA12,1591.43772484854,2239.94919170578
RNR4,-1104.04225661355,-338.421020011909
RMI1,988.132211861659,2631.92941897381
RIM1,-1309.85078582888,-505.882905916757
RGP1,-1981.53531712512,-768.709266297737
RGT2,3275.59078708259,4311.29191643551
RIC1,110.431487651927,1554.23111019947
RIF1,5368.90006664213,6520.63363050059
REG1,-3793.21638257286,-2376.45695387889
REV3,4979.73706053422,5865.77476456176
RCE1,3062.75590888972,3452.09664102149
RAS2,2411.06872558195,3874.80414012671
RAI1,-997.89355229037,-224.55032533976
RAM1,-4576.14549237283,-3567.86333082363
RAD57,1727.94362022258,2833.70776559949
RAD54,1657.53667894755,2556.89369903136
RAD50,-789.558512268561,401.296682718205
RAD55,3570.95519564172,4438.56591968616
RAD52,-211.069434510082,793.211656979729
RAD27,-62.9522651227551,841.871109165108
RAD1,1385.47569578186,2404.88420054828
PUS7,2653.69158486608,3629.42823797441
PUF4,3837.7408751303,4499.25721222239
PUS1,666.95543606722,2090.04463877455
PUF6,1167.94858425034,2208.24472376862
PUS9,4915.89501651859,5949.24507428495
PUF3,2936.58211053104,4694.29092809829
PTK2,3298.79850857434,4224.0449765698
PTP3,2741.2398755725,4071.66840703322
PSY2,2248.37473645235,3284.66417949144
PTC1,-2202.74240435206,-1198.19588210557
PPH3,1705.23677257667,2547.57369383192
POL32,3099.31930021863,3784.30946808236
POG1,1837.86100897909,3765.08061801067
PMS1,4216.3953608071,5816.33394824306
PLC1,-2091.46900072168,-710.629397292973
PML39,3719.40929744585,4900.20859393804
PIH1,1605.82029635821,2285.87564752503
PIN4,2055.66845032688,3024.73944670394
PIF1,2619.82410382062,3246.13078955905
PIB2,2854.25086310199,4133.93771127788
PHO80,3169.89662396136,4633.73246276971
PFK2,-2289.03685974783,-1331.09099283696
PFK1,451.831121689411,1433.00406597731
PHO85,-1483.39765968436,-373.317421193902
PFK27,-1376.00712879912,-519.0304140896
PHO13,2874.18479230424,5467.62295831949
PET112,3778.01057483468,5059.70126084348
PDE2,75.0222028639269,1629.63582399203
PCL8,1753.42583690028,3545.57841297389
PCL6,1854.15929830065,3619.35075420368
PBS2,1637.61725343156,3417.93840075327
PBP1,2623.28073425259,3295.97731500801
PAT1,-954.409616575788,-405.076691427382
PAP2,158.327292036443,1171.2440680566
OPI1,-2150.01969383577,-908.705550098902
OCA6,2372.57433969821,3420.18010807434
OCA4,2449.36554693248,3499.480242661
OCA5,2678.65807470121,3610.14509974151
OCA2,2368.34005001084,3315.8988059012
OCA1,2075.18094453274,2778.665355308
NUP60,530.688603908496,1128.75769492929
NUP170,-160.763629806974,1065.23075217533
NUP188,2921.49450155711,4486.70372414538
NUP120,659.923537615414,1346.01442680309
NTH2,951.678397180975,2547.52859621563
NPR2,3669.19909752334,4952.79652375449
NRP1,3523.69893099443,4702.6986945242
NOP6,2423.31688119669,3644.25909352792
NPT1,800.070340665572,3715.52680635086
NMD2,-2174.77779482454,-712.064222146542
NPL3,-3100.01038525553,-2430.86742223254
NOP12,1498.77944988029,2438.40210133062
NKP2,1713.71755611253,2062.08552237082
NEW1,1520.63900327799,2534.28476326396
NBP2,313.458212286754,1382.63379909348
NAM7,-2125.16013459815,-621.866840717672
MUD2,2956.75005756846,3659.95172148091
NCE102,2119.70387266365,4534.86445763177
MUM2,2180.78893865752,4166.55904888834
MUS81,4029.23812393581,5367.90656301234
MSG5,2465.00883648103,2976.83154329067
MSN5,-665.730192549698,628.098469286032
MSH2,831.589619071587,2342.06418153988
MSH1,1415.57789916445,2058.62302835225
MRT4,1064.49319766074,2121.69893759267
MSC1,2090.06516227019,2920.00808228276
MRN1,462.486294577596,1986.85232547799
MRC1,2245.47804498609,3115.37567889193
MMS4,5110.07122457161,6028.98294398806
MRE11,1060.26370927658,1895.78546284802
MMS22,-991.395211035996,-96.5138678559558
MMS1,1876.99358230524,2459.14994332278
MKS1,728.294432644558,2587.30058475371
MET18,1084.98872835985,1975.15770662721
MFT1,1543.89230084367,2651.74105676978
MET13,3834.19516738221,5165.37266523606
MGA2,-1215.61530732256,-154.332625196143
MEI5,2004.32171694881,3483.20476195193
SRB8,-2719.29238025625,-1069.20882512631
SSN2,-2574.46697454596,-827.195736472831
MDS3,-591.167473288049,658.804571718055
MCM21,3833.76848312214,4871.39255069924
MAK31,3883.05088684282,5329.71620163449
MCK1,-173.888789186583,530.76224264438
LTV1,101.834102585344,690.888352615591
LOC1,-428.751521492434,2609.26600444808
LSM7,629.460298949271,971.036634740133
LSM6,-385.470608202702,-124.273358562057
LOS1,3539.87468711515,4973.59197364916
LSM1,5.52010333677889,461.006887214977
LEA1,1038.81210938266,1716.52474912249
KSP1,2149.1502274289,3235.97044112032
LEM3,2172.69703172477,3413.0471490238
GPB1,535.769871612982,1605.69323186765
KIN3,1286.83161191819,2493.04074084544
KIN82,3864.63858753386,4494.94262085034
GPB2,885.1133550954,2456.76308852002
LRP1,167.269602679433,1104.70570099591
KAP123,1063.60799452768,2018.67202552796
KAP122,1614.97089974126,2350.95896276917
XRN1,-4471.38250621295,-4092.69969111395
YVH1,-1552.74876826227,-1067.32610773409
ZWF1,834.412564169572,2274.18537577329
YPT7,2637.34811146906,4230.8350394335
YTA7,-1387.67011235976,-146.018766509445
YPT6,-2106.10082496319,-881.615982218378
YPR153W,2655.54362975221,4439.96634038968
YPK1,-1613.7579865,-431.16089078052
SWM2,2419.10045916358,2920.86826430245
RRG9,-1961.80355800408,-755.855307375843
HER2,4455.59387924735,5561.93289219442
YLH47,2321.86294016879,4102.5076671962
YKR023W,326.961100110818,1607.15380531324
YIL001W,4497.04065767448,5107.23713993854
YHR033W,3020.408111734,4936.18029496891
YGR122W,1571.50762685992,3773.84145764179
VHR2,3874.21349964827,5838.59683541154
YCK3,2418.19867714929,4242.37487460491
YBR285W,633.857973619651,1721.42217440807
YBP2,3079.35661069769,4172.54563813938
VPS4,1463.89858592672,2384.77647808597
VPS15,-2889.94289947924,-1744.88254204028
VPS1,522.251709662199,1394.12757081075
VHR1,2437.06893130675,6033.00012056973
VAM3,3622.8586515437,4526.27422651106
URN1,1235.13829604358,2063.56224308742
UPF3,-2524.07037535303,-1415.60694795981
VAC8,149.102353042732,1481.77439310504
URA7,3096.1968256482,3898.27040120702
UAF30,-285.270360110049,393.264134558774
TSR2,1135.98494205236,1537.28823486387
TRM10,21.9285460650305,1270.18995525551
TUB3,-637.381743750469,911.953621958429
TSL1,-1212.42556776824,-638.029649342701
TRM1,-Inf,5096.67899673671
TPS2,-701.251378469675,461.289535411774
TPK3,2820.30704594912,3788.64886060997
TMA22,2153.93456207452,2645.44342153917
TOP3,653.3761691,2167.16618592486
TMA23,509.17608441766,1233.89137385254
THR4,374.056656590286,2164.09636951461
TLC1,-3448.55506601269,-2574.1123651549
THP2,2196.37859691163,3362.39259729591
THR1,73.420958747529,2159.52424518468
TIP41,3064.96294905921,3769.50525628554
TIF2,2917.22176316328,3842.89662113013
TGS1,920.346547811905,1600.40808728182
THP1,-2347.74524465523,-1720.62345525086
TCO89,-486.266181156025,649.744563992895
SXM1,1901.92633798484,2933.45146683108
SYC1,1628.82013105754,2712.77685821359
SWI6,-1107.49911345157,-311.848237717179
SUB1,3029.91523797094,3685.3137675305
STE7,761.364119756107,2732.33510775797
STM1,1871.05912152861,2978.4089441146
STE50,2660.4592582761,5238.68313933411
STE20,2733.24552244843,5220.27032906605
STE11,1068.58164443431,3422.40841821341
STE14,2576.5399355538,3844.75314126843
SSK2,2033.96746689767,3590.36997400166
SSK1,3052.51196120385,4518.84733263479
SSF1,1741.08788587362,2668.85099663967
SRO9,348.462766931372,756.504257081372
SPT4,-392.623781418251,437.825996743031
SPT23,3144.69098882563,4576.7874472222
SPT21,-1658.86784571365,-826.352180923107
SNF4,1860.01985748605,3082.13889231398
