"","cor","beta","pval_beta","adjp_beta","ratio"
"VPS8","-0.1043944","-0.01685750","1.59400e-11","7.99133","0.825313"
"PTC1","-0.0958188","-0.01812319","2.38508e-10","6.81632","0.792529"
"SIS2","-0.0980558","-0.01545173","3.66158e-10","6.63015","0.760583"
"TLC1","-0.1001239","-0.02281898","6.38105e-10","6.38893","0.755158"
"RIM1","-0.0956289","-0.01737097","1.46889e-09","6.02683","0.865158"
"PHO85","-0.0919873","-0.01737822","2.02295e-09","5.88783","0.904430"
"PFK2","-0.0934991","-0.01902001","2.99507e-09","5.71741","0.835023"
"ACO1","-0.0891010","-0.02191628","4.19556e-09","5.57103","0.806390"
"CST6","-0.0928816","-0.02030257","7.11563e-09","5.34161","0.804328"
"TSL1","-0.0861969","-0.01584181","9.95991e-09","5.19556","0.799322"
"GEP3","-0.0897751","-0.01513154","1.64739e-08","4.97702","0.806326"
"RNR4","-0.0883362","-0.01446132","1.77052e-08","4.94572","0.815603"
"HSE1","-0.0865329","-0.01617950","1.82061e-08","4.93360","0.819747"
"MMS22","-0.0894601","-0.01246249","2.89061e-08","4.73283","0.777544"
"IRC3","-0.0844918","-0.01156488","3.97388e-08","4.59461","0.801848"
"REG1","-0.0830537","-0.02006004","6.23223e-08","4.39918","0.833947"
"SRV2","-0.0845329","-0.02079614","6.66543e-08","4.36999","0.799774"
"PFK27","-0.0795910","-0.01354436","1.76149e-07","3.94794","0.811383"
"URC2","-0.0781499","-0.00756342","3.09103e-07","3.70372","0.893973"
"SLX5","-0.0784060","-0.01832141","3.23507e-07","3.68394","0.832366"
"VPS4","-0.0775691","-0.00807587","4.82248e-07","3.51055","0.899128"
"GAL11","-0.0754401","-0.01783585","9.54120e-07","3.21422","0.802844"
"SLX8","-0.0721492","-0.01683099","1.01500e-06","3.18735","0.909946"
"CCE1","-0.0737685","-0.00817503","1.02458e-06","3.18327","0.797402"
"RAM1","-0.0781107","-0.02374098","1.20826e-06","3.11166","0.813634"
