,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
VPS25,-1.00204e-01,-6.29615e-02,3.55079e-07,-4.61609e-02,-5.96438e-03,1.50721e-03,-0.077353368,-8.03392e-02,1.19214e-01,-5.13431e-02,-6.59233e-03,8.22137e-04, 3.6434954, 0.0156472,0.0000000,0.27887598,0.1240511,0.8759489
OPI3,-1.61357e-01,-1.36736e-01,1.70351e-17,-5.59007e-02,-1.92023e-02,8.10760e-05,-0.130373659,-1.70050e-01,1.62592e-04,-5.28792e-02,-1.67617e-02,1.08238e-03,13.9624749, 1.2849279,0.9827199,0.15944111,0.2813280,0.7186720
CHO2,-6.34017e-02,-1.48972e-02,9.13159e-05,-1.34499e-01,-8.23245e-02,8.13393e-09,-0.059199992,-1.53008e-02,1.44569e-04,-4.42090e-02,-5.14215e-02,3.08324e-01, 1.2332737, 5.2835194,1.0337448,0.00000000,0.8138737,0.1861263
CTK1,-5.73005e-02,-1.46954e-02,3.84282e-04,-5.52036e-02,-3.81459e-02,1.65400e-03,-0.047402587,-1.25906e-02,3.17413e-03,-6.12974e-02,-6.66521e-02,8.77284e-02, 0.6091705, 0.0000000,0.0000000,0.00000000,0.7108433,0.2891567
ELP3,-9.39511e-02,-4.37060e-02,3.69119e-05, 9.18041e-03, 1.24443e-03,6.06809e-01,-0.116587287,-1.32508e-01,2.04758e-01, 8.29252e-03, 1.38609e-03,5.76896e-01, 1.6266540, 0.0000000,0.0000000,0.00000000,0.0519641,0.9480359
NUP133,-3.38093e-02,-6.51170e-03,2.71655e-02,-1.60243e-01,-6.58214e-02,8.21466e-11,-0.031200161,-6.29747e-03,4.06791e-02,-8.21719e-02,-6.52308e-02,1.27680e-01, 0.0000000, 7.2792304,0.0000000,0.00000000,0.8716716,0.1283284
CTF8,-3.26170e-02,-2.82126e-03,2.80368e-02,-4.42936e-02,-9.76824e-03,6.18096e-02,-0.033392701,-2.97767e-03,2.69503e-02,-1.63349e-02,-7.98913e-03,7.93213e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8941013,0.1058987
DOA4,-3.10723e-02,-6.17303e-03,1.15000e-02,-2.17066e-01,-8.08868e-02,1.00893e-26,-0.041020997,-6.81049e-03,7.93110e-03,-1.09613e-01,-6.72905e-02,1.85632e-02, 0.0000000,23.1899596,0.0000000,0.00000000,0.8215219,0.1784781
BRE2,-1.65944e-02,-7.45349e-03,3.56241e-01, 5.42771e-03, 1.29525e-04,9.51081e-01,-0.010646605,-7.74601e-03,8.59981e-01,-1.74210e-03,-2.51964e-04,9.08321e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1085895,0.8914105
SWD1, 1.76973e-02, 2.46875e-03,2.52839e-01, 1.93835e-02, 1.33393e-02,8.37347e-02, 0.020639234, 3.03498e-03,1.73760e-01, 3.85395e-02, 2.81390e-02,5.03215e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8781499,0.1218501
SPP1, 1.28368e-01, 2.68536e-02,5.16972e-07, 2.13570e-02, 2.46521e-03,1.37621e-01, 0.049516959, 2.39041e-02,4.98631e-01, 2.53328e-02, 2.91190e-03,9.07211e-02, 3.4803532, 0.0000000,0.0000000,0.00000000,0.0879911,0.9120089
SET1,-1.19656e-02,-1.86925e-03,4.01087e-01,-4.35178e-02,-2.20900e-03,7.26828e-01,-0.015191503,-2.29915e-03,3.17987e-01, 9.35890e-02, 5.18040e-02,9.16018e-02, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8580904,0.1419096
HFI1,-6.77836e-03,-7.94796e-03,5.58267e-01,-6.12628e-03,-9.71778e-04,7.91408e-01,-0.020041460,-2.37103e-02,6.30931e-01,-8.88512e-04,-2.19647e-04,9.54800e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.2078439,0.7921561
